Series,$\hat{\Delta}_T$ (ATT),$\hat{\sigma}_{\Delta_T}$ (STD),P-value
12-m Log-Diff $CO_2$,-0.023,0.031,0.0
12-m Log $CO_2$,-0.143,0.063,0.0
Absolute $CO_2$,-5763118756.193,2869339069.817,0.0
