date,belgium brent,belgium co2,belgium gdp,belgium ind_prod,belgium infl,belgium pop,netherlands co2,netherlands gdp,netherlands ind_prod,netherlands infl,netherlands pop,spain co2,spain ind_prod,spain infl
2001-01-01,-0.001560062718902,-0.0289940312254657,0.00056388046,0.02,-0.013,0.0002921271747737,0.0324271609039321,0.00108520684,0.03,0.019,0.000583394120099,-0.1312609274532974,-0.022,-0.0099999999999999
2001-02-01,0.0708127082039373,-0.0487071240374668,0.0004358737833333,-0.008,0.034,0.0002595969771519,0.0190705590140254,0.0024090346766666,-0.012,-0.0049999999999999,0.0005206001596107,-0.0413893315648081,-0.004,0.0069999999999999
2001-03-01,-0.1155128871218442,-0.0138826037543289,0.0003078671066666,-0.022,-0.016,0.000259529604051,0.0447680904095086,0.0037328625133333,0.013,0.002,0.000520329276096,-0.1104522219417631,-0.006,0.008
2001-04-01,0.0462602416368089,0.0227239652173665,0.00017986043,-0.019,0.007,0.0002594622659124,0.053739519533444,0.00505669035,0.07,-0.003,0.0005200586743399,-0.0789217437658464,-0.0069999999999999,0.001
2001-05-01,0.0982817399363176,-0.0045884615763611,-0.00051548561,0.037,-0.004,0.0004214826525057,0.0268554297937697,0.0039504195866666,-0.022,-0.005,0.0006652806898195,0.0148809598417578,0.012,-0.005
2001-06-01,-0.0163821327505151,0.0260133672394395,-0.00121083165,0.013,-0.003,0.0004213050797154,0.0237256947949759,0.0028441488233333,-0.0579999999999999,-0.007,0.00066483838566,0.0251248131366708,0.003,-0.001
2001-07-01,-0.1236801019703284,0.0272764911551135,-0.00190617769,-0.0559999999999999,-0.015,0.0004211276564944,0.0258332438281385,0.00173787806,0.023,0.003,0.0006643966692365,0.031074345501409,-0.012,-0.0099999999999999
2001-08-01,0.042559614418796,0.039008065691874,-0.0016031014933333,0.047,0.026,0.0003885758743251,0.0271690783218936,0.0022336363766666,0.015,0.004,0.0007054381270634,0.0286615005123529,0.027,0.008
2001-09-01,-0.0023391823531722,0.0952880729134619,-0.0013000252966666,-0.0139999999999999,-0.012,0.0003884249417644,0.0587648347396658,0.0027293946933333,0.001,0.007,0.0007049408348969,0.0039106338275338,-0.017,0.004
2001-10-01,-0.2209990919681761,-0.1016902425331345,-0.0009969491,-0.021,-0.002,0.0003882741264078,-0.0784390644223371,0.0032251530099999,-0.066,-0.01,0.0007044442433645,0.0224421420677103,-0.009,-0.001
2001-11-01,-0.0885173346645085,0.0498126818303568,0.00220094942,-0.001,0.001,0.0004204602484456,0.0254616600140877,0.0001161687099999,0.057,-0.003,0.0004762545774248,0.0568281957842344,-0.016,-0.001
2001-12-01,-0.0047987295499054,0.0793041146022766,0.00539884794,-0.011,-0.001,0.0004202835359201,0.0511925676212037,-0.00299281559,-0.002,0.002,0.0004760278669664,0.1804446839239943,0.0,0.0
2002-01-01,0.0372453225771804,-0.0526901078026753,0.00859674646,0.019,-0.008,0.0004201069718767,-0.0191857389164731,-0.00610179989,-0.0139999999999999,0.012,0.0004758013722501,0.1675178596038762,0.009,-0.005
2002-02-01,0.0433317158598036,-0.0999139606964298,0.00858424269,-0.003,0.025,0.0003553373319249,-0.0417183089041017,-0.002906988,-0.011,-0.006,0.0003722084410213,0.1223658727168128,0.006,0.003
2002-03-01,0.1558398694181031,-0.0779261769437695,0.00857173892,0.03,-0.014,0.0003552111121543,-0.0353915151730213,0.0002878238899999,0.012,0.006,0.0003720699534426,0.1650864820317075,-0.002,0.008
2002-04-01,0.0821825781525671,-0.0565421937108219,0.00855923515,-0.0069999999999999,-0.001,0.0003550849820221,-0.0152308872828648,0.00348263578,0.031,-0.005,0.0003719315688783,0.1304232460863659,0.0069999999999999,0.0049999999999999
2002-05-01,-0.0148788962564605,0.0132481950772707,0.0074909423566666,0.009,0.0,0.0003226951526933,0.0302801704502968,0.0028393034633333,0.024,-0.007,0.0004956936714677,0.0757146525530814,-0.008,-0.011
2002-06-01,-0.0513971095965719,-0.0745890444879009,0.0064226495633333,-0.017,-0.004,0.0003225910541218,0.0090100431590229,0.0021959711466666,-0.023,-0.003,0.0004954480809864,0.0381933038924238,0.001,-0.003
2002-07-01,0.0666645817273603,-0.0757556049444936,0.00535435677,-0.0069999999999999,-0.006,0.0003224870226929,0.0087736157177111,0.00155263883,0.035,0.003,0.0004952027337346,0.0326907299477099,0.004,-0.0069999999999999
2002-08-01,0.0347429484438728,-0.084014920078193,0.0048157943,0.018,0.023,0.0003223830583394,0.0035819963769547,0.0015339298766666,-0.054,0.003,0.0005155755483912,0.0222555340559438,0.008,0.0099999999999999
2002-09-01,0.0635999945553069,-0.0976413642689166,0.00427723183,-0.001,-0.0129999999999999,0.0003222791609935,-0.023020410939889,0.0015152209233333,0.053,0.008,0.0005153098672181,0.0320190999521017,0.002,0.0
2002-10-01,-0.0307496518666514,0.1080008222898349,0.00373866936,0.015,-0.002,0.0003221753306021,0.1540593302282396,0.00149651197,-0.009,-0.011,0.0005150444597212,0.0286280766219633,0.006,0.006
2002-11-01,-0.1235184057411276,-0.0994491898178964,0.0016139689333333,0.01,0.0,0.0003864734347622,-0.001065851930452,0.00105548849,-0.076,-0.004,0.000350078771298,-0.0281725553182923,-0.004,-0.007
2002-12-01,0.151800226283044,-0.0864631854317785,-0.0005107314933333,-0.048,0.002,0.0003863241307442,0.0208911151668615,0.00061446501,0.0409999999999999,0.003,0.0003499562590398,-0.1097410263029949,-0.006,0.001
2003-01-01,0.0958555497872053,0.0620871300262599,-0.00263543192,0.035,-0.011,0.0003861749420472,0.0257495106902112,0.00017344153,0.032,0.008,0.0003498338325016,-0.0216600113724361,0.0069999999999999,-0.007
2003-02-01,0.0497365990810925,0.1520456048563367,-0.0010444864199999,-0.001,0.031,0.0003216985712164,0.1013624084738715,-0.0010354717166666,0.024,0.0009999999999999,0.0002880065849986,0.0440447080348853,0.004,0.006
2003-03-01,-0.0681867097534021,0.0145178283895184,0.00054645908,-0.013,-0.018,0.0003215951145243,-0.013007731286688,-0.0022443849633333,-0.063,0.002,0.0002879236610873,-0.0145117389209126,-0.002,0.006
2003-04-01,-0.2024509280891204,0.0042877609735576,0.00213740458,0.027,-0.005,0.0003214917243568,-0.0184880175117996,-0.00345329821,-0.005,-0.008,0.0002878407849138,-0.0126550252904884,0.001,0.0
2003-05-01,0.0338215484755108,-0.0015145340070752,0.0027882389366666,-0.035,-0.002,0.0003856536877719,0.0051062705920372,-0.00200648976,-0.019,-0.002,0.0003699593086956,0.015007108726273,-0.0069999999999999,-0.009
2003-06-01,0.0669283546246322,0.0295181300406852,0.0034390732933333,0.017,0.007,0.0003855050163394,0.0099249813964092,-0.00055968131,-0.025,-0.004,0.0003698224894215,0.0452573340531046,0.003,0.002
2003-07-01,0.0250013022054176,0.0557999235847717,0.00408990765,0.0289999999999999,-0.014,0.0003853564594891,0.0062622184027709,0.00088712714,0.0279999999999999,0.004,0.0003696857713073,0.0526186029262873,0.002,-0.007
2003-08-01,0.0528969461220851,0.0593791974448798,0.0050452832966666,-0.027,0.028,0.0003210169845573,0.0115675497912128,0.0023760707066666,0.01,0.004,0.0003900756590944,0.0777025785444358,0.002,0.011
2003-09-01,-0.0976213127852725,0.0091149043333729,0.0060006589433333,0.003,-0.016,0.0003209139657194,0.008476990470644,0.0038650142733333,0.019,0.005,0.0003899235593998,0.0367940789777456,-0.006,-0.003
2003-10-01,0.0882094786029261,0.0812514042835275,0.00695603459,0.0069999999999999,-0.004,0.0003208110129868,0.0443649430788433,0.00535395784,0.064,-0.01,0.0003897715782805,0.047392662258332,0.015,0.0049999999999999
