Series,$\hat{\Delta}_T$ (ATE),$\hat{\sigma}_{\Delta_T}$ (STD),p-value
12-m log-diff $CO_2$,0.011,0.076,0.296
Log $CO_2$,0.037,0.098,0.006
Absolute $CO_2$,191143512.039,589942975.407,0.017
