Series,$\hat{\Delta}_T$ (ATE),$\hat{\sigma}_{\Delta_T}$ (STD),p-value
12-m log-diff $CO_2$,-0.028,0.034,0.0
Log $CO_2$,-0.118,0.097,0.0
Absolute $CO_2$,-4469986540.818,3600596584.147,0.0
