date,unempl
2000-01-01,-2.05572501506252
2000-02-01,-2.0874737133771
2000-03-01,-2.1037342342488805
2000-04-01,-2.120263536200091
2000-05-01,-2.1286317858706076
2000-06-01,-2.1286317858706076
2000-07-01,-2.1286317858706076
2000-08-01,-2.137070654516472
2000-09-01,-2.145581344184381
2000-10-01,-2.145581344184381
2000-11-01,-2.162823150618887
2000-12-01,-2.1892564076870427
2001-01-01,-2.2256240518579173
2001-02-01,-2.234926444520231
2001-03-01,-2.2537949288246137
2001-04-01,-2.2633643798407643
2001-05-01,-2.24431618487007
2001-06-01,-2.2537949288246137
2001-07-01,-2.2537949288246137
2001-08-01,-2.24431618487007
2001-09-01,-2.2537949288246137
2001-10-01,-2.2537949288246137
2001-11-01,-2.24431618487007
2001-12-01,-2.234926444520231
2002-01-01,-2.198225077669803
2002-02-01,-2.162823150618887
2002-03-01,-2.1892564076870427
2002-04-01,-2.1892564076870427
2002-05-01,-2.1892564076870427
2002-06-01,-2.1715568305876416
2002-07-01,-2.145581344184381
2002-08-01,-2.137070654516472
2002-09-01,-2.145581344184381
2002-10-01,-2.1541650878757723
2002-11-01,-2.1541650878757723
2002-12-01,-2.1541650878757723
2003-01-01,-2.145581344184381
2003-02-01,-2.145581344184381
2003-03-01,-2.1541650878757723
2003-04-01,-2.1715568305876416
2003-05-01,-2.1803674602697964
2003-06-01,-2.162823150618887
2003-07-01,-2.1541650878757723
2003-08-01,-2.162823150618887
2003-09-01,-2.162823150618887
2003-10-01,-2.1715568305876416
2003-11-01,-2.1803674602697964
2003-12-01,-2.1715568305876416
2004-01-01,-2.1803674602697964
2004-02-01,-2.1892564076870427
2004-03-01,-2.198225077669803
2004-04-01,-2.1892564076870427
2004-05-01,-2.1892564076870427
2004-06-01,-2.1892564076870427
2004-07-01,-2.2072749131897207
2004-08-01,-2.2072749131897207
2004-09-01,-2.2164073967529934
2004-10-01,-2.234926444520231
2004-11-01,-2.24431618487007
2004-12-01,-2.2730262907525014
2005-01-01,-2.2926347621408776
2005-02-01,-2.312635428847547
2005-03-01,-2.3330443004787544
2005-04-01,-2.3330443004787544
2005-05-01,-2.364460496712133
2005-06-01,-2.396895772465287
2005-07-01,-2.4304184645039304
2005-08-01,-2.4534079827286295
2005-09-01,-2.4651040224918206
2005-10-01,-2.4534079827286295
2005-11-01,-2.4418471603275536
2005-12-01,-2.4304184645039304
2006-01-01,-2.4304184645039304
2006-02-01,-2.4418471603275536
2006-03-01,-2.4418471603275536
