Series,$\hat{\Delta}_T$ (ATE),$\hat{\sigma}_{\Delta_T}$ (STD),p-value
12-m log-diff $CO_2$,-0.015,0.046,0.012
Log $CO_2$,-0.095,0.049,0.0
Absolute $CO_2$,-3221575860.865,1775663734.857,0.0
