date,cows
2000-01-01,56450000.0
2000-02-01,56450000.0
2000-03-01,56450000.0
2000-04-01,56450000.0
2000-05-01,56450000.0
2000-06-01,56450000.0
2000-07-01,56450000.0
2000-08-01,56450000.0
2000-09-01,56450000.0
2000-10-01,56450000.0
2000-11-01,56450000.0
2000-12-01,56450000.0
2001-01-01,56450000.0
2001-02-01,56450000.0
2001-03-01,56450000.0
2001-04-01,56450000.0
2001-05-01,56450000.0
2001-06-01,56450000.0
2001-07-01,56450000.0
2001-08-01,56450000.0
2001-09-01,56450000.0
2001-10-01,56450000.0
2001-11-01,56450000.0
2001-12-01,56450000.0
2002-01-01,56450000.0
2002-02-01,56450000.0
2002-03-01,56450000.0
2002-04-01,56450000.0
2002-05-01,56450000.0
2002-06-01,56450000.0
2002-07-01,56450000.0
2002-08-01,56450000.0
2002-09-01,56450000.0
2002-10-01,56450000.0
2002-11-01,56450000.0
2002-12-01,56450000.0
2003-01-01,56450000.0
2003-02-01,56450000.0
2003-03-01,56450000.0
2003-04-01,56450000.0
2003-05-01,56450000.0
2003-06-01,56450000.0
2003-07-01,56450000.0
2003-08-01,56450000.0
2003-09-01,56450000.0
2003-10-01,56450000.0
2003-11-01,56450000.0
2003-12-01,56450000.0
2004-01-01,56450000.0
2004-02-01,56450000.0
2004-03-01,56450000.0
2004-04-01,56450000.0
2004-05-01,56450000.0
2004-06-01,56450000.0
2004-07-01,56450000.0
2004-08-01,56450000.0
2004-09-01,56450000.0
2004-10-01,56450000.0
2004-11-01,56450000.0
2004-12-01,56450000.0
2005-01-01,56450000.0
2005-02-01,56450000.0
2005-03-01,56450000.0
2005-04-01,56450000.0
2005-05-01,56450000.0
2005-06-01,56450000.0
2005-07-01,56450000.0
2005-08-01,56450000.0
2005-09-01,56450000.0
2005-10-01,56450000.0
2005-11-01,56450000.0
2005-12-01,56450000.0
2006-01-01,15430000.0
2006-02-01,10740000.0
2006-03-01,9680000.0
2006-04-01,9080000.0
2006-05-01,9630000.0
2006-06-01,6550000.0
2006-07-01,5810000.0
2006-08-01,6840000.0
2006-09-01,11070000.0
2006-10-01,12540000.0
2006-11-01,16600000.000000002
2006-12-01,47290000.0
2007-01-01,1620000.0
2007-02-01,1690000.0
2007-03-01,2060000.0
2007-04-01,1870000.0
2007-05-01,2040000.0
2007-06-01,2600000.0
2007-07-01,2900000.0
2007-08-01,3010000.0
2007-09-01,2850000.0
2007-10-01,3100000.0
2007-11-01,3100000.0
2007-12-01,2910000.0
2008-01-01,13160000.0
2008-02-01,6850000.0
2008-03-01,6400000.0
2008-04-01,5040000.0
2008-05-01,4810000.0
2008-06-01,4780000.0
2008-07-01,3490000.0
2008-08-01,4490000.0
2008-09-01,10040000.0
2008-10-01,12580000.0
2008-11-01,20050000.0
2008-12-01,43200000.0
2009-01-01,2029999.9999999998
