date,co2_cap
2000-01-01,-0.5071958671152118
2000-02-01,-0.6231836025784483
2000-03-01,-0.5955713213666342
2000-04-01,-0.69869342373572
2000-05-01,-0.7355494681408853
2000-06-01,-0.7234192608913927
2000-07-01,-0.7153842271812298
2000-08-01,-0.7039141114888763
2000-09-01,-0.6979375815642156
2000-10-01,-0.6541018424834731
2000-11-01,-0.631082574482826
2000-12-01,-0.5761199260732495
2001-01-01,-0.5351709776543399
2001-02-01,-0.6177348527361287
2001-03-01,-0.5857228133689627
2001-04-01,-0.6063230168928887
2001-05-01,-0.6594623264605111
2001-06-01,-0.6536312672940292
2001-07-01,-0.6165119204663226
2001-08-01,-0.6296399515240974
2001-09-01,-0.6137257569938093
2001-10-01,-0.593492576043105
2001-11-01,-0.501626159478663
2001-12-01,-0.38838502037179906
2002-01-01,-0.47864016407405463
2002-02-01,-0.6425428255073179
2002-03-01,-0.5898661858901207
2002-04-01,-0.6208957479965558
2002-05-01,-0.7051390389788117
2002-06-01,-0.698896946085821
2002-07-01,-0.6804327356482892
2002-08-01,-0.7019129387949716
2002-09-01,-0.658846329235839
2002-10-01,-0.6019421391341088
2002-11-01,-0.5760869046222279
2002-12-01,-0.48535836762185414
2003-01-01,-0.4476382075415637
2003-02-01,-0.4532583568089131
2003-03-01,-0.4755043078670044
2003-04-01,-0.54153437298472
2003-05-01,-0.5782172571176055
2003-06-01,-0.5629950301105586
2003-07-01,-0.5217043753074402
2003-08-01,-0.5221526809325647
2003-09-01,-0.5431659922770823
2003-10-01,-0.5000005945050091
2003-11-01,-0.5147282155411672
2003-12-01,-0.445196299058299
2004-01-01,-0.41044620705141444
2004-02-01,-0.49496270352568045
2004-03-01,-0.47904833857210105
2004-04-01,-0.5626866990624608
2004-05-01,-0.6006923538969537
2004-06-01,-0.5969635594672276
2004-07-01,-0.58611058784516
2004-08-01,-0.6048026288985552
2004-09-01,-0.590122559861055
2004-10-01,-0.5329179189724939
2004-11-01,-0.4841738896420485
2004-12-01,-0.418133836352326
2005-01-01,-0.43365607692778696
2005-02-01,-0.4625995973372167
2005-03-01,-0.444597586491108
2005-04-01,-0.5616503130625543
2005-05-01,-0.5918586706317873
2005-06-01,-0.5609451762275398
2005-07-01,-0.5386861059731736
2005-08-01,-0.5609101314731431
2005-09-01,-0.5504610004141274
2005-10-01,-0.5160978937227917
2005-11-01,-0.4668270652364933
2005-12-01,-0.4203788280720428
2006-01-01,-0.3675547213244787
2006-02-01,-0.43643988052508165
2006-03-01,-0.4293169881305733
2006-04-01,-0.5457817669528348
2006-05-01,-0.5516728390987266
2006-06-01,-0.5270020738765583
2006-07-01,-0.5009986170301999
2006-08-01,-0.5333195027387663
2006-09-01,-0.5141355400942493
2006-10-01,-0.49037309645909727
2006-11-01,-0.4576059230867601
2006-12-01,-0.41852200942421597
2007-01-01,-0.37868098722651117
2007-02-01,-0.41580885787141797
2007-03-01,-0.41505388186173553
2007-04-01,-0.48455503855033766
2007-05-01,-0.4943963710123834
2007-06-01,-0.4741357529665939
2007-07-01,-0.45724096702636347
2007-08-01,-0.46739049720865505
2007-09-01,-0.4667313993030954
2007-10-01,-0.3985702509692376
2007-11-01,-0.32266688178048203
2007-12-01,-0.2767507962490745
2008-01-01,-0.32331090634682735
2008-02-01,-0.4237100663946291
2008-03-01,-0.46443119477990785
2008-04-01,-0.48449934941686446
2008-05-01,-0.522688860964133
2008-06-01,-0.5114504499182468
2008-07-01,-0.4821832701145613
2008-08-01,-0.5126950921458598
2008-09-01,-0.47610317956375053
2008-10-01,-0.42987513760736557
2008-11-01,-0.39252919313123763
2008-12-01,-0.3608904020025463
2009-01-01,-0.4475268256400158
2009-02-01,-0.5576948424303486
2009-03-01,-0.5518175940672763
2009-04-01,-0.6692995119522388
2009-05-01,-0.6922750987710298
2009-06-01,-0.6767663167976391
2009-07-01,-0.6345437059298933
2009-08-01,-0.6635533790417536
2009-09-01,-0.6481176625850199
2009-10-01,-0.5803656060680857
2009-11-01,-0.5921845964867797
2009-12-01,-0.499434591191138
2010-01-01,-0.38355400183487215
2010-02-01,-0.48566089320010364
2010-03-01,-0.4910442941902635
2010-04-01,-0.5877584412488711
2010-05-01,-0.610000791704357
2010-06-01,-0.6117172537778813
2010-07-01,-0.5517669824141548
2010-08-01,-0.5711211827359899
2010-09-01,-0.5512963515913049
2010-10-01,-0.4945600864251818
2010-11-01,-0.5317847168194842
2010-12-01,-0.3988290879414544
2011-01-01,-0.2551469276846503
2011-02-01,-0.338434774630109
2011-03-01,-0.31248098737535257
2011-04-01,-0.45201956267069765
2011-05-01,-0.4746949837126122
2011-06-01,-0.48139651544857454
2011-07-01,-0.43092336224219213
2011-08-01,-0.46041890471309654
2011-09-01,-0.4608516729209389
2011-10-01,-0.43901303758970506
2011-11-01,-0.33872683992203095
2011-12-01,-0.339270369821705
2012-01-01,-0.3065274881813664
2012-02-01,-0.30288188786706893
2012-03-01,-0.45173906387630214
2012-04-01,-0.5826300337549385
2012-05-01,-0.5773373999772274
2012-06-01,-0.5623588962109509
2012-07-01,-0.5226549500923278
2012-08-01,-0.5319062726038472
2012-09-01,-0.5481634120675798
2012-10-01,-0.4844946695283106
2012-11-01,-0.46669416230229527
2012-12-01,-0.3491855747975684
2013-01-01,-0.39707801927128816
2013-02-01,-0.5023810337453051
2013-03-01,-0.5086221667013342
2013-04-01,-0.6324800580646607
2013-05-01,-0.6572539638626909
2013-06-01,-0.6713864529399096
2013-07-01,-0.5972479168158541
2013-08-01,-0.6094877044883784
2013-09-01,-0.5950474737816324
