Series,$\hat{\Delta}_T$ (ATT),$\hat{\sigma}_{\Delta_T}$ (STD),P-value
12-m Log-Diff $CO_2$,0.016,0.022,0.0
12-m Log $CO_2$,0.104,0.036,0.0
Absolute $CO_2$,532024774.302,259816420.757,0.0
