Index,Regressor,Coefficient
1,austria co2,0.563
2,belgium co2,0.253
3,germany co2,0.041
4,belgium pop,0.017
5,austria ind_prod,-0.024
6,lithuania gdp,-0.057
7,bulgaria co2,-0.184
