date,austria,belgium,bulgaria,croatia,czech_republic,germany,greece,hungary,italy,lithuania,netherlands,romania,slovakia,spain,united_kingdom
2013-04-01,8089162199.0,10143731700.0,3866867466.0,1924562789.0,10092988150.0,76779061270.0,6118349083.0,4301742233.0,33048105030.0,1672762984.0,15773662950.0,7800591015.0,3480919435.0,24011734530.0,43759810210.0
2013-05-01,7107150290.0,9295659702.0,3769932004.0,1638060658.0,8615229235.0,65822381640.00001,6036602625.0,4167953664.0,28716636850.0,1319279009.0,13994555140.0,6097405236.0,3026867908.0,23002059810.0,39492115750.0
2013-06-01,6337925097.0,7875567075.0,3714745728.0,1595831441.0,7536524011.0,57127325270.0,6014124795.0,4062534228.0,27798380340.0,1266407042.0,12589511530.0,5740760791.0,2738521623.0,22559006460.0,35182539530.0
2013-07-01,6037485440.0,7765284432.0,3998159558.0,1590002311.0,7554046667.0,56713995910.0,6449337172.0,4173015247.000001,29507406430.0,1207644985.0,12907983940.0,5721793988.0,2647116974.0,23240686810.0,34626912100.0
2013-08-01,5964684141.0,7461974268.0,3946984266.0,1558474415.0,7578342984.0,56228943760.0,6364659827.0,4152403711.0,28175634020.0,1186879568.0,12610494050.0,5670280732.0,2610550905.0,22994078110.0,33812462180.000004
2013-09-01,6844367569.0,7848032705.0,4001819294.0,1634152738.0,8556019812.0,63471975850.0,6343643821.0,4298427545.0,29613382260.0,1403687796.0,12778272270.0,6598126456.0,2931767242.0,23176050330.0,35881206770.0
2013-10-01,8197145798.0,8712971749.0,4246925054.000001,1850487772.0,10874427500.0,78510101950.0,6555346631.0,4494196392.0,30614359500.0,1661467552.0,14167048640.0,8640459305.0,3453331902.0,23898814350.0,38980290910.0
2013-11-01,9126193719.0,10721136230.0,4242382876.0,2284216008.0,11701270510.0,87987769600.0,6679958605.0,5167159752.0,37456886840.0,1710329717.0,16531208800.0,9155536975.0,3891945546.0,26057065370.0,45346947920.0
2013-12-01,9581441668.0,11118860660.0,4815634934.0,2642155523.0,12107228360.0,89045126150.0,7939997392.0,6350750310.0,43108556180.0,1727042971.0,16979533710.0,10714642420.0,4171849832.0,28425683680.0,45116193740.0
2014-01-01,9543098855.0,10775756000.0,4963979854.0,2495981187.0,12945760940.0,94239429900.0,7634209128.0,6272735069.0,42175451580.0,1942323079.0,17953123700.0,10802902670.0,4026244727.0,27696317510.0,45449149120.0
2014-02-01,9066223924.0,10267003860.0,4349013459.0,2319878157.0,12242496680.0,86858015660.0,6966959472.0,5497757895.0,38266805680.0,1750994829.0,16646868460.000002,10102520260.0,3831580783.0,25858336880.0,42564213800.0
2014-03-01,8593633548.0,10130065750.0,4301238331.0,2216450278.0,11605937470.0,84185053160.0,6660139904.0,4987480179.0,39133049790.0,1765961291.0,16747199140.0,9262966930.0,3694089437.0,25189363600.0,44076766060.0
2014-04-01,7723666310.0,8930982502.0,4008616772.0,1884641585.0,9954118780.0,71957432630.0,6261682451.0,4325208527.0,32742083850.0,1614243989.0,14425652850.0,8113925197.0,3352224815.0,22253668880.0,38985288480.0
2014-05-01,7109312257.0,8339047558.0,4034396196.0,1638064023.0,8688514409.0,65264730250.0,5870653819.0,4245249677.0,28411492540.0,1439897028.0,13476247960.0,6586667148.0,2975907572.0,22718443990.0,36493501250.0
2014-06-01,6318183068.0,7787046309.0,4108664340.000001,1550556127.0,7636277390.0,57674894820.0,6093748627.0,4185210020.000001,27445944830.0,1321347528.0,12519280270.0,5870813170.0,2753783965.0,23223286650.0,33138930810.0
2014-07-01,5968962928.0,7579740252.0,4278736371.0,1526335683.0,7534806124.0,56485318500.0,6427567459.0,4238198366.0,27647156070.0,1232123717.0,12717661330.0,5773198578.0,2589426060.0,23481253540.0,32948315240.000004
2014-08-01,6013759283.0,7434637221.0,4235817094.0,1484588050.0,7776311222.0,57005062690.0,6364501880.0,4152553835.0,26572474740.0,1238462981.0,12325951680.0,5769074716.0,2497833690.0,23280046080.0,32425830080.0
2014-09-01,6738557909.0,8156122546.0,4359610538.0,1586887948.0,8587113223.0,62140759590.0,6131653117.0,4392844317.0,28600002190.0,1418408320.0,12742484510.0,6475606820.0,2833590893.0,23814561890.0,34658422710.0
2014-10-01,7994125080.0,9272241973.0,4540693378.0,1859209447.0,10911525910.0,75963431960.0,6112658283.0,4796876601.0,30602055020.0,1771271205.0,14166823340.0,8779300875.0,3483246761.0,23980254970.0,39288231410.0
2014-11-01,8731569727.0,10267100830.0,4582757330.0,2167198760.0,11853218380.0,85925825070.0,6422700683.0,5455145724.0,35168987280.0,1814533850.0,16294762940.0,9933240838.0,3758879724.0,25435750970.0,42992343450.0
2014-12-01,9625298550.0,11580595960.0,4907826837.0,2637024555.0,12762438850.0,92671578170.0,7122480196.0,6295073011.0,42539253580.0,1856596636.0,17896093800.0,10736511260.0,4018824500.0,28908624740.0,46185072640.0
2015-01-01,9661822298.0,11995776960.0,5321749987.0,2629643776.0,13108047810.0,94584513630.0,7514612925.0,6439937034.0,42647315800.0,1894151477.0,18937144690.0,11015065020.0,4096914972.0,30018465930.0,45192239530.0
2015-02-01,9620444935.0,11680047070.0,4808575863.0,2599236484.0,12991043390.0,94829440680.0,6567317447.0,6007855892.0,41366297930.0,1859469568.0,18337897510.0,10554140610.0,4068242194.0,27379676710.0,44081133550.0
2015-03-01,9233919044.0,11070920420.0,4758809416.0,2379805098.0,12474276600.0,89873656030.0,6543186454.0,5592073542.0,39338080890.0,1893242800.0,17917890280.0,10135244700.0,3944184956.0,25683882090.0,43937549290.0
2015-04-01,7969022537.0,9790809596.0,4241191388.0,1969592828.0,10056650780.0,73064739880.0,5657045746.0,4626812693.0,32975006470.0,1763340188.0,15926503120.0,8187231456.0,3439367588.0,23926216200.0,39139871340.0
2015-05-01,6902598979.0,8647111933.0,4067456391.0,1590879508.0,8601515178.0,63382214970.0,5527272661.0,4389449487.0,27836934810.0,1555789626.0,14078849610.0,6260016817.0,2999197715.0,23290053030.0,36313302180.0
2015-06-01,6108242726.0,7685270670.0,4134906967.0,1562725581.0,7487207505.0,55316568500.0,5674408970.0,4236650337.0,27931553830.0,1379261358.0,12827592290.0,5778544774.0,2731055738.0,24574003000.0,32879961050.0
2015-07-01,6032809529.0,7716997055.0,4482141946.0,1564277671.0,7549485106.0,54892860260.0,6663837836.0,4404571369.0,30857385100.0,1319676882.0,13300391100.0,5754683883.0,2662256950.0,25922734310.0,31848123640.0
2015-08-01,5941852485.0,7631975737.0,4376841517.0,1529744590.0,7814464310.0,56415457850.0,6352816142.0,4421539044.0,28172458110.0,1339965922.0,12990535530.0,5864234791.0,2624015568.0,24652808630.0,31408559560.0
2015-09-01,6897561296.0,8739863726.0,4362990935.0,1610096426.0,8809102004.0,64312048030.0,6123092309.0,4578226832.0,29462278030.0,1526871951.0,13525002170.0,6366078933.0,2887869494.0,24532026050.0,34721703070.0
2015-10-01,8366662820.0,10136429440.0,4621208697.0,1995540236.0,10928822940.0,78917489930.0,6089709606.0,5177527011.0,31910777140.0,1892237501.0,15726375640.0,8766748975.0,3541360430.0,25029626670.0,39144080790.0
2015-11-01,8909339209.0,10259418770.0,4866426314.0,2297517672.0,11244813260.0,79789887980.0,6319269271.0,5847060439.0,36831676500.0,1865912560.0,15950908040.0,9224789751.0,3748014122.0,27194812520.0,40246765140.0
2015-12-01,9723033312.0,10210385550.0,5139637193.0,2592478679.0,13005891860.0,90469040920.0,7710049261.0,6440057384.0,42414628510.0,1917532731.0,15892795930.0,10805552890.0,4118180477.0,28547643800.0,39429628680.0
2016-01-01,10058614580.0,11204575390.0,5065051097.0,2747863766.0,13602587840.0,94930575850.0,7423853723.0,6757568508.0,42880585960.0,2099871375.0,17950180630.0,11334309720.0,4295911180.0,28300591740.0,41522125250.0
2016-02-01,9073368962.0,10824937100.0,4137907253.000001,2284337804.0,12187042330.0,86594328990.0,6045115968.0,5236291001.0,37754245420.0,1724795136.0,17235956020.0,9221552624.0,3915014726.0,26150974960.0,40678922650.0
2016-03-01,9146287496.0,11174881330.0,4284499905.0,2391788209.0,12338397010.0,87966548610.0,6291735621.0,5499592300.0,39028810150.0,1808290310.0,17552468540.0,9461979439.0,3958379812.0,26728508200.0,42003529780.0
2016-04-01,8012260488.0,9780127704.0,3681796229.0,1855883421.0,10597949640.0,75722150510.0,5285642474.0,4506561779.0,30777089570.0,1649611687.0,15730648540.0,7513526014.0,3506898037.0,24158631570.0,39384057240.0
2016-05-01,7026953812.0,8152640683.0,3644743247.0,1611597744.0,8524593295.000001,61773280050.0,5268056211.0,4495192881.0,28116260170.0,1411895811.0,13299887930.0,6488194837.0,3075140864.0,22607461820.0,33903110430.0
2016-06-01,6305840842.0,7803331197.0,3855726110.0,1586409827.0,7842061045.0,57329661560.0,5545693964.0,4433209513.0,26926571550.0,1417755280.0,12991589650.0,5839154126.0,2882724639.0,23225980080.0,31053998390.0
2016-07-01,5947548072.0,7698040961.0,4342292754.0,1569474129.0,7711580530.0,56365921090.0,5996495555.0,4460674983.0,28551899900.0,1276112776.0,12858403100.0,5655915726.0,2744269158.0,23758099880.0,30252678830.0
2016-08-01,5783700437.0,7547619970.0,4313489687.0,1540106760.0,8057703961.0,57109405020.0,5932943563.0,4465058414.0,26804101580.0,1226857201.0,12771228480.0,5795295123.0,2698594200.0,23548701190.0,29747420040.0
2016-09-01,6641870122.0,7807242621.0,4427924839.0,1644138554.0,8450865795.0,59778000230.0,6001356524.0,4646071834.0,29554080350.0,1532534696.0,13270880030.0,6369184045.0,2920560842.0,23817583760.0,30822168800.0
2016-10-01,8513145675.0,10259370000.0,4781614868.0,2112228171.0,11147841030.0,78998824880.0,6335384117.0,5436722603.0,33261067060.0,1782990856.0,16451230970.0,8924906247.0,3651409439.0,24902587420.0,37649474450.0
2016-11-01,9506158441.0,11130995020.0,4970778707.0,2392664466.0,12736245120.0,89829901080.0,6861488626.0,6038018667.0,38532354550.0,2124742140.0,17942406160.0,10165257120.0,4009769941.0,27758096100.0,42305756730.0
2016-12-01,10395431150.0,11853157780.0,5426984556.0,2892837028.0,13196535810.0,92051384430.0,7987018815.0,7046861303.0,44529356980.0,1906739652.0,18321029090.0,11121662380.0,4234661153.0,29508779810.0,41277866120.0
