Series,$\hat{\Delta}_T$ (ATE),$\hat{\sigma}_{\Delta_T}$ (STD),p-value
12-m log-diff $CO_2$,-0.024,0.048,0.0
Log $CO_2$,-0.194,0.088,0.0
Absolute $CO_2$,-7790593585.21,3642317756.479,0.0
