date,gdp_cap
2000-01-01,19033.533333951575
2000-02-01,19132.65378637837
2000-03-01,19231.68362698621
2000-04-01,19330.6229799687
2000-05-01,19484.23456085407
2000-06-01,19637.70212214762
2000-07-01,19791.025866294287
2000-08-01,19915.630873517177
2000-09-01,20040.119987311402
2000-10-01,20164.493369288168
2000-11-01,20295.977771897327
2000-12-01,20427.347325426897
2001-01-01,20558.60218028886
2001-02-01,20600.918234703004
2001-03-01,20643.200751990564
2001-04-01,20685.449772004973
2001-05-01,20860.931807229656
2001-06-01,21036.271703346432
2001-07-01,21211.469632982786
2001-08-01,21307.013375598955
2001-09-01,21402.480992642217
2001-10-01,21497.872575057205
2001-11-01,21656.48043803131
2001-12-01,21814.990218978546
2002-01-01,21973.402008850695
2002-02-01,22202.985732250985
2002-03-01,22432.47534323683
2002-04-01,22661.870899665093
2002-05-01,22740.453300063604
2002-06-01,22819.002546676325
2002-07-01,22897.518660480127
2002-08-01,22960.022125043168
2002-09-01,23022.49923617476
2002-10-01,23084.950010538567
2002-11-01,23198.757005207142
2002-12-01,23312.518129715634
2003-01-01,23426.233411790567
2003-02-01,23532.741401833784
2003-03-01,23639.209738502057
2003-04-01,23745.638443935928
2003-05-01,23813.707246836602
2003-06-01,23881.750306520185
2003-07-01,23949.76763758782
2003-08-01,24161.44050098019
2003-09-01,24373.034646312542
2003-10-01,24584.55011748786
2003-11-01,24815.94944345754
2003-12-01,25047.252897899496
2004-01-01,25278.46054038249
2004-02-01,25325.75914444756
2004-03-01,25373.036724926857
2004-04-01,25420.293295834323
2004-05-01,25528.760011685372
2004-06-01,25637.177887979557
2004-07-01,25745.546957696097
2004-08-01,25667.90638551506
2004-09-01,25590.300749136542
2004-10-01,25512.730024985867
2004-11-01,25392.670793485828
2004-12-01,25272.670652715493
2005-01-01,25152.729559060714
2005-02-01,25168.78672395731
2005-03-01,25184.835504445946
2005-04-01,25200.875907091933
2005-05-01,25390.366380945154
2005-06-01,25579.755689901507
2005-07-01,25769.04391495401
2005-08-01,25954.79902255046
2005-09-01,26140.456164279763
2005-10-01,26326.015417621176
2005-11-01,26841.56076281071
2005-12-01,27356.846912877292
2006-01-01,27871.87406324089
2006-02-01,28058.473442352984
2006-03-01,28244.985851126614
2006-04-01,28431.411350350387
2006-05-01,28534.230165380504
2006-06-01,28636.999848782703
2006-07-01,28739.72043576463
2006-08-01,28915.960061304628
2006-09-01,29092.116596400563
2006-10-01,29268.190099799674
2006-11-01,29116.18444026898
2006-12-01,28964.24397094577
2007-01-01,28812.368649902168
2007-02-01,29049.441940362944
2007-03-01,29286.42792893407
2007-04-01,29523.326663829863
2007-05-01,29498.651266361318
2007-06-01,29473.985248201276
2007-07-01,29449.32860400304
2007-08-01,29511.40797925274
2007-09-01,29573.46414530017
2007-10-01,29635.49711515853
2007-11-01,29878.185577201275
2007-12-01,30120.765814355702
2008-01-01,30363.23789899866
2008-02-01,30466.96482351524
2008-03-01,30570.639279305316
2008-04-01,30674.26130616963
2008-05-01,30839.55725820285
2008-06-01,31004.768666999622
2008-07-01,31169.895597404822
2008-08-01,31123.907297314363
2008-09-01,31077.942224266528
2008-10-01,31032.00036066904
2008-11-01,30595.464393354352
2008-12-01,30159.122521878366
2009-01-01,29722.9746168194
2009-02-01,30022.177376973366
2009-03-01,30321.27233476552
2009-04-01,30620.259548446942
2009-05-01,30586.447525204174
2009-06-01,30552.648083519132
2009-07-01,30518.86121637069
2009-08-01,30588.11089379777
2009-09-01,30657.335232810976
2009-10-01,30726.53424731473
2009-11-01,30195.49235132915
2009-12-01,29664.565083133966
2010-01-01,29133.752405618805
2010-02-01,28842.16063907915
2010-03-01,28550.588101290105
2010-04-01,28259.034790349702
2010-05-01,27959.629777272905
2010-06-01,27660.242711608375
2010-07-01,27360.873591742416
2010-08-01,27339.443217339445
2010-09-01,27318.014127434613
2010-10-01,27296.58632191245
2010-11-01,27003.147057501235
2010-12-01,26709.633906169907
2011-01-01,26416.046840008275
2011-02-01,26317.937691733314
2011-03-01,26219.77557209319
2011-04-01,26121.56043817565
2011-05-01,26018.577598237684
2011-06-01,25915.536635815344
2011-07-01,25812.437501689143
2011-08-01,25452.907039613598
2011-09-01,25093.175651923095
2011-10-01,24733.243170137954
2011-11-01,24800.324133514147
2011-12-01,24867.466037758553
2012-01-01,24934.668965953104
2012-02-01,24888.13303099018
2012-03-01,24841.539884713548
2012-04-01,24794.889421554886
2012-05-01,24817.21309249767
2012-06-01,24839.564798686184
2012-07-01,24861.944592965825
2012-08-01,24946.92504397976
2012-09-01,25032.011904653886
2012-10-01,25117.2053749773
2012-11-01,25199.413116749794
2012-12-01,25281.720997036526
2013-01-01,25364.1291989194
2013-02-01,25529.108570873832
2013-03-01,25694.277241006683
2013-04-01,25859.635535307516
2013-05-01,25977.757585335017
2013-06-01,26096.018998850584
2013-07-01,26214.420022636827
2013-08-01,26349.416700154652
2013-09-01,26484.571285837876
2013-10-01,26619.884056910865
2013-11-01,26596.255657074547
2013-12-01,26572.600725000302
2014-01-01,26548.919215973623
2014-02-01,26588.32944885161
2014-03-01,26627.780392540386
2014-04-01,26667.272110154023
2014-05-01,26732.824450835218
2014-06-01,26798.446219163914
2014-07-01,26864.137525496608
2014-08-01,26757.0677387526
2014-09-01,26649.88502927921
2014-10-01,26542.589218338762
2014-11-01,26587.398486271475
2014-12-01,26632.257291839403
2015-01-01,26677.165717235403
2015-02-01,26711.328225875874
2015-03-01,26745.528985462664
2015-04-01,26779.768060274782
2015-05-01,26671.5118069499
2015-06-01,26563.130130401558
