Index,Regressor,Coefficient
1,belgium co2,0.686
2,lithuania co2,0.129
3,germany co2,0.104
4,croatia co2,0.064
5,slovakia co2,0.01
6,germany gdp,-0.002
7,lithuania gdp,-0.026
8,bulgaria co2,-0.032
9,romania co2,-0.054
