Series,$\hat{\Delta}_T$ (ATT),$\hat{\sigma}_{\Delta_T}$ (STD),P-value
12-m Log-Diff $CO_2$,-0.005,0.031,0.203
12-m Log $CO_2$,0.013,0.04,0.02
Absolute $CO_2$,187203899.218,603836535.559,0.022
