Series,$\hat{\Delta}_T$ (ATT),$\hat{\sigma}_{\Delta_T}$ (STD),P-value
12-m Log-Diff $CO_2$,-0.003,0.056,0.523
12-m Log $CO_2$,-0.064,0.084,0.0
Absolute $CO_2$,-282826977.639,347808265.403,0.0
