Series,$\hat{\Delta}_T$ (ATT),$\hat{\sigma}_{\Delta_T}$ (STD),P-value
12-m Log-Diff $CO_2$,0.017,0.026,0.0
12-m Log $CO_2$,0.049,0.053,0.0
Absolute $CO_2$,144845402.999,174243681.527,0.0
