,0
0,2.891881728383672
1,2.6064783515996917
2,2.445698543070086
3,2.0014156848154707
4,1.0684359059986113
5,0.41344529870632984
6,0.5493935158892437
7,0.4097768404623224
8,0.4785543100174376
9,0.5309463403133858
10,-0.9925479211940638
11,-3.0600300590557628
12,-1.939506979708345
13,-0.9555257235164945
14,-1.657283447725513
15,-1.6163279864229771
16,-1.5829714591298518
17,0.22780141789811353
18,-0.04788881752605833
19,0.5378673016590234
20,0.14986514348873609
21,0.25831333186114874
22,-0.15157887182793733
23,1.1340546089598196
24,0.5332759104650907
25,-0.053943051267596305
26,1.6242789115141192
27,0.6530326168320861
28,0.7296844321592602
29,-0.28271684472638653
30,-0.18122409147937693
31,-0.6330525459678519
32,-0.36006887728289994
33,-0.43731644345273785
34,0.9410698981927901
35,1.7194803588481802
36,2.1294194793794032
37,2.1629266046728897
38,0.5194480976850966
39,0.5282198246149274
40,0.1301777713989004
41,0.49549305655402437
42,0.29301240783408794
43,0.45675441622982726
44,0.10147334326416538
45,-0.007766450666754112
46,0.18866829383409128
47,-0.40633679293616465
48,0.02554276222234417
49,-0.3094691094656464
50,-0.7683534913541114
51,-0.6542973415017056
52,0.0434877648010193
53,-0.36481702311841263
54,0.11747874628070984
55,0.5043040382791271
56,0.2886903703893712
57,-0.8162485369907964
58,-2.2054344710941165
59,-0.6704379638793492
60,-0.29499507358208044
61,-1.78905743603716
62,-0.4143047015398457
63,0.7388225127214239
64,-0.049393897188180644
65,-0.2928755565620001
66,-0.5038959106990258
67,-0.8574001678777801
68,-0.2884310768392386
69,0.7139007030693267
70,2.2786744249305446
71,1.376417083708073
72,-0.8831626793084573
73,0.5584981060126392
74,0.5896773695879204
75,-1.149158579958205
76,-0.20545271480935465
77,-0.473784133622069
78,0.08576958849467763
79,0.1794282793026732
80,0.26227991387605676
81,0.3900929570911021
82,0.21165102627754817
83,-0.9534124329232356
84,0.5869820086526655
85,-0.09273916784916744
86,-0.3199410940200491
87,1.6955948965821646
88,0.4293851802949894
89,0.9601527665712544
90,0.16270198056014826
91,0.4016085130960673
92,0.23090853796300007
93,-0.4195750328504383
94,-1.5179804708809643
95,-0.32796363848105714
96,-2.2062303747443996
97,-1.0520917188007743
98,-1.3486431199893492
99,-2.581133912091728
100,-0.6469551359078686
101,-0.7006924400431953
102,-0.038964944836106685
103,0.1876058578386076
104,0.3857519546327996
105,0.29125523570891776
106,0.7437837640784714
107,-0.14455506786353892
108,0.10325884238720363
