DATE,BRENT
5/1/1987,18.58
6/1/1987,18.86
7/1/1987,19.86
8/1/1987,18.98
9/1/1987,18.31
10/1/1987,18.76
11/1/1987,17.78
12/1/1987,17.05
1/1/1988,16.75
2/1/1988,15.73
3/1/1988,14.73
4/1/1988,16.6
5/1/1988,16.31
6/1/1988,15.54
7/1/1988,14.91
8/1/1988,14.89
9/1/1988,13.18
10/1/1988,12.41
11/1/1988,13.02
12/1/1988,15.31
1/1/1989,17.17
2/1/1989,16.89
3/1/1989,18.7
4/1/1989,20.32
5/1/1989,18.63
6/1/1989,17.67
7/1/1989,17.62
8/1/1989,16.77
9/1/1989,17.77
10/1/1989,18.91
11/1/1989,18.73
12/1/1989,19.84
1/1/1990,21.25
2/1/1990,19.81
3/1/1990,18.39
4/1/1990,16.61
5/1/1990,16.35
6/1/1990,15.1
7/1/1990,17.17
8/1/1990,27.17
9/1/1990,34.9
10/1/1990,36.02
11/1/1990,33.07
12/1/1990,28.27
1/1/1991,23.57
2/1/1991,19.54
3/1/1991,19.08
4/1/1991,19.18
5/1/1991,19.19
6/1/1991,18.17
7/1/1991,19.4
8/1/1991,19.77
9/1/1991,20.5
10/1/1991,22.21
11/1/1991,21.11
12/1/1991,18.41
1/1/1992,18.16
2/1/1992,18.05
3/1/1992,17.63
4/1/1992,18.92
5/1/1992,19.89
6/1/1992,21.16
7/1/1992,20.24
8/1/1992,19.74
9/1/1992,20.27
10/1/1992,20.26
11/1/1992,19.21
12/1/1992,18.14
1/1/1993,17.39
2/1/1993,18.47
3/1/1993,18.79
4/1/1993,18.67
5/1/1993,18.51
6/1/1993,17.65
7/1/1993,16.78
8/1/1993,16.7
9/1/1993,16.01
10/1/1993,16.61
11/1/1993,15.2
12/1/1993,13.73
1/1/1994,14.29
2/1/1994,13.8
3/1/1994,13.82
4/1/1994,15.23
5/1/1994,16.19
6/1/1994,16.76
7/1/1994,17.6
8/1/1994,16.89
9/1/1994,15.9
10/1/1994,16.49
11/1/1994,17.19
12/1/1994,15.93
1/1/1995,16.55
2/1/1995,17.11
3/1/1995,17.01
4/1/1995,18.65
5/1/1995,18.35
6/1/1995,17.31
7/1/1995,15.85
8/1/1995,16.1
9/1/1995,16.7
10/1/1995,16.11
11/1/1995,16.86
12/1/1995,17.93
1/1/1996,17.85
2/1/1996,18
3/1/1996,19.85
4/1/1996,20.9
5/1/1996,19.15
6/1/1996,18.46
7/1/1996,19.57
8/1/1996,20.51
9/1/1996,22.63
10/1/1996,24.16
11/1/1996,22.76
12/1/1996,23.78
1/1/1997,23.54
2/1/1997,20.85
3/1/1997,19.13
4/1/1997,17.56
5/1/1997,19.02
6/1/1997,17.58
7/1/1997,18.46
8/1/1997,18.6
9/1/1997,18.46
10/1/1997,19.87
11/1/1997,19.17
12/1/1997,17.18
1/1/1998,15.19
2/1/1998,14.07
3/1/1998,13.1
4/1/1998,13.53
5/1/1998,14.36
6/1/1998,12.21
7/1/1998,12.08
8/1/1998,11.91
9/1/1998,13.34
10/1/1998,12.7
11/1/1998,11.04
12/1/1998,9.82
1/1/1999,11.11
2/1/1999,10.27
3/1/1999,12.51
4/1/1999,15.29
5/1/1999,15.23
6/1/1999,15.86
7/1/1999,19.08
8/1/1999,20.22
