date,unempl
2000-01-01,-1.8578992717326
2000-02-01,-1.8578992717326
2000-03-01,-1.851509473633829
2000-04-01,-1.820158943749753
2000-05-01,-1.8018098050815563
2000-06-01,-1.783791299578878
2000-07-01,-1.7719568419318752
2000-08-01,-1.7719568419318752
2000-09-01,-1.7778565640590638
2000-10-01,-1.8018098050815563
2000-11-01,-1.8018098050815563
2000-12-01,-1.783791299578878
2001-01-01,-1.7372712839439852
2001-02-01,-1.7259717286900518
2001-03-01,-1.7259717286900518
2001-04-01,-1.731605546408308
2001-05-01,-1.7372712839439852
2001-06-01,-1.754463684484358
2001-07-01,-1.7778565640590638
2001-08-01,-1.7897614665653818
2001-09-01,-1.783791299578878
2001-10-01,-1.7372712839439852
2001-11-01,-1.7372712839439852
2001-12-01,-1.754463684484358
2002-01-01,-1.7897614665653818
2002-02-01,-1.8325814637483102
2002-03-01,-1.8904754421672127
2002-04-01,-1.9589953886039688
2002-05-01,-2.017406150760383
2002-06-01,-2.0402208285265546
2002-07-01,-2.047942874620465
2002-08-01,-2.047942874620465
2002-09-01,-2.047942874620465
2002-10-01,-2.047942874620465
2002-11-01,-2.05572501506252
2002-12-01,-2.0635681925235456
2003-01-01,-2.0874737133771
2003-02-01,-2.0874737133771
2003-03-01,-2.071473372030659
2003-04-01,-2.047942874620465
2003-05-01,-2.0325579557809856
2003-06-01,-2.0402208285265546
2003-07-01,-2.0635681925235456
2003-08-01,-2.0874737133771
2003-09-01,-2.1037342342488805
2003-10-01,-2.120263536200091
2003-11-01,-2.1286317858706076
2003-12-01,-2.145581344184381
2004-01-01,-2.1541650878757723
2004-02-01,-2.1715568305876416
2004-03-01,-2.1892564076870427
2004-04-01,-2.2072749131897207
2004-05-01,-2.2164073967529934
2004-06-01,-2.2256240518579173
2004-07-01,-2.2256240518579173
2004-08-01,-2.2256240518579173
2004-09-01,-2.234926444520231
2004-10-01,-2.234926444520231
2004-11-01,-2.2537949288246137
2004-12-01,-2.2730262907525014
2005-01-01,-2.322787800311565
2005-02-01,-2.353878387381596
2005-03-01,-2.375155785828881
2005-04-01,-2.375155785828881
2005-05-01,-2.4079456086518722
2005-06-01,-2.4534079827286295
2005-07-01,-2.513306124309698
2005-08-01,-2.563949857128453
2005-09-01,-2.603690185777967
2005-10-01,-2.6310891599660815
2005-11-01,-2.659260036932778
2005-12-01,-2.6736487743848776
2006-01-01,-2.703062659591171
2006-02-01,-2.7488721956224653
2006-03-01,-2.7806208939370456
2006-04-01,-2.8302178350764176
2006-05-01,-2.8473122684357177
2006-06-01,-2.8473122684357177
2006-07-01,-2.8302178350764176
2006-08-01,-2.8473122684357177
2006-09-01,-2.882403588246988
2006-10-01,-2.9374633654300153
2006-11-01,-2.995732273553991
2006-12-01,-2.995732273553991
2007-01-01,-3.146555163288575
2007-02-01,-3.123565645063876
2007-03-01,-3.123565645063876
2007-04-01,-3.123565645063876
2007-05-01,-3.146555163288575
2007-06-01,-3.146555163288575
2007-07-01,-3.146555163288575
2007-08-01,-3.170085660698769
2007-09-01,-3.170085660698769
2007-10-01,-3.1941832122778293
2007-11-01,-3.2188758248682006
2007-12-01,-3.1941832122778293
2008-01-01,-3.170085660698769
2008-02-01,-3.170085660698769
2008-03-01,-3.1941832122778293
2008-04-01,-3.1941832122778293
2008-05-01,-3.146555163288575
2008-06-01,-3.036554268074246
2008-07-01,-2.882403588246988
2008-08-01,-2.7488721956224653
2008-09-01,-2.645075401940822
2008-10-01,-2.563949857128453
2008-11-01,-2.488914671185539
2008-12-01,-2.4079456086518722
2009-01-01,-2.322787800311565
2009-02-01,-2.234926444520231
2009-03-01,-2.1541650878757723
2009-04-01,-2.071473372030659
2009-05-01,-2.0099154790312257
2009-06-01,-1.9661128563728327
2009-07-01,-1.9379419794061363
2009-08-01,-1.903808973036678
2009-09-01,-1.870802676568508
2009-10-01,-1.8388510767619055
2009-11-01,-1.8140050781753747
2009-12-01,-1.7957674906255938
2010-01-01,-1.7897614665653818
2010-02-01,-1.7429693050586228
2010-03-01,-1.7259717286900518
2010-04-01,-1.7092582477163112
2010-05-01,-1.7037485919053417
2010-06-01,-1.698269126140716
2010-07-01,-1.698269126140716
2010-08-01,-1.7037485919053417
2010-09-01,-1.7147984280919266
2010-10-01,-1.720369473141382
2010-11-01,-1.7372712839439852
2010-12-01,-1.7486999797676082
2011-01-01,-1.760260802168684
2011-02-01,-1.783791299578878
2011-03-01,-1.8018098050815563
2011-04-01,-1.8325814637483102
2011-05-01,-1.8451602459551701
2011-06-01,-1.8578992717326
2011-07-01,-1.851509473633829
2011-08-01,-1.870802676568508
2011-09-01,-1.910543005218022
2011-10-01,-1.9661128563728327
2011-11-01,-2.0024805005437076
2011-12-01,-2.0024805005437076
2012-01-01,-1.973281345851445
2012-02-01,-1.9589953886039688
2012-03-01,-1.9661128563728327
2012-04-01,-1.9877743531540122
2012-05-01,-2.0024805005437076
2012-06-01,-2.017406150760383
2012-07-01,-2.0325579557809856
2012-08-01,-2.0325579557809856
2012-09-01,-2.0325579557809856
2012-10-01,-2.0325579557809856
2012-11-01,-2.0325579557809856
2012-12-01,-2.05572501506252
2013-01-01,-2.0874737133771
2013-02-01,-2.120263536200091
2013-03-01,-2.137070654516472
2013-04-01,-2.1286317858706076
2013-05-01,-2.145581344184381
2013-06-01,-2.1541650878757723
2013-07-01,-2.145581344184381
2013-08-01,-2.137070654516472
2013-09-01,-2.145581344184381
2013-10-01,-2.145581344184381
2013-11-01,-2.145581344184381
2013-12-01,-2.1541650878757723
2014-01-01,-2.1541650878757723
