date,brent
2000-01-01,4.391729410135267
2000-04-01,4.385769620952716
2000-07-01,4.522005944727322
2000-10-01,4.490544660146788
2001-01-01,4.35182512594076
2001-04-01,4.404521712501253
2001-07-01,4.3295484280286765
2001-10-01,4.061304708143901
2002-01-01,4.149463861443181
2002-04-01,4.319619174545265
2002-07-01,4.391853195491617
2002-10-01,4.384648195378833
2003-01-01,4.549234553657788
2003-04-01,4.363226005210164
2003-07-01,4.4467604492404496
2003-10-01,4.479266769098936
2004-01-01,4.561949483533528
2004-04-01,4.666641508076192
2004-07-01,4.821571056434909
2004-10-01,4.886507170880032
2005-01-01,4.963473802918644
2005-04-01,5.042650623528266
2005-07-01,5.217161539587027
2005-10-01,5.139556074163095
2006-01-01,5.221760243825881
2006-04-01,5.340418542566672
2006-07-01,5.341664171051403
2006-10-01,5.187609244563615
2007-01-01,5.154966491652154
2007-04-01,5.326661839557179
2007-07-01,5.415477986321614
2007-10-01,5.5822925770684915
2008-01-01,5.672670132963575
2008-04-01,5.897675709475578
2008-07-01,5.838284229660164
2008-10-01,5.099744469168032
2009-01-01,4.892602227184663
2009-04-01,5.1709952279726865
2009-07-01,5.321056853517526
2009-10-01,5.411154859811406
2010-01-01,5.432629704155631
2010-04-01,5.461838293878274
2010-07-01,5.440077311585869
2010-10-01,5.5583712718823435
2011-01-01,5.752191613863888
2011-04-01,5.863858422502836
2011-07-01,5.829004439409583
2011-10-01,5.793592708965712
2012-01-01,5.8734408574967585
2012-04-01,5.784594117392615
2012-07-01,5.795571310283933
2012-10-01,5.799880223034842
2013-01-01,5.821506249297426
2013-04-01,5.729222775137979
2013-07-01,5.801544192438697
2013-10-01,5.791884922877747
2014-01-01,5.782285536144145
2014-04-01,5.796361655949294
2014-07-01,5.721851574117079
2014-10-01,5.434638613906275
2015-01-01,5.08605193338101
2015-04-01,5.220788164038799
2015-07-01,5.01529110563245
2015-10-01,4.872981128797461
2016-01-01,4.616011209165967
2016-04-01,4.9168373036903334
2016-07-01,4.92260521658922
2016-10-01,4.994234872728475
2017-01-01,5.081652781331536
2017-04-01,5.004013417787369
2017-07-01,5.051969157589233
2017-10-01,5.218137149420508
2018-01-01,5.3004151646301825
2018-04-01,5.409411414053624
2018-07-01,5.419073755183819
2018-10-01,5.313895396511355
2019-01-01,5.244441793578718
2019-04-01,5.331607064412679
2019-07-01,5.2246170036180795
2019-10-01,5.24823386638005
