date,co2,treatment_dummy,post_dummy,treatment_post_dummy
2010-10-01,78909633830.0,0,0,0
2010-11-01,84032998070.0,0,0,0
2010-12-01,100916860100.0,0,0,0
2016-01-01,94930575850.0,0,1,0
2016-02-01,86594328990.0,0,1,0
2016-03-01,87966548610.0,0,1,0
2016-04-01,75722150510.0,0,1,0
2016-05-01,61773280050.0,0,1,0
2016-06-01,57329661560.0,0,1,0
2016-07-01,56365921090.0,0,1,0
2016-08-01,57109405020.0,0,1,0
2016-09-01,59778000230.0,0,1,0
2016-10-01,78998824880.0,0,1,0
2016-11-01,89829901080.0,0,1,0
2016-12-01,92051384430.0,0,1,0
2010-01-01,9343367668.0,0,0,0
2010-02-01,8192715609.000001,0,0,0
2010-03-01,8134539392.0,0,0,0
2010-04-01,7488447531.0,0,0,0
2010-05-01,7422877418.0,0,0,0
2010-06-01,7457663815.0,0,0,0
2010-07-01,8052079455.0,0,0,0
2010-08-01,8069636991.0,0,0,0
2010-09-01,7629068359.0,0,0,0
2010-10-01,7690823472.0,0,0,0
2010-11-01,7263851321.0,0,0,0
2010-12-01,8520737223.0,0,0,0
2016-01-01,7423853723.0,0,1,0
2016-02-01,6045115968.0,0,1,0
2016-03-01,6291735621.0,0,1,0
2016-04-01,5285642474.0,0,1,0
2016-05-01,5268056211.0,0,1,0
2016-06-01,5545693964.0,0,1,0
2016-07-01,5996495555.0,0,1,0
2016-08-01,5932943563.0,0,1,0
2016-09-01,6001356524.0,0,1,0
2016-10-01,6335384117.0,0,1,0
2016-11-01,6861488626.0,0,1,0
2016-12-01,7987018815.0,0,1,0
2010-01-01,7200674959.0,0,0,0
2010-02-01,6255900265.0,0,0,0
2010-03-01,5807502881.0,0,0,0
2010-04-01,4738507947.0,0,0,0
2010-05-01,4618948851.0,0,0,0
2010-06-01,4498732381.0,0,0,0
2010-07-01,4482041296.0,0,0,0
2010-08-01,4370469322.0,0,0,0
2010-09-01,4637634773.0,0,0,0
2010-10-01,5588795228.0,0,0,0
2010-11-01,5505537654.0,0,0,0
2010-12-01,7132945247.0,0,0,0
2016-01-01,6757568508.0,0,1,0
2016-02-01,5236291001.0,0,1,0
2016-03-01,5499592300.0,0,1,0
2016-04-01,4506561779.0,0,1,0
2016-05-01,4495192881.0,0,1,0
2016-06-01,4433209513.0,0,1,0
2016-07-01,4460674983.0,0,1,0
2016-08-01,4465058414.0,0,1,0
2016-09-01,4646071834.0,0,1,0
2016-10-01,5436722603.0,0,1,0
2016-11-01,6038018667.0,0,1,0
2016-12-01,7046861303.0,0,1,0
2010-01-01,51683851570.0,0,0,0
2010-02-01,46625498810.0,0,0,0
2010-03-01,46348981700.0,0,0,0
2010-04-01,38259723780.0,0,0,0
2010-05-01,32735968220.0,0,0,0
2010-06-01,32297427850.0,0,0,0
2010-07-01,34252329070.0,0,0,0
2010-08-01,31850465100.0,0,0,0
2010-09-01,33453390870.000004,0,0,0
2010-10-01,38318927200.0,0,0,0
2010-11-01,42134280740.0,0,0,0
2010-12-01,50626210200.0,0,0,0
2016-01-01,42880585960.0,0,1,0
2016-02-01,37754245420.0,0,1,0
2016-03-01,39028810150.0,0,1,0
2016-04-01,30777089570.0,0,1,0
2016-05-01,28116260170.0,0,1,0
2016-06-01,26926571550.0,0,1,0
2016-07-01,28551899900.0,0,1,0
2016-08-01,26804101580.0,0,1,0
2016-09-01,29554080350.0,0,1,0
2016-10-01,33261067060.0,0,1,0
2016-11-01,38532354550.0,0,1,0
2016-12-01,44529356980.0,0,1,0
2010-01-01,2037359664.0,0,0,0
2010-02-01,1786044499.0,0,0,0
2010-03-01,1773303624.0,0,0,0
2010-04-01,1542367287.0,0,0,0
2010-05-01,1358044913.0,0,0,0
2010-06-01,1232796160.0,0,0,0
2010-07-01,1188463131.0,0,0,0
2010-08-01,1165833631.0,0,0,0
2010-09-01,1351357308.0,0,0,0
2010-10-01,1689651239.0,0,0,0
2010-11-01,1718433671.0,0,0,0
2010-12-01,1995562976.0,0,0,0
2016-01-01,2099871375.0,0,1,0
2016-02-01,1724795136.0,0,1,0
2016-03-01,1808290310.0,0,1,0
2016-04-01,1649611687.0,0,1,0
2016-05-01,1411895811.0,0,1,0
2016-06-01,1417755280.0,0,1,0
2016-07-01,1276112776.0,0,1,0
2016-08-01,1226857201.0,0,1,0
2016-09-01,1532534696.0,0,1,0
2016-10-01,1782990856.0,0,1,0
2016-11-01,2124742140.0,0,1,0
2016-12-01,1906739652.0,0,1,0
2010-01-01,21017148570.0,0,0,0
2010-02-01,19162053170.0,0,0,0
2010-03-01,18344068500.0,0,0,0
2010-04-01,16350784020.0,0,0,0
2010-05-01,15352250230.0,0,0,0
2010-06-01,13576459020.0,0,0,0
2010-07-01,13983820600.0,0,0,0
2010-08-01,13648052950.0,0,0,0
2010-09-01,13708260730.0,0,0,0
2010-10-01,15722663520.0,0,0,0
2010-11-01,17510969210.0,0,0,0
2010-12-01,20195971030.0,0,0,0
2016-01-01,17950180630.0,0,1,0
2016-02-01,17235956020.0,0,1,0
2016-03-01,17552468540.0,0,1,0
2016-04-01,15730648540.0,0,1,0
2016-05-01,13299887930.0,0,1,0
2016-06-01,12991589650.0,0,1,0
2016-07-01,12858403100.0,0,1,0
2016-08-01,12771228480.0,0,1,0
2016-09-01,13270880030.0,0,1,0
2016-10-01,16451230970.0,0,1,0
