Series,$\hat{\Delta}_T$ (ATT),$\hat{\sigma}_{\Delta_T}$ (STD),P-value
12-m Log-Diff $CO_2$,-0.009,0.034,0.047
12-m Log $CO_2$,-0.04,0.039,0.0
Absolute $CO_2$,-360844627.252,336219591.881,0.0
