date,infl
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,0.033
2001-04-01,0.03266666666666667
2001-07-01,0.025333333333333336
2001-10-01,0.019666666666666666
2002-01-01,-0.0026666666666666644
2002-04-01,-0.014000000000000005
2002-07-01,-0.015999999999999993
2002-10-01,-0.016666666666666663
2003-01-01,-0.018333333333333337
2003-04-01,-0.017666666666666664
2003-07-01,-0.015666666666666672
2003-10-01,-0.014666666666666668
2004-01-01,-0.01366666666666667
2004-04-01,-0.006000000000000002
2004-07-01,-0.009
2004-10-01,-0.004000000000000002
2005-01-01,0.00033333333333333305
2005-04-01,-0.0033333333333333322
2005-07-01,0.004333333333333333
2005-10-01,0.0026666666666666696
2006-01-01,0.0010000000000000009
2006-04-01,0.005666666666666669
2006-07-01,0.0010000000000000009
2006-10-01,-0.0013333333333333357
2007-01-01,-0.00033333333333333305
2007-04-01,0.0009999999999999974
2007-07-01,-0.00466666666666667
2007-10-01,0.0010000000000000009
2008-01-01,0.004
2008-04-01,0.0013333333333333322
2008-07-01,0.016666666666666666
2008-10-01,0.0036666666666666653
2009-01-01,-0.0009999999999999974
2009-04-01,-0.004666666666666666
2009-07-01,-0.03
2009-10-01,-0.014333333333333333
2010-01-01,-0.013000000000000001
2010-04-01,-0.011333333333333332
2010-07-01,0.013666666666666666
2010-10-01,0.009333333333333332
2011-01-01,0.013999999999999999
2011-04-01,0.018000000000000002
2011-07-01,0.018333333333333333
2011-10-01,0.011000000000000001
2012-01-01,0.009999999999999998
2012-04-01,0.0036666666666666653
2012-07-01,-0.00566666666666666
2012-10-01,0.006666666666666668
2013-01-01,0.0030000000000000027
2013-04-01,0.004333333333333335
2013-07-01,0.0019999999999999983
2013-10-01,-0.020000000000000004
2014-01-01,-0.027666666666666666
2014-04-01,-0.027
2014-07-01,-0.024333333333333335
2014-10-01,-0.011
2015-01-01,-0.009333333333333334
2015-04-01,0.0006666666666666665
2015-07-01,0.0016666666666666666
2015-10-01,0.002333333333333334
2016-01-01,0.008333333333333333
2016-04-01,-0.006
2016-07-01,-0.007
2016-10-01,0.0003333333333333322
2017-01-01,0.009666666666666665
2017-04-01,0.012333333333333333
2017-07-01,0.016666666666666666
2017-10-01,0.008666666666666668
2018-01-01,-0.00033333333333333305
2018-04-01,0.004999999999999999
2018-07-01,0.0033333333333333322
2018-10-01,0.005000000000000003
2019-01-01,0.012333333333333332
2019-04-01,0.011333333333333336
2019-07-01,0.010000000000000002
2019-10-01,0.008999999999999994
