date,infl
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,-0.061999999999999986
2001-02-01,-0.10400000000000001
2001-03-01,-0.10200000000000001
2001-04-01,-0.09100000000000001
2001-05-01,-0.09000000000000001
2001-06-01,-0.082
2001-07-01,-0.013000000000000012
2001-08-01,-0.01100000000000001
2001-09-01,-0.015000000000000013
2001-10-01,-0.017999999999999988
2001-11-01,-0.017999999999999988
2001-12-01,-0.017
2002-01-01,-0.009999999999999995
2002-02-01,-0.018999999999999996
2002-03-01,-0.028000000000000004
2002-04-01,-0.03399999999999999
2002-05-01,-0.039999999999999994
2002-06-01,-0.047
2002-07-01,-0.057999999999999996
2002-08-01,-0.047
2002-09-01,-0.041999999999999996
2002-10-01,-0.036000000000000004
2002-11-01,-0.038000000000000006
2002-12-01,-0.035
2003-01-01,0.0059999999999999915
2003-02-01,0.030000000000000006
2003-03-01,0.042
2003-04-01,0.039999999999999994
2003-05-01,0.043
2003-06-01,0.05500000000000001
2003-07-01,0.063
2003-08-01,0.06
2003-09-01,0.06200000000000001
2003-10-01,0.06000000000000001
2003-11-01,0.065
2003-12-01,0.062
2004-01-01,0.01200000000000001
2004-02-01,0.009999999999999995
2004-03-01,0.0
2004-04-01,0.0020000000000000018
2004-05-01,0.0059999999999999915
2004-06-01,-0.0010000000000000148
2004-07-01,-0.0010000000000000009
2004-08-01,-0.019000000000000003
2004-09-01,-0.02700000000000001
2004-10-01,-0.02700000000000001
2004-11-01,-0.032999999999999995
2004-12-01,-0.034999999999999996
2005-01-01,-0.051000000000000004
2005-02-01,-0.057
2005-03-01,-0.056
2005-04-01,-0.053
2005-05-01,-0.05799999999999999
2005-06-01,-0.05599999999999999
2005-07-01,-0.063
2005-08-01,-0.04999999999999999
2005-09-01,-0.043000000000000003
2005-10-01,-0.031
2005-11-01,-0.026000000000000002
2005-12-01,-0.021000000000000005
2006-01-01,0.008999999999999994
2006-02-01,0.015999999999999993
2006-03-01,0.018999999999999996
2006-04-01,0.018000000000000002
2006-05-01,0.024
2006-06-01,0.018999999999999996
2006-07-01,0.029
2006-08-01,0.029
2006-09-01,0.022
2006-10-01,-0.004
2006-11-01,0.0
2006-12-01,-0.000999999999999994
2007-01-01,-0.018999999999999993
2007-02-01,-0.022999999999999996
2007-03-01,-0.022999999999999996
2007-04-01,-0.024000000000000004
2007-05-01,-0.033
2007-06-01,-0.03
2007-07-01,-0.038000000000000006
2007-08-01,-0.038000000000000006
2007-09-01,-0.027999999999999997
2007-10-01,-0.007000000000000003
2007-11-01,-0.013000000000000005
2007-12-01,-0.012000000000000004
2008-01-01,0.009999999999999998
2008-02-01,0.014000000000000002
2008-03-01,0.016000000000000004
2008-04-01,0.016000000000000004
2008-05-01,0.025
2008-06-01,0.027999999999999997
2008-07-01,0.032
2008-08-01,0.033
2008-09-01,0.028999999999999998
2008-10-01,0.018000000000000002
2008-11-01,0.016
2008-12-01,0.010000000000000002
2009-01-01,-0.0049999999999999975
2009-02-01,-0.010000000000000002
2009-03-01,-0.018000000000000002
2009-04-01,-0.022000000000000006
2009-05-01,-0.028999999999999998
2009-06-01,-0.036
2009-07-01,-0.038000000000000006
2009-08-01,-0.04
2009-09-01,-0.046
2009-10-01,-0.043000000000000003
2009-11-01,-0.039
2009-12-01,-0.035
2010-01-01,-0.029000000000000005
2010-02-01,-0.026000000000000002
2010-03-01,-0.015000000000000003
2010-04-01,-0.006999999999999999
