date,co2_cap
2000-01-01,975.9679356906037
2000-02-01,846.0102507099642
2000-03-01,791.2849437321366
2000-04-01,595.0369612236584
2000-05-01,515.2377987631004
2000-06-01,478.86096056285874
2000-07-01,446.9443838634428
2000-08-01,441.7680443193809
2000-09-01,522.4102604590893
2000-10-01,615.764396090554
2000-11-01,711.6911657810183
2000-12-01,839.846184170632
2001-01-01,903.8342296538648
2001-02-01,826.3633136908635
2001-03-01,774.4639086549184
2001-04-01,677.3494607505995
2001-05-01,552.630200382921
2001-06-01,527.946214101158
2001-07-01,489.8164893953194
2001-08-01,476.73136961855903
2001-09-01,555.6062005762617
2001-10-01,660.1338426218538
2001-11-01,819.6400286904038
2001-12-01,932.7130697634068
2002-01-01,887.659226993865
2002-02-01,782.2261463859007
2002-03-01,751.0286999739722
2002-04-01,682.1103558414517
2002-05-01,555.7171571021319
2002-06-01,533.9997607154367
2002-07-01,509.0932578461996
2002-08-01,482.5182872335811
2002-09-01,560.142312059199
2002-10-01,713.1773143069629
2002-11-01,751.1778068158578
2002-12-01,877.4875964130563
2003-01-01,887.2567816839875
2003-02-01,864.703560681176
2003-03-01,777.4503900377395
2003-04-01,679.3377360104108
2003-05-01,586.6092873741286
2003-06-01,532.6245777047961
2003-07-01,511.0771863556093
2003-08-01,503.9284104343515
2003-09-01,537.4391500356269
2003-10-01,718.3470730483272
2003-11-01,739.4160352401074
2003-12-01,811.5839540560298
2004-01-01,904.8681797907335
2004-02-01,840.9530504054364
2004-03-01,793.6514334648572
2004-04-01,684.3234132337366
2004-05-01,618.9828498169859
2004-06-01,555.7917244774733
2004-07-01,531.5963540099203
2004-08-01,513.6836433436533
2004-09-01,577.3249067876889
2004-10-01,693.0042643289626
2004-11-01,767.7626540340104
2004-12-01,821.760556539071
2005-01-01,878.9554048834834
2005-02-01,869.905923404466
2005-03-01,831.1733201928373
2005-04-01,681.6468100471541
2005-05-01,613.560738820239
2005-06-01,558.1295037742854
2005-07-01,531.3842264788315
2005-08-01,511.3991744617669
2005-09-01,566.7448640573093
2005-10-01,716.5040877036707
2005-11-01,803.4820144619152
2005-12-01,856.2315000556677
2006-01-01,951.2905978402049
2006-02-01,860.8475009740802
2006-03-01,820.3913181818182
2006-04-01,665.3480156948593
2006-05-01,592.9827748131017
2006-06-01,546.4394812927799
2006-07-01,535.8290020959695
2006-08-01,509.0568715688214
2006-09-01,552.0342628504311
2006-10-01,687.478928160813
2006-11-01,749.7532848966574
2006-12-01,807.0118326885283
2007-01-01,831.767368928439
2007-02-01,810.3423534318694
2007-03-01,765.8941010923559
2007-04-01,678.0832569130403
2007-05-01,596.7164999444053
2007-06-01,559.4459916987845
2007-07-01,534.3309836217438
2007-08-01,520.7816244187699
2007-09-01,589.8585433440355
2007-10-01,727.307663215602
2007-11-01,803.7938719414336
2007-12-01,851.7668030414308
2008-01-01,882.4742856085008
2008-02-01,840.7590890861865
2008-03-01,792.4263329714257
2008-04-01,703.2608028791888
2008-05-01,599.5441057487142
2008-06-01,554.7798831595628
2008-07-01,530.6726679242491
2008-08-01,526.6715627600233
2008-09-01,606.0705417996722
2008-10-01,711.9059253987912
2008-11-01,770.4139820860951
2008-12-01,821.0556813520489
2009-01-01,874.5203502678736
2009-02-01,806.867547730897
2009-03-01,748.1785417230935
2009-04-01,598.4263211535977
2009-05-01,558.6379482509307
2009-06-01,510.7561187841055
2009-07-01,488.0275635229642
2009-08-01,473.5912611615379
2009-09-01,514.1146085031818
2009-10-01,673.8306010032088
2009-11-01,706.5847071187566
2009-12-01,799.0205425084796
2010-01-01,875.4276883097735
2010-02-01,821.5283667063867
2010-03-01,787.4414672521265
2010-04-01,682.2936626878868
2010-05-01,597.0513819755663
2010-06-01,547.2529016180117
2010-07-01,532.4066461685753
2010-08-01,508.24637752660067
2010-09-01,584.336676237806
2010-10-01,737.636902167912
2010-11-01,744.2133996863759
2010-12-01,884.8740758618138
2011-01-01,840.2512651328352
2011-02-01,807.8268675160338
2011-03-01,789.8713573436294
2011-04-01,669.1922635635932
2011-05-01,608.2625701987859
2011-06-01,545.1907227621294
2011-07-01,531.0873268885308
2011-08-01,505.1115389410791
2011-09-01,526.079924461697
2011-10-01,681.5135264716772
2011-11-01,775.3946941344144
2011-12-01,779.8770041085244
2012-01-01,773.8183281212412
2012-02-01,815.6017786193157
2012-03-01,713.126192992951
2012-04-01,633.2617360096199
2012-05-01,553.7547376956185
2012-06-01,521.0246706660665
2012-07-01,500.1498721979729
2012-08-01,489.18543073954663
2012-09-01,524.335604420666
2012-10-01,652.7328046593325
2012-11-01,692.7119026461418
2012-12-01,824.7538428028319
2013-01-01,841.7593913573858
2013-02-01,763.7236180003696
2013-03-01,778.104863441496
2013-04-01,643.1616412918961
2013-05-01,559.2124572920644
2013-06-01,505.8907664503257
2013-07-01,488.9572895193764
2013-08-01,482.1496204565603
2013-09-01,541.4159265004616
2013-10-01,637.6637680035453
2013-11-01,718.6103126577137
2013-12-01,770.2445408891733
2014-01-01,743.3158673337518
2014-02-01,707.3034703873489
2014-03-01,681.8514699259223
2014-04-01,618.6857159994833
2014-05-01,549.2022980105562
2014-06-01,508.18135876284856
2014-07-01,477.8244131975199
2014-08-01,460.8946077768074
2014-09-01,522.8156091785776
2014-10-01,642.6417403416848
2014-11-01,693.4733303405059
2014-12-01,741.407579819944
2015-01-01,755.790759864962
2015-02-01,750.4689587278943
2015-03-01,727.5527941709963
2015-04-01,634.4057970265983
2015-05-01,553.1704002336234
2015-06-01,503.6741838591487
2015-07-01,490.9467516181976
2015-08-01,483.84112403886934
2015-09-01,532.4341330039271
2015-10-01,652.845502811319
2015-11-01,690.8229982244122
2015-12-01,758.9204213377889
2016-01-01,791.5374458754814
2016-02-01,721.2451289577756
2016-03-01,729.1221433176356
2016-04-01,645.86136450698
2016-05-01,566.2721414234417
2016-06-01,530.7712179628811
2016-07-01,505.21349030725895
2016-08-01,496.7316803799216
2016-09-01,537.5100472991626
2016-10-01,671.9190031834827
2016-11-01,737.8179345432688
2016-12-01,779.1512648958288
2017-01-01,858.7544669107501
2017-02-01,771.6454272416775
2017-03-01,731.6945243189886
2017-04-01,690.6684698850574
2017-05-01,603.6295261241603
2017-06-01,562.5196167636045
2017-07-01,543.429229326764
2017-08-01,522.4975008118823
2017-09-01,575.2773043744638
2017-10-01,688.485691103229
2017-11-01,741.7502589121647
2017-12-01,775.7145403935546
2018-01-01,841.2290270786641
2018-02-01,759.2736106025629
2018-03-01,727.4905192976441
2018-04-01,682.3815022680942
2018-05-01,594.1277297684411
2018-06-01,555.7945662192682
2018-07-01,534.0787934421414
2018-08-01,521.536629564813
