series,log,diff_level,diff_order,regression,stationary,p_value
brent,0,0,1,c,0.0,0.37565193406206526
brent,0,0,1,ct,0.0,0.7548337017463562
brent,0,0,1,ctt,0.0,0.13717172862450638
brent,0,0,1,n,0.0,0.5465165931036499
brent,0,0,2,c,0.0,0.37565193406206526
brent,0,0,2,ct,0.0,0.7548337017463562
brent,0,0,2,ctt,0.0,0.13717172862450638
brent,0,0,2,n,0.0,0.5465165931036499
brent,0,1,1,c,1.0,8.769091703844102e-10
brent,0,1,2,c,1.0,7.411288556431089e-09
brent,0,2,1,c,1.0,0.009635070221285276
brent,0,2,2,c,1.0,7.008965128909069e-05
brent,0,4,1,c,1.0,0.03430829701408793
brent,0,4,2,c,1.0,0.01943457613345494
brent,0,8,1,c,0.0,0.37601331855886433
brent,0,8,1,ct,0.0,0.15406184755304203
brent,0,8,1,ctt,0.0,0.45271080384057055
brent,0,8,1,n,1.0,0.0706343659117826
brent,0,8,2,c,1.0,0.07552261528838934
brent,1,0,1,c,0.0,0.27734685985344704
brent,1,0,1,ct,0.0,0.6336443984569764
brent,1,0,1,ctt,0.0,0.21066896975962743
brent,1,0,1,n,0.0,0.7697730859276037
brent,1,0,2,c,0.0,0.27734685985344704
brent,1,0,2,ct,0.0,0.6336443984569764
brent,1,0,2,ctt,0.0,0.21066896975962743
brent,1,0,2,n,0.0,0.7697730859276037
brent,1,1,1,c,1.0,4.4295480557397935e-09
brent,1,1,2,c,1.0,8.911485816775448e-09
brent,1,2,1,c,1.0,0.013363880620023706
brent,1,2,2,c,1.0,0.00037523214801221964
brent,1,4,1,c,1.0,0.07827941705395733
brent,1,4,2,c,1.0,0.027411499508215302
brent,1,8,1,c,0.0,0.42466901225447495
brent,1,8,1,ct,0.0,0.2451502301884798
brent,1,8,1,ctt,0.0,0.5838362882282101
brent,1,8,1,n,1.0,0.09154404711121372
brent,1,8,2,c,0.0,0.1318763309358531
brent,1,8,2,ct,0.0,0.40975675402379175
brent,1,8,2,ctt,0.0,0.6198822942866085
brent,1,8,2,n,1.0,0.01617069906576018
co2,0,0,1,c,0.10526315789473684,0.6964943887103686
co2,0,0,1,ct,0.058823529411764705,0.4185911952528201
co2,0,0,1,ctt,0.0625,0.644790030788073
co2,0,0,1,n,0.06666666666666667,0.3385310525860094
co2,0,0,2,c,0.10526315789473684,0.6964943887103686
co2,0,0,2,ct,0.058823529411764705,0.4185911952528201
co2,0,0,2,ctt,0.0625,0.644790030788073
co2,0,0,2,n,0.06666666666666667,0.3385310525860094
co2,0,1,1,c,0.8421052631578947,0.08529385108442511
co2,0,1,1,ct,0.0,0.7244770229918572
co2,0,1,1,ctt,0.3333333333333333,0.34293321148066475
co2,0,1,1,n,0.5,0.11311839609711036
co2,0,1,2,c,1.0,1.2660056071333034e-06
co2,0,2,1,c,0.6842105263157895,0.12966903039801408
co2,0,2,1,ct,0.0,0.5883539325596002
co2,0,2,1,ctt,0.3333333333333333,0.3283257980373809
co2,0,2,1,n,0.5,0.10411024150245833
co2,0,2,2,c,0.9473684210526315,0.020201174421099817
co2,0,2,2,ct,0.0,0.660877724063366
co2,0,2,2,ctt,0.0,0.8391331825153671
co2,0,2,2,n,1.0,0.05278585018693534
co2,0,4,1,c,0.7368421052631579,0.10017660555696432
co2,0,4,1,ct,0.2,0.46817139622645243
co2,0,4,1,ctt,0.25,0.5127402164069397
co2,0,4,1,n,0.6666666666666666,0.0890814950433046
co2,0,4,2,c,0.8421052631578947,0.05546544082499143
co2,0,4,2,ct,0.0,0.5241728361934705
co2,0,4,2,ctt,0.0,0.7097912119833393
co2,0,4,2,n,0.6666666666666666,0.04891585720551411
co2,0,8,1,c,0.5263157894736842,0.14078502224254902
co2,0,8,1,ct,0.0,0.5759777222723945
co2,0,8,1,ctt,0.3333333333333333,0.4551820454904856
co2,0,8,1,n,0.3333333333333333,0.1454482470038645
co2,0,8,2,c,0.631578947368421,0.10513010150341155
co2,0,8,2,ct,0.14285714285714285,0.20542224780568072
co2,0,8,2,ctt,0.0,0.5772290344598585
co2,0,8,2,n,1.0,0.028218498526493854
co2,1,0,1,c,0.10526315789473684,0.6667556721910899
co2,1,0,1,ct,0.11764705882352941,0.40706458242139504
co2,1,0,1,ctt,0.06666666666666667,0.66248685853673
co2,1,0,1,n,0.07142857142857142,0.3691991891263014
co2,1,0,2,c,0.10526315789473684,0.6667556721910899
co2,1,0,2,ct,0.11764705882352941,0.40706458242139504
co2,1,0,2,ctt,0.06666666666666667,0.66248685853673
co2,1,0,2,n,0.07142857142857142,0.3691991891263014
co2,1,1,1,c,0.631578947368421,0.14121737416139157
co2,1,1,1,ct,0.0,0.586742221347282
co2,1,1,1,ctt,0.14285714285714285,0.5933282370081646
co2,1,1,1,n,0.6666666666666666,0.09322372542579412
co2,1,1,2,c,1.0,1.7281164855522773e-05
co2,1,2,1,c,0.631578947368421,0.13996245193207732
co2,1,2,1,ct,0.0,0.559601333267616
co2,1,2,1,ctt,0.14285714285714285,0.5471373978464336
co2,1,2,1,n,0.6666666666666666,0.09464963228322286
co2,1,2,2,c,1.0,0.0032598816707201544
co2,1,4,1,c,0.6842105263157895,0.11380690762903856
co2,1,4,1,ct,0.0,0.5193073094305116
co2,1,4,1,ctt,0.16666666666666666,0.5132464947669807
co2,1,4,1,n,0.8,0.07703341776853352
co2,1,4,2,c,0.7368421052631579,0.07735014322256675
co2,1,4,2,ct,0.0,0.5070775813139804
co2,1,4,2,ctt,0.0,0.5960925793436729
co2,1,4,2,n,0.8,0.045304039107199844
co2,1,8,1,c,0.5263157894736842,0.16021469451017759
co2,1,8,1,ct,0.0,0.6313258743289248
co2,1,8,1,ctt,0.2222222222222222,0.43046035962464035
co2,1,8,1,n,0.7142857142857143,0.06399529977203218
co2,1,8,2,c,0.47368421052631576,0.14933123854335315
co2,1,8,2,ct,0.2,0.25492464973000567
co2,1,8,2,ctt,0.0,0.6834307714840429
co2,1,8,2,n,1.0,0.033148824143539604
co2_cap,0,0,1,c,0.05263157894736842,0.768725183380083
co2_cap,0,0,1,ct,0.2222222222222222,0.45438846848881664
co2_cap,0,0,1,ctt,0.07142857142857142,0.7498194033269551
co2_cap,0,0,1,n,0.3076923076923077,0.3181494536779824
co2_cap,0,0,2,c,0.05263157894736842,0.768725183380083
co2_cap,0,0,2,ct,0.2222222222222222,0.45438846848881664
co2_cap,0,0,2,ctt,0.07142857142857142,0.7498194033269551
co2_cap,0,0,2,n,0.3076923076923077,0.3181494536779824
co2_cap,0,1,1,c,0.7894736842105263,0.08554215069726705
co2_cap,0,1,1,ct,0.0,0.634821218212297
co2_cap,0,1,1,ctt,0.25,0.5516222174444568
co2_cap,0,1,1,n,0.3333333333333333,0.1419171092195985
co2_cap,0,1,2,c,1.0,9.74990609609082e-07
co2_cap,0,2,1,c,0.631578947368421,0.1336677635637385
co2_cap,0,2,1,ct,0.0,0.5339383231062478
co2_cap,0,2,1,ctt,0.2857142857142857,0.41777035797742007
co2_cap,0,2,1,n,0.4,0.14479885262080922
co2_cap,0,2,2,c,0.9473684210526315,0.018059807443533447
co2_cap,0,2,2,ct,0.0,0.6312273798319152
co2_cap,0,2,2,ctt,0.0,0.7628125994100217
co2_cap,0,2,2,n,1.0,0.04321943872525137
co2_cap,0,4,1,c,0.6842105263157895,0.11040799454320112
co2_cap,0,4,1,ct,0.16666666666666666,0.4401133067730505
co2_cap,0,4,1,ctt,0.2,0.4701811566899507
co2_cap,0,4,1,n,0.25,0.15148213194066873
co2_cap,0,4,2,c,0.8421052631578947,0.05449252178102992
co2_cap,0,4,2,ct,0.0,0.5042730878092443
co2_cap,0,4,2,ctt,0.0,0.6762764413129972
co2_cap,0,4,2,n,1.0,0.04511902659039909
co2_cap,0,8,1,c,0.5789473684210527,0.1262404412332306
co2_cap,0,8,1,ct,0.125,0.4666069357098857
co2_cap,0,8,1,ctt,0.2857142857142857,0.5406469783769047
co2_cap,0,8,1,n,0.0,0.16093441879663575
co2_cap,0,8,2,c,0.631578947368421,0.10831478750435357
co2_cap,0,8,2,ct,0.14285714285714285,0.22906052813981484
co2_cap,0,8,2,ctt,0.0,0.5098922074331128
co2_cap,0,8,2,n,1.0,0.028875259584492136
co2_cap,1,0,1,c,0.10526315789473684,0.7160893217904312
co2_cap,1,0,1,ct,0.11764705882352941,0.4539197900010873
co2_cap,1,0,1,ctt,0.06666666666666667,0.6996325576942934
co2_cap,1,0,1,n,0.2857142857142857,0.32447680256249345
co2_cap,1,0,2,c,0.10526315789473684,0.7160893217904312
co2_cap,1,0,2,ct,0.11764705882352941,0.4539197900010873
