country,2002-01-01,2002-02-01,2002-03-01,2002-04-01,2002-05-01,2002-06-01,2002-07-01,2002-08-01,2002-09-01,2002-10-01,2002-11-01,2002-12-01,2003-01-01,2003-02-01,2003-03-01,2003-04-01,2003-05-01,2003-06-01,2003-07-01,2003-08-01,2003-09-01,2003-10-01,2003-11-01,2003-12-01,2004-01-01,2004-02-01,2004-03-01,2004-04-01,2004-05-01,2004-06-01,2004-07-01,2004-08-01,2004-09-01,2004-10-01,2004-11-01,2004-12-01,2005-01-01,2005-02-01,2005-03-01,2005-04-01,2005-05-01,2005-06-01,2005-07-01,2005-08-01,2005-09-01,2005-10-01,2005-11-01,2005-12-01,2006-01-01,2006-02-01,2006-03-01,2006-04-01,2006-05-01,2006-06-01,2006-07-01,2006-08-01,2006-09-01,2006-10-01,2006-11-01,2006-12-01,2007-01-01,2007-02-01,2007-03-01,2007-04-01,2007-05-01,2007-06-01,2007-07-01,2007-08-01,2007-09-01,2007-10-01,2007-11-01,2007-12-01,2008-01-01,2008-02-01,2008-03-01,2008-04-01,2008-05-01,2008-06-01,2008-07-01,2008-08-01,2008-09-01,2008-10-01,2008-11-01,2008-12-01,2009-01-01,2009-02-01,2009-03-01,2009-04-01,2009-05-01,2009-06-01,2009-07-01,2009-08-01,2009-09-01,2009-10-01,2009-11-01,2009-12-01,2010-01-01,2010-02-01,2010-03-01,2010-04-01,2010-05-01,2010-06-01,2010-07-01,2010-08-01,2010-09-01,2010-10-01,2010-11-01,2010-12-01,2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01
austria,0.0520595191071038,-0.0252427139340234,0.0179995622236646,0.0287859563340973,0.0544591534221403,-0.0207604429167247,0.0570500135749085,0.0443326354433786,0.0079261728599213,0.1056643795118432,-0.0929606083446366,-0.0881162385287197,0.0136818557570244,0.1604268737823311,0.0553914508096475,0.0399116056672887,0.0105693852535395,0.022610576653868,0.0756733784630796,0.1099464829046255,0.0315096745284577,0.1000802658145367,0.0757731850961853,0.0380044933159631,0.0300956190978105,-0.0512737968298644,0.0481126252279544,-0.0090306226050351,0.1422901299177823,0.1296339740296801,0.0340117952952425,-0.0040476584555726,-0.0021009765228434,-0.1060574647305401,0.0210160419241205,0.0069844967007703,-0.0181966998122042,0.0712548125066803,0.0432200208927646,0.0209057496641449,-0.032639106642609,0.036895436062359,0.0466380202991558,0.0474356512490707,0.0170027174543889,0.0487268271811736,0.060991342105563,0.0658116630830747,0.0937810966877847,-0.0025475390270734,0.0275783065577961,0.002663926154625,0.0243740974907495,-0.0249772175629345,0.0177629121704292,0.0714860624554489,-0.038789925482348,-0.0169727043077365,-0.0521751013013869,-0.0740477172786988,-0.1347870388180574,-0.0844742249106786,-0.1018314060404144,-0.0433318049457902,-0.0137009017000266,0.0035870381482254,0.0133828676509821,-0.0281379491832716,0.1208003012040386,0.0958586090258819,0.0687142446029334,0.0611568818924688,0.0408395181155327,0.0427968398332119,0.0406902615129816,0.0776037249650833,-0.005031353418591,-0.0186602951746621,-0.0220524418675758,-0.0034070594748563,0.0143172033702434,-0.0306212346645331,-0.053245829103691,-0.031351603837546,0.0006030000028935,-0.0379917529923936,-0.0676993985209257,-0.1461402131735418,-0.0594794108169338,-0.0303100935396543,-0.0877910870766705,-0.1082296391446284,-0.1415466170729011,-0.0187410338150399,-0.0747817597691451,-0.0279510648759782,0.0422823060443278,0.0494980987211697,0.0743952902534808,0.1254369593005684,0.1198721516172831,0.0782246497997931,0.1175097770987108,0.100553005510978,0.1146610198628579,0.0567439686776474,0.0748126812977183,0.0952367174379134,-0.0153040899431005,-0.0105443069266932,0.0320292511697459,-0.0057571848062281,0.0145169195440537,-0.020747410899478,0.0098003211600996,-0.0366303579057607,-0.0939491060715909,-0.0578576362413478,0.0165222675806901,-0.0974463772350837,-0.0599694830849344,0.0723780283762458,-0.1068960851227593,-0.0121534016237028,-0.0817268113103608,-0.03687136101885,-0.0791334056497632,0.0056139994944395,0.0223783527028622,-0.0106525359628513,-0.0471848219167903,0.0613051872501557,0.0596628525263938,-0.0763549742166311,0.0992554991788594,0.0129459135640424,0.039922469895405,0.0127026068251439,0.013056741419188,0.006776397724348,0.0245576985062072,-0.0133420293115591,0.0153807891735269,-0.0779537441523707,-0.1046904444343503,-0.0868841311092616,-0.1295060196844879,-0.0462360037094349,0.0003041497854354,-0.0031197655321726,-0.0114144089699266,0.008193955565293,-0.0155801193957607,-0.0250791133621852,-0.044203547383212,0.0045668299487786,0.0123640138354659
belgium,-0.0526901078026753,-0.0999139606964298,-0.0779261769437695,-0.0565421937108219,0.0132481950772707,-0.0745890444879009,-0.0757556049444936,-0.084014920078193,-0.0976413642689166,0.1080008222898349,-0.0994491898178964,-0.0864631854317785,0.0620871300262599,0.1520456048563367,0.0145178283895184,0.0042877609735576,-0.0015145340070752,0.0295181300406852,0.0557999235847717,0.0593791974448798,0.0091149043333729,0.0812514042835275,0.0258365106289666,0.0252890663827933,-0.0285493493990109,-0.0490480226797664,0.0595227827151347,-0.0153308649050138,0.0384638421225211,-0.0008605119672822,-0.0200655386085983,-0.0070494968497989,0.0054185891426499,-0.1061881416019936,0.0325937724226363,0.0374087865740833,-0.0420167137335276,0.0454602409287865,-0.0399924799705289,-0.0200102580813528,-0.0470251534848884,-0.0282970698042461,-0.0300716091567458,-0.0244875091127525,-0.0339396922297083,-0.1041473860120554,-0.0043232218927506,-0.0207534649037022,0.0739940535078922,-0.016221018242529,0.0625533766193413,-0.0006491548840585,-0.0698748918687037,-0.0056015812881682,0.0168627679337056,-0.0083400665061326,-0.0037255652239949,-0.0037990017321334,-0.073218485284574,-0.0748909962769346,-0.1503879361962141,-0.1212629984878077,-0.0992743510179146,-0.0756133672516021,0.0191035215248724,-0.0017459186916504,-0.0321475965549815,-0.0135299520314227,0.026706796553217,0.1182543256543482,0.0598189869217016,0.0398898184771034,0.0309446173583651,0.0340089651251922,0.019388674988118,0.1156273596184291,-0.0270885466811172,0.0136957247160829,0.040929865250785,0.0247894367391126,0.0458882567575997,0.0143155067035181,-0.0332210851433494,0.0190808115961331,0.0541859891144049,-0.0421354558332822,-0.0712742685616056,-0.1699064830509833,-0.0283323899089644,-0.0617180710397349,-0.0525035685674204,-0.0266799194169884,-0.0965255354651368,-0.0619103487126508,-0.1025566755952738,-0.0415939658785653,0.086245042614216,0.1016136763254742,0.0680892963627499,0.136824215520054,0.1668162555044929,0.0665755049985286,0.0648217226680571,0.0416234355230287,0.0584725806295765,0.0447514857596615,0.1118675465195551,0.1044239090609124,-0.0996882665338994,-0.0714265513355201,-0.0484933404412046,-0.149772385051488,-0.1148437559147552,-0.0481257253971918,-0.0678877363773793,-0.06405318864741,-0.0758413807241851,-0.0629736003892311,-0.0536892276249538,-0.1741804371781725,-0.0858993358011233,0.1203011841273671,-0.0762883394620566,0.1255729220592911,-0.0579590168478567,-0.0252239386259063,-0.0290262741674141,-0.0054227810981792,0.0242534771015137,-0.0141897055205824,-0.01156131682594,0.000407427547266,0.1022756300191467,-0.0424640489131675,0.1869367520397276,0.0032179106851444,0.1114972130573974,-0.0154123756987303,-0.0105435651444487,-0.0290137120239393,-0.0515688418358735,-0.0975121963308787,0.0048895189349664,-0.0223295135872909,-0.1480650386317386,-0.1883210459825086,-0.2072183669459981,-0.1273295367558518,-0.1085985843413048,-0.0113035681028925,-0.0241841544152663,-0.0036702410756355,0.0385059882986595,0.06221228202374,-0.0432724525767795,0.0406881104746226,0.1072558719080873
bulgaria,0.0374519939917981,-0.0394701980781597,-0.0143659877155677,-0.0203324958765449,-0.0514486429224092,-0.0510497905560853,-0.0697171240659244,-0.0780641458422906,-0.0509065746151726,-0.0142304033700426,-0.0802986810861234,-0.1028684187909192,0.0250497094165282,0.1832703696483868,0.108285875589658,0.0732234176812163,0.1208224149367076,0.1298411883287649,0.1527063209371704,0.1738116079104159,0.1098051545538538,0.0961399079915992,0.0556360482147226,0.034518476989156,0.031627511783121,-0.0471986082142059,-0.0089680071657625,-0.0265059596028223,-0.0277977575125198,-0.0392601802317429,-0.0696668164219147,-0.0878917116971322,-0.0521794728541173,-0.0381213529419923,0.0253616234146889,0.0218810928611645,-0.0283799004261489,0.0271825251681612,0.0292596125329716,-0.0041653201422597,0.0036246336126239,0.0308019814623818,0.0422007193403466,0.0386274256436429,0.0343551373431481,0.0114722116907195,0.0119758744229194,-0.0076390919830195,0.0606840911898594,0.0207317042350787,0.0098418291825126,0.0104190118834388,0.0347374031464298,0.028495781108127,0.0322412761503372,0.0222109701940276,0.0310124205210442,0.0204784407895282,0.0039991981685787,-0.0033406982502022,-0.0162993411137364,0.0154558846511001,0.0090859038296642,0.0560474598789824,0.0521071969602218,0.0477070588600767,0.0386084087295017,0.0607817946946838,0.0422589622226183,0.0866597010186644,0.1298511457197975,0.13673859508798,0.0503927689287699,-0.0128324771197227,-0.0542625034528434,-0.0047833885926067,-0.0330862772529059,-0.0420631434284182,-0.0296453582568752,-0.0499309462589252,-0.0139213647265989,-0.0357776411615766,-0.07427912513619,-0.0885004560523086,-0.1285207833428678,-0.1382911661165486,-0.0916943164816572,-0.1891096079265857,-0.1740560869640326,-0.169946316798768,-0.1571516838584727,-0.1558537320361637,-0.1772143190677226,-0.1558948895027363,-0.2052943466814554,-0.1444177920836615,0.0578644239286063,0.0657159527819466,0.0542455138972712,0.0748033019612961,0.0753284268200218,0.0578947388252224,0.0754136221282557,0.0849140945659385,0.0891480060171048,0.0779768081445873,0.0497654411682688,0.0871551326808663,0.1121304994382015,0.1281640035388136,0.1567047081909862,0.1110727774739075,0.1109344475845546,0.1062445638569862,0.0970630778948198,0.0870176392347694,0.0668560745807305,0.0320546109237014,0.172294452480294,0.0415344434579481,-0.0666554822309386,0.0231729337421811,-0.1487320058161003,-0.1371672459154922,-0.1091895012023478,-0.0874997641250807,-0.0982592579351582,-0.0778866828462128,-0.0935825522034043,-0.051623796074594,-0.1338013545684333,-0.0154409002207103,-0.0957676841766321,-0.2045035168736113,-0.0616745431406684,-0.0544283851966795,-0.0845114143161858,-0.1136389166945086,-0.079220856251343,-0.0823448069420962,-0.051783078191633,-0.0554981216596601,-0.0741903241468442,-0.0647776891988698,0.0136331241373532,-0.013080065149353,-0.0176423596794386,0.0360014982150715,0.0677996836658003,0.1007877664455634,0.0678235808445393,0.0706244375104816,0.0856336460053022,0.0668845224575669,0.0771757436542124,0.0189633420489236,0.0695943852743461
croatia,0.164355310608613,-0.0028049587180802,0.1022427132149879,0.0480347922073534,0.0346746027553663,0.0304429935966723,0.0382270957659081,0.0349240062496356,0.0485325041243811,0.1712306633980667,-0.1506180600262006,-0.0845259098870201,0.0044583610007649,0.2279258584137657,0.0946577723177384,0.0290956682581047,0.0620020100916853,0.0740214691369693,0.0635715065636048,0.0776415260608693,0.0627308252098046,0.0994264414017784,0.0686144389039036,0.0033559089457035,0.0259199921300563,-0.07049236189766,0.0734515996806912,-0.0039192638429135,0.0570291698561469,0.0166513358879711,0.0216513873742378,0.021834887637528,0.0209518526148784,-0.1294515213317986,0.0789350787334512,0.0134287701614113,-0.0305371405266932,0.073517022203827,-0.0001922427099607,0.0066455629598891,-0.0225073211750874,0.0164891093965806,0.0130672642295586,0.0059744702632755,0.0108335892576931,0.0728831406162235,0.0209176009465927,0.0276866383962754,0.0781008689684163,-0.0344276425618232,0.0271395157498766,-0.0192508459896032,0.0072295472843002,0.0105228450227237,0.0154609469396049,0.0196442446608386,0.0159891605217268,-0.0261905514049658,-0.0294203538259409,-0.0403879768168131,-0.1320457905843319,-0.0839845048787673,-0.0497620283385806,0.0242428010389161,0.0876844317609304,0.0722495506665552,0.0621882702182219,0.0701406081580664,0.0672682696710076,0.1936233953058987,0.1690467482408664,0.1604245590353024,0.0467274971641913,0.0387437260961505,0.0102027141667342,0.0414108246258777,-0.0523526508497944,-0.0435080059944859,-0.0315125519537495,-0.0505942533620569,-0.0016591936007337,-0.1257156772135843,-0.1404626495834655,-0.1266712158572289,0.0241869260184799,-0.0404759297475791,-0.0792184503784554,-0.1771616065626631,-0.1005673917012721,-0.1014906510280866,-0.1031170169636013,-0.0794129509795524,-0.1215331654168956,-0.0239620508659754,-0.0781852374471618,-0.0480608367421595,-0.038246279581628,-0.0214228153983739,-0.0121342939280921,0.040649302926532,-0.0201688815707932,-0.0294870880509172,-0.0222725393675524,-0.0355186736856829,-0.0398895855876872,0.0097901014480932,-0.0764817285012746,0.0277904856967339,-0.0615369119740059,0.0034634959550601,-0.018530376108476,-0.0813762586126713,-0.0152454548056866,-0.0218987882781647,-0.0308852416880931,-0.0203192342283422,-0.0186220110362889,-0.0546334110914905,0.1459069518177997,-0.1065819249817821,-0.069274297966043,0.1083629570346857,-0.1465220107746461,0.0234248471859856,-0.0683858410554485,-0.0540669439738543,-0.0514113585250655,-0.0464056349833157,-0.062505344209903,-0.1205436090502445,-0.2391023799315981,0.0174329006673161,0.0003893982524232,-0.1625463859016065,0.1484051781374091,-0.0374637000941575,-0.0060455685080462,-0.0182851110709201,-0.0157272373379271,-0.0193019009710582,-0.0073970230394984,-0.0453078349509965,0.0632173581678081,-0.0511248582095937,-0.096852934095299,-0.133373820912265,-0.1643538264421913,-0.0209611571086938,2.054256370342955e-06,-0.0287812218478649,-0.0408655852654504,-0.0485700773017505,-0.0293496341011412,0.0047021040018329,-0.0525874221309727,-0.0019438509540599,0.0521664774089885
czech republic,-0.117724184412193,-0.1149981220920004,-0.0198666219313992,0.0338835240166197,-0.0078107755764662,-0.050121133800566,0.0440862567490363,0.0223380541271467,0.0059770002833765,0.0865421003839017,-0.1068419777956144,-0.0398216220883469,0.1529390800383581,0.203878546709209,0.0081944039118333,-0.0554426994351295,-0.0076304064941545,-0.0137796277232311,-0.0149168100872927,0.022469554343953,-0.0419075352399076,0.0396589164466014,0.0056510411805348,-0.0521839945518571,0.0090992515895251,-0.0491561632171055,0.0518771128316899,-5.71774576130224e-05,0.0969887339636663,0.0860377174843201,0.0228409843515109,-0.0003327674548287,0.040135169818118,-0.0691299889550585,0.0310087295473735,0.0220482717212071,-0.1062205072063697,-0.0289157497228345,-0.0142374339448139,0.0040416047097906,-0.0240792729571417,-0.0254834744235772,-0.0119800252264106,0.0157687480326202,-0.0266094971679677,-0.0196878068777444,-0.0158029161664039,-0.0024179598897049,0.0802798470616608,-0.026685492956016,0.0144339826666026,-0.0662201087563936,-0.0356591466256581,0.042258226414038,0.0896339688154661,0.0290151358598507,0.0240947042772887,0.0418902843920641,0.0015877609548695,-0.0531342528255578,-0.0435236418841782,0.0469696057899753,-0.0416040506122321,0.0398067993507211,0.0378146043987221,-0.0221958688039762,-0.034712094764508,0.0116575251821515,0.0646645302594848,0.0567352859444838,0.0724980915131361,0.0823217980481381,-0.0505726533276025,-0.0627035521386858,0.0108537146936136,0.0890380591510791,-0.0223949875837448,-0.0227210689259358,-0.046090597535656,-0.0278528750781035,-0.0223297066255199,-0.0498480333677164,-0.0787325210521352,-0.0801250337531342,0.0806260312073483,0.0311582504859195,-0.0711306428325748,-0.22541731648381,-0.0871991846350432,-0.0703847519266887,-0.0622110699181703,-0.0907074735029276,-0.1213307398882008,-0.0306131902980837,-0.0928461204638964,0.0134446235842133,-0.0798174627226337,-0.073427193570847,0.0222040288345226,0.093205003692006,0.055488332165865,0.0117872311668207,0.0616891497330165,0.0133787079907037,0.0728354295830229,0.014263413283917,0.0305905555452667,0.0568428185219112,0.0001910455610207,0.0272546249147289,0.0661122919474692,0.0079293893595107,0.0317897696971272,-0.0138008303436443,-0.0093862016635419,-0.0384984333514637,-0.1451101767395108,-0.0790848298797648,0.0620697985765694,-0.1165468060332237,-0.0893904452961784,0.0555114532528264,-0.1387298705734707,-0.0174104269658244,-0.1041735688528042,-0.0300576471522049,-0.0671245560320201,0.0002332780572658,0.050290736643813,0.0095489688968299,-0.0995225104467856,0.1411961456707082,0.0914454390550147,-0.1357870094447157,0.1015046541419124,-0.0290055020837769,-0.0152345116228929,-0.0769963952665619,-0.0483829780866855,-0.0467052272864023,-0.011960814736895,-0.0080804124627178,0.0139423641943174,-0.193226390063451,-0.1129678414126509,-0.0138210319615055,-0.1188174815005496,-0.0138545269185215,0.0084704921301224,0.013149162589471,-0.0025503003700748,0.025787517699495,0.00362751021445,0.0034057215821903,0.0129019974488464,0.0527037327351074,0.0124579842034258
germany,-0.0505702892056696,-0.1080332985835177,-0.03607080525218,0.0031764758291181,0.0574394554816102,-0.0314520886597549,0.0720284439556202,0.0131691344037534,0.0184474896772819,0.1195555056866091,-0.0886574432118081,-0.0576308585079239,0.0308426530888432,0.1632573664250713,-0.0042400382880387,-0.0237220853927055,-0.0102535059364399,0.0062088759830771,0.0147110983657832,0.0567311042355314,-0.0250914227189014,0.0524155674353927,-0.017910166474401,-0.0457147664333419,0.0091143026680668,-0.0668592183488492,0.0372366971855306,-0.0407908700368331,0.0442171315072918,0.0401651010532972,-0.0308681954524168,-0.0213444446277897,-0.0076886716841606,-0.1231445969862079,0.0326059031508982,0.0184173876666982,-0.0606687844268769,0.0357278456840362,0.0006298021010167,0.0135178867581693,-0.0289088795610936,-0.0223267417180075,0.0009923009936585,-0.0071148250798032,-0.0621128212888137,-0.0338745339543429,0.0028775741527979,0.0148341694338078,0.1355826684261032,0.0263966377563313,0.0968484592834144,0.0393604584950928,0.0055800544805073,0.0259156944039595,0.0553609644535448,0.0470094270859853,-0.0061799514896527,0.0057519884583108,-0.022673768574112,-0.0558468008573775,-0.1556782012390343,-0.077884322836649,-0.1419795646962889,-0.096464218230345,-0.0198675786467106,-0.0091590663718754,-0.019316073619656,-0.0044032978092225,0.1127619447161336,0.1182260096712468,0.0677072334878303,0.0524957836572248,0.0370204750157761,0.0239831073273641,0.0412799766356997,0.1307909828765652,-0.0394689068309297,-0.036778910917576,-0.0339877812675268,-0.0235691151217238,0.0268481453170004,-0.0142307173980285,-0.0467398751544934,-0.0023968560406508,0.0589902907188495,-0.0125714291931444,-0.0737718347620735,-0.2400946148827394,-0.0676441476825999,-0.0367118202059337,-0.0762896291596568,-0.0857010780824474,-0.1588279644859191,-0.0596977845440029,-0.1337958513044839,-0.0337220095412575,-0.0271356676821454,-0.0174522620125294,0.0423474447796792,0.1656271921907581,0.1775493194239636,0.0618220634850636,0.1024576997928967,0.0558340056684123,0.0966098559250241,0.0347559312274832,0.1043993427046707,0.094442319730394,-0.017183715803501,0.0171785417340508,0.0756982093423843,-0.0393197943848875,-0.0582816389403859,-0.0332834813910061,-0.0140065081916382,-0.0319774785855813,-0.1286723152574822,-0.0718290046610974,0.0271537508715518,-0.1468446412774078,-0.0572687056760052,0.0974994965221895,-0.1122902575859008,0.0596362991524159,-0.0414684644396139,0.0344819222270658,-0.0215686581882081,0.0420839423646306,0.1023613967407719,0.0566229741474906,-0.0305977590682751,0.1551228298975395,0.1310381768000645,-0.063990398611839,0.1817983382359251,0.0185638239164553,0.0508895768810688,-0.0336513892534178,0.0047579748822172,0.0006030389275117,0.0226092185965427,0.0101300121112082,0.0494322753270424,-0.1334319225200069,-0.1223958186883393,-0.0910275633710142,-0.1702234113452014,-0.0648572325588858,-0.0085081553163774,0.0095394270598134,-0.0040402668914509,0.0137084451643438,-0.0211963555496055,-0.0329752376985936,-0.0237133981001314,0.039918548826126,0.0036550885203681
greece,0.1164888122337792,-0.0030531742141768,0.0788320452421338,0.0307296572360407,-0.0195510263454607,-0.0257517166551366,-0.053672670593631,-0.0530011963011389,-0.0065987066070505,0.020091719706162,-0.0216264645299268,-0.0684957996967341,-0.1037614747431057,0.1570268076598999,0.0765663200000936,0.0277716242017724,0.042208596781208,0.0421186490261256,0.0591292592512751,0.0821951588723628,0.0363747828814915,0.0282565263088692,-0.0136882583804194,-0.0164831414828867,0.1101361341958053,-0.0485645084198509,-0.0180087348778812,-0.0341402682420657,-0.0067032751663695,-0.0092202683635029,-0.0293175486586569,-0.0485625428017542,-0.0271124823385875,-0.0137183280890873,0.0584793796621454,0.0259566922728815,-0.0236289778102509,0.0353853816208662,0.0184113132207457,0.0085677670748616,0.0143533203880004,0.0351578824582858,0.0494767375611573,0.0436228745968989,0.0393090850279662,0.010134058527317,0.0318710026856905,0.0127006485072698,0.0200991285239133,-0.0361951542690093,-0.0338970866157168,-0.0503882588861372,0.008901977205749,-0.0008015898834763,-0.0068945087993341,0.0044521344208163,-0.0022469978341206,-0.0002992264751675,-0.0168479875514826,-0.021099293689172,-0.0376169915545325,0.0101099607045043,0.0236083767431658,0.0714163950289616,0.0351339406560384,0.0320974684210959,0.0259496575790763,0.0274445279367085,0.0317293204199806,0.0633358015187042,0.0777164261434357,0.1134552605644785,0.0376382309190184,-0.000156649311048,-0.0870967849799306,-0.0293527672446636,-0.0363684117393603,-0.0376324310221498,-0.0201916981612093,-0.0392951105329117,-0.0266474133618146,-0.0481406718455375,-0.0993582137718576,-0.1023288191821301,-0.078938261013441,-0.0691935636147356,0.0186929572932612,-0.0631664387110539,-0.0484097544646715,-0.0488204947575141,-0.0324163967862354,-0.0331618117534056,-0.0525524582596261,-0.0511288383355328,-0.1006658499734776,-0.1323230955525751,-0.062566826969423,-0.1241767666495441,-0.1136869686249397,-0.0654732616877709,-0.0554506827317666,-0.0664522341543794,-0.0428657118068116,-0.0109440924476551,-0.0540151809277809,-0.0726528826101216,-0.127782012449316,-0.0467117754358525,-0.0042127730170804,0.0400988572768135,0.0638367159847987,-0.0221979031063277,-0.0582666767464914,-0.0674570717839984,-0.1030848006956404,-0.1302278967229924,-0.0803873149024454,-0.0839491039123601,0.1402380955498756,0.0050214993962462,0.0089585300386083,0.0583009549028759,-0.1073005964895408,-0.1109455512788741,-0.0680874839815821,-0.0442441380090414,-0.0453142734224982,-0.0313511198236504,-0.0515767701331277,-0.0056158396135401,-0.1624496995182767,-0.0037907552992599,-0.1549462983111595,-0.2167952886039295,-0.1008109721579657,-0.0689257469770794,-0.0803712390712867,-0.1034301587498696,-0.0735539398493543,-0.0757686959192085,-0.0525483119209511,-0.0701819215294818,-0.0615867785240453,-0.071820662920448,-0.0518268617527013,-0.0436710437788505,-0.0557037749384434,0.0231566086891596,-0.0278753636193123,0.013152595351876,-0.0033812060218068,-2.48165595913008e-05,-0.0339889484247137,-0.0699192467791434,-0.0392730942928523,-0.1086569398938337,-0.0157898333441472
hungary,0.0666496313980395,-0.0183770920111356,0.0311061696536754,-0.0043978707419505,0.0021241375095577,0.0071860912400651,-0.0363699317673038,-0.0585108838425689,-0.0407804281705139,0.0605679824956695,-0.143163206537622,-0.0966241025965004,0.0061833444918306,0.2031070538287842,0.0279761748397007,-0.0227155959630422,0.0253079870551893,0.0415865100601209,0.0875862775928055,0.1250490376093438,0.0500203102820151,0.0590530082320661,-0.0336161087057327,-0.0982548181393454,0.0206085973114156,-0.0971767739763329,0.0353822475721479,0.0034752894046476,0.0087362763236882,-0.0177513098422501,-0.0479735689799447,-0.0613423129369046,-0.0215838373893575,-0.0823072997241318,0.0906473470932986,0.0476072498943054,-0.009375958760966,0.1329163292074575,0.0802457220386259,0.0080472275980767,0.0206637907789755,0.0370059856452265,0.0489548516080731,0.0500814174384096,0.0584987921561399,0.0491541554123848,0.071371377839938,0.024282934972259,0.0593485208684718,-0.050148821493547,0.0143496140709977,0.004025033305357,0.0114997863696295,0.011150228595266,-0.0120526147935855,-0.043290030205032,-0.0041955572578409,-0.0148845330755662,-0.0556475086948076,-0.0216654913611584,-0.1802565258690514,-0.1370678195311043,-0.1484669581318272,-0.0178965013932987,-0.0022057285068406,-0.0053188959745043,0.0162978899212831,0.0477357740506541,-0.0099579388804222,0.0739362093241631,0.1007719123882573,0.0955416100691444,0.1030777744680264,0.035494787908231,0.0511212425178833,0.0681050169248003,0.0051947355875334,0.0114678703433774,0.0045288042730362,0.0022014247556967,0.0391149211645753,-0.026989740363831,-0.0766872027167338,-0.1131067528405687,0.0214166847152021,0.007838983914727,-0.0495533934568541,-0.152460695556222,-0.0848774609800315,-0.1228699286485728,-0.1056896362640102,-0.1117366654898539,-0.1258130154558756,-0.0558148328314409,-0.0876571036973246,-0.0117136805765589,0.0097968059638482,0.0138429094281953,0.0067979236067259,0.033475572267509,0.0119827495546296,0.0343176294212028,0.0155535086771188,0.0065511774969557,0.018445750059179,0.0659122424631952,-0.0328946010172614,0.0744028083843098,-0.0364299352562369,0.0438717660314011,0.0184094660761573,-0.0153168938063039,-0.0094654635628756,-0.0063663922095358,0.0108318024137687,0.0220807538559739,-0.0081202607520793,-0.1025762095871591,0.1562209075675866,-0.1248067325024848,-0.0724829330051797,0.0865385603747199,-0.134195150523972,-0.0747718290580436,-0.0671556681290539,-0.0512819589677597,-0.0533512856132887,-0.0432433555458295,-0.0588003441310753,-0.0669048413807154,-0.2130070779667932,0.0545482038315441,0.0151140708552581,-0.2152071182051926,0.130115461081484,-0.0066134730701215,-0.0261208387794802,-0.0443403398307005,-0.0289202505515575,-0.0300204239531609,-0.0090346155811218,-0.0484958165087725,-0.0066450949170437,-0.0458927336031145,-0.0441634938455095,-0.0443879153516562,-0.1665496503058783,0.0054402424515842,0.0183754474524953,0.0297499136984953,0.0154994099341472,3.615286392388839e-05,0.0217276568752922,0.0651781242435696,0.0542361661943928,-0.0088056992978557,0.0263062880570963
