date,act,pred
2001-01-01,,-494873351.5029959
2001-02-01,,-174804820.73444432
2001-03-01,,-389593040.5115071
2001-04-01,,-287399195.66421807
2001-05-01,,-2108055.9025651366
2001-06-01,,29420991.03093858
2001-07-01,,48141484.913116395
2001-08-01,,37705518.459120095
2001-09-01,,-37406534.89631238
2001-10-01,,18890651.833907887
2001-11-01,,135173003.28014988
2001-12-01,,564909138.7517581
2002-01-01,0.26252885588298014,507748347.98824227
2002-02-01,0.2351865563437272,322299044.8616661
2002-03-01,0.2197834811095909,449187979.06661975
2002-04-01,0.1772201620366438,328869699.1731207
2002-05-01,0.08783855462915824,148551187.92310357
2002-06-01,0.02508894885438906,33727534.89909445
2002-07-01,0.03811310055829864,14000684.150046334
2002-08-01,0.024737502122100352,-21000808.137174293
2002-09-01,0.03132654180102179,7269548.834398463
2002-10-01,0.03634581873447473,-5261046.5560632795
2002-11-01,-0.10960843350269656,-195483181.20968464
2002-12-01,-0.3076779747340055,-491731553.97278196
2003-01-01,-0.2003292880387093,-180594377.87028933
2003-02-01,-0.10606162186399715,53881895.157704726
2003-03-01,-0.17329162494076655,-144212918.83269784
2003-04-01,-0.16936799760558685,-134021925.5104253
2003-05-01,-0.1661723656158216,-43017782.24606631
2003-06-01,0.007303838342085811,52097871.44985716
2003-07-01,-0.01910791992775529,77156708.68564354
2003-08-01,0.037008862740275816,153628089.68945038
2003-09-01,-0.00016263589478882068,29234880.344128117
2003-10-01,0.010226949836049215,65995388.43270545
2003-11-01,-0.029041665477336664,-17396249.44883486
2003-12-01,0.09412497720747481,149900779.1214701
2004-01-01,0.03656899690988169,-82324751.06458332
2004-02-01,-0.01968792943677755,1118155.7544354498
2004-03-01,0.1410895922477735,275164116.90556943
2004-04-01,0.04804196465896027,111825659.26580523
2004-05-01,0.05538538476323396,47019418.26689009
2004-06-01,-0.0416049847217117,6401116.338462919
2004-07-01,-0.03188174566401969,13483908.128819346
2004-08-01,-0.07516795020087841,-50379435.357392415
2004-09-01,-0.0490154872461126,51391151.1076812
2004-10-01,-0.05641598165053807,933404.9854939282
