Country,Subject,TIME,Period,Unit Code,PowerCode Code,PowerCode,Value
Austria,Total population,2000-Q1,Q1-2000,PER,3,Thousands,8003
Austria,Total population,2000-Q2,Q2-2000,PER,3,Thousands,8008.1
Austria,Total population,2000-Q3,Q3-2000,PER,3,Thousands,8014.1
Austria,Total population,2000-Q4,Q4-2000,PER,3,Thousands,8021
Austria,Total population,2001-Q1,Q1-2001,PER,3,Thousands,8028.7
Austria,Total population,2001-Q2,Q2-2001,PER,3,Thousands,8037.2
Austria,Total population,2001-Q3,Q3-2001,PER,3,Thousands,8046.6
Austria,Total population,2001-Q4,Q4-2001,PER,3,Thousands,8056.7
Austria,Total population,2002-Q1,Q1-2002,PER,3,Thousands,8068.3
Austria,Total population,2002-Q2,Q2-2002,PER,3,Thousands,8076.7
Austria,Total population,2002-Q3,Q3-2002,PER,3,Thousands,8086.8
Austria,Total population,2002-Q4,Q4-2002,PER,3,Thousands,8096.7
Austria,Total population,2003-Q1,Q1-2003,PER,3,Thousands,8103
Austria,Total population,2003-Q2,Q2-2003,PER,3,Thousands,8110
Austria,Total population,2003-Q3,Q3-2003,PER,3,Thousands,8123
Austria,Total population,2003-Q4,Q4-2003,PER,3,Thousands,8137
Austria,Total population,2004-Q1,Q1-2004,PER,3,Thousands,8147.6
Austria,Total population,2004-Q2,Q2-2004,PER,3,Thousands,8159.5
Austria,Total population,2004-Q3,Q3-2004,PER,3,Thousands,8176.6
Austria,Total population,2004-Q4,Q4-2004,PER,3,Thousands,8194.1
Austria,Total population,2005-Q1,Q1-2005,PER,3,Thousands,8205.9
Austria,Total population,2005-Q2,Q2-2005,PER,3,Thousands,8216.2
Austria,Total population,2005-Q3,Q3-2005,PER,3,Thousands,8231.5
Austria,Total population,2005-Q4,Q4-2005,PER,3,Thousands,8247.6
Austria,Total population,2006-Q1,Q1-2006,PER,3,Thousands,8257.7
Austria,Total population,2006-Q2,Q2-2006,PER,3,Thousands,8263.4
Austria,Total population,2006-Q3,Q3-2006,PER,3,Thousands,8271
Austria,Total population,2006-Q4,Q4-2006,PER,3,Thousands,8279.7
Austria,Total population,2007-Q1,Q1-2007,PER,3,Thousands,8285.6
Austria,Total population,2007-Q2,Q2-2007,PER,3,Thousands,8290.9
Austria,Total population,2007-Q3,Q3-2007,PER,3,Thousands,8298.5
Austria,Total population,2007-Q4,Q4-2007,PER,3,Thousands,8305.7
Austria,Total population,2008-Q1,Q1-2008,PER,3,Thousands,8311.3
Austria,Total population,2008-Q2,Q2-2008,PER,3,Thousands,8317
Austria,Total population,2008-Q3,Q3-2008,PER,3,Thousands,8325.1
Austria,Total population,2008-Q4,Q4-2008,PER,3,Thousands,8332.9
Austria,Total population,2009-Q1,Q1-2009,PER,3,Thousands,8335.7
Austria,Total population,2009-Q2,Q2-2009,PER,3,Thousands,8337.6
Austria,Total population,2009-Q3,Q3-2009,PER,3,Thousands,8343.1
Austria,Total population,2009-Q4,Q4-2009,PER,3,Thousands,8349.5
Austria,Total population,2010-Q1,Q1-2010,PER,3,Thousands,8353.8
Austria,Total population,2010-Q2,Q2-2010,PER,3,Thousands,8356.7
Austria,Total population,2010-Q3,Q3-2010,PER,3,Thousands,8362.5
Austria,Total population,2010-Q4,Q4-2010,PER,3,Thousands,8371.4
Austria,Total population,2011-Q1,Q1-2011,PER,3,Thousands,8377.6
Austria,Total population,2011-Q2,Q2-2011,PER,3,Thousands,8382.5
Austria,Total population,2011-Q3,Q3-2011,PER,3,Thousands,8391.2
Austria,Total population,2011-Q4,Q4-2011,PER,3,Thousands,8402.8
Austria,Total population,2012-Q1,Q1-2012,PER,3,Thousands,8411.8
Austria,Total population,2012-Q2,Q2-2012,PER,3,Thousands,8417.9
Austria,Total population,2012-Q3,Q3-2012,PER,3,Thousands,8429.9
Austria,Total population,2012-Q4,Q4-2012,PER,3,Thousands,8445.7
Austria,Total population,2013-Q1,Q1-2013,PER,3,Thousands,8457.5
