Country,1975-Q1,,1975-Q2,,1975-Q3,,1975-Q4,,1976-Q1,,1976-Q2,,1976-Q3,,1976-Q4,,1977-Q1,,1977-Q2,,1977-Q3,,1977-Q4,,1978-Q1,,1978-Q2,,1978-Q3,,1978-Q4,,1979-Q1,,1979-Q2,,1979-Q3,,1979-Q4,,1980-Q1,,1980-Q2,,1980-Q3,,1980-Q4,,1981-Q1,,1981-Q2,,1981-Q3,,1981-Q4,,1982-Q1,,1982-Q2,,1982-Q3,,1982-Q4,,1983-Q1,,1983-Q2,,1983-Q3,,1983-Q4,,1984-Q1,,1984-Q2,,1984-Q3,,1984-Q4,,1985-Q1,,1985-Q2,,1985-Q3,,1985-Q4,,1986-Q1,,1986-Q2,,1986-Q3,,1986-Q4,,1987-Q1,,1987-Q2,,1987-Q3,,1987-Q4,,1988-Q1,,1988-Q2,,1988-Q3,,1988-Q4,,1989-Q1,,1989-Q2,,1989-Q3,,1989-Q4,,1990-Q1,,1990-Q2,,1990-Q3,,1990-Q4,,1991-Q1,,1991-Q2,,1991-Q3,,1991-Q4,,1992-Q1,,1992-Q2,,1992-Q3,,1992-Q4,,1993-Q1,,1993-Q2,,1993-Q3,,1993-Q4,,1994-Q1,,1994-Q2,,1994-Q3,,1994-Q4,,1995-Q1,,1995-Q2,,1995-Q3,,1995-Q4,,1996-Q1,,1996-Q2,,1996-Q3,,1996-Q4,,1997-Q1,,1997-Q2,,1997-Q3,,1997-Q4,,1998-Q1,,1998-Q2,,1998-Q3,,1998-Q4,,1999-Q1,,1999-Q2,,1999-Q3,,1999-Q4,,2000-Q1,,2000-Q2,,2000-Q3,,2000-Q4,,2001-Q1,,2001-Q2,,2001-Q3,,2001-Q4,,2002-Q1,,2002-Q2,,2002-Q3,,2002-Q4,,2003-Q1,,2003-Q2,,2003-Q3,,2003-Q4,,2004-Q1,,2004-Q2,,2004-Q3,,2004-Q4,,2005-Q1,,2005-Q2,,2005-Q3,,2005-Q4,,2006-Q1,,2006-Q2,,2006-Q3,,2006-Q4,,2007-Q1,,2007-Q2,,2007-Q3,,2007-Q4,,2008-Q1,,2008-Q2,,2008-Q3,,2008-Q4,,2009-Q1,,2009-Q2,,2009-Q3,,2009-Q4,,2010-Q1,,2010-Q2,,2010-Q3,,2010-Q4,,2011-Q1,,2011-Q2,,2011-Q3,,2011-Q4,,2012-Q1,,2012-Q2,,2012-Q3,,2012-Q4,,2013-Q1,,2013-Q2,,2013-Q3,,2013-Q4,,2014-Q1,,2014-Q2,,2014-Q3,,2014-Q4,,2015-Q1,,2015-Q2,,2015-Q3,,2015-Q4,,2016-Q1,,2016-Q2,,2016-Q3,,2016-Q4,,2017-Q1,,2017-Q2,,2017-Q3,,2017-Q4,,2018-Q1,,2018-Q2,,2018-Q3,,2018-Q4,,2019-Q1,,2019-Q2,,2019-Q3,,2019-Q4,,2020-Q1,,2020-Q2,,2020-Q3,,2020-Q4,,2021-Q1,,2021-Q2,,2021-Q3,,2021-Q4,,2022-Q1,,2022-Q2,,2022-Q3,,2022-Q4,,2023-Q1,,2023-Q2,
Croatia,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,4221.00,,4397.00,,4372.00,,4532.50,,4579.70,,4684.30,,4905.30,,5000.00,,5103.60,,5242.60,,5365.40,,5561.50,,5752.90,,5732.10,,5758.20,,5696.80,,5560.10,,5531.50,,5521.00,,5583.60,,5651.30,,5800.80,,6045.00,,6125.00,,6128.80,,6556.90,,6557.20,,6704.00,,6895.90,,7108.70,,7333.30,,7406.00,,7456.30,,7723.00,,7921.90,,7895.80,,8085.50,,8427.00,,8620.30,,8663.60,,8636.00,,9211.20,,9380.60,,9577.60,,9783.30,,10085.20,,10261.80,,10404.10,,10745.90,,10969.50,,11212.70,,11342.20,,11818.60,,12111.90,,12361.60,,12073.20,,11213.70,,11430.30,,11338.20,,11540.80,,11415.20,,11394.10,,11590.80,,11319.20,,11323.10,,11496.80,,11397.30,,11301.50,,11087.60,,11104.70,,11252.40,,11168.40,,11195.90,,11208.30,,11086.50,,10954.60,,10916.80,,11060.30,,10997.00,,11005.30,,11075.10,,11342.60,,11420.60,,11384.30,,11542.70,,11789.70,,11935.40,,12045.80,,12223.80,,12457.00,,12670.80,,12598.30,,12792.90,,13212.10,,13302.20,,13407.90,,13671.20,,13885.10,,14006.80,,14077.70,,13846.10,,11600.30,,12078.00,,13178.10,,14018.50,p,14251.00,p,14744.60,p,15290.90,p,15833.90,p,16684.40,p,16950.20,p,17443.20,p,18326.00,p,18570.10,p
Italy,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,221463.00,,213695.30,,229195.00,,235630.00,,247323.60,,259026.10,,262324.80,,265425.20,,268377.00,,271660.30,,276964.20,,280445.80,,279276.70,,283093.50,,284207.50,,286936.00,,289102.80,,290696.40,,294183.70,,299421.30,,304638.10,,308775.60,,311611.80,,318588.00,,322934.60,,325060.30,,326644.00,,329032.10,,333281.60,,336125.70,,339450.10,,340861.70,,344314.00,,347153.60,,351395.90,,352718.10,,356837.40,,362894.70,,362725.70,,367325.80,,367099.70,,371200.80,,375253.50,,380708.80,,380416.30,,386539.30,,390852.80,,397164.60,,397997.90,,400987.00,,405084.60,,410422.80,,413356.40,,414431.30,,409729.10,,399833.50,,394011.60,,391928.20,,394015.90,,396054.60,,396673.20,,401182.00,,403923.70,,407508.60,,411954.60,,413017.40,,413113.50,,411381.00,,408218.40,,406695.40,,405449.40,,404080.80,,400532.90,,402948.90,,404291.00,,404684.40,,406668.20,,406211.40,,407379.30,,408353.30,,409768.10,,412184.00,,414997.70,,417229.00,,421238.40,,422589.80,,425551.30,,427449.00,,429547.90,,433070.60,,436177.80,,440179.90,,440723.40,,442841.30,,442802.80,,444874.70,,446699.50,,448223.30,,450400.30,,451120.30,,423642.10,,377823.00,,428565.10,,429794.40,,438549.00,,449849.60,,463862.30,,468123.40,,475139.90,,486900.90,,486480.50,,498855.50,,507826.90,,508012.80,
Cyprus,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,1860.50,,1916.10,,1915.10,,1904.20,,1927.40,,1978.90,,1972.40,,2012.10,,2037.90,,2084.20,,2125.70,,2166.10,,2203.20,,2286.40,,2320.50,,2342.60,,2394.90,,2435.20,,2471.60,,2538.10,,2620.10,,2713.90,,2706.70,,2764.40,,2804.60,,2887.90,,2949.90,,2961.10,,2957.70,,3002.60,,2991.10,,3131.70,,3136.60,,3166.50,,3224.70,,3343.20,,3380.20,,3424.10,,3554.30,,3579.90,,3659.20,,3727.60,,3831.20,,3821.60,,3964.40,,4060.40,,4117.90,,4120.50,,4295.60,,4356.80,,4437.10,,4500.60,,4679.30,,4771.90,,4821.90,,4736.50,,4650.80,,4660.30,,4649.00,,4715.30,,4816.20,,4855.80,,4892.60,,4896.40,,4967.20,,5001.60,,4933.00,,4956.30,,4947.80,,4904.10,,4855.90,,4787.50,,4527.00,,4580.70,,4504.00,,4428.70,,4372.90,,4372.30,,4381.50,,4356.10,,4410.80,,4458.80,,4495.60,,4578.80,,4642.50,,4699.60,,4795.70,,4875.90,,5011.80,,5019.40,,5110.90,,5170.30,,5312.60,,5367.20,,5448.20,,5547.20,,5668.70,,5764.50,,5840.30,,5904.20,,5899.90,,5032.50,,5448.20,,5706.10,,5976.90,,6082.70,,6332.30,,6535.70,,6708.70,,6863.60,,7091.80,,7113.20,,7300.00,,7300.90,
Latvia,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,1023.30,,1034.30,,1033.30,,1040.90,,1095.40,,1157.30,,1192.30,,1250.10,,1315.90,,1404.10,,1495.90,,1539.50,,1621.60,,1609.20,,1602.90,,1575.50,,1641.20,,1717.60,,1791.80,,1893.00,,1997.90,,2135.20,,2237.00,,2273.60,,2209.00,,2368.00,,2353.00,,2439.30,,2497.80,,2547.10,,2518.80,,2603.30,,2564.60,,2576.40,,2681.40,,2688.60,,2776.10,,2901.60,,3011.50,,3022.40,,3111.30,,3278.00,,3536.50,,3837.30,,3845.00,,4154.10,,4478.80,,4848.30,,5211.00,,5595.10,,5890.40,,6071.70,,6261.10,,6232.60,,6153.00,,5921.10,,5064.20,,4853.70,,4520.00,,4519.50,,4423.60,,4427.10,,4469.50,,4581.10,,4678.40,,4847.50,,4949.50,,5123.70,,5379.30,,5455.10,,5561.40,,5656.60,,5586.60,,5635.10,,5727.40,,5826.30,,5852.40,,5878.40,,5924.10,,5995.50,,6042.50,,6148.60,,6201.00,,6181.40,,6278.30,,6266.90,,6313.00,,6466.00,,6566.00,,6689.70,,6790.80,,6876.60,,7012.00,,7226.50,,7391.60,,7499.90,,7559.30,,7625.70,,7693.10,,7687.30,,7717.60,,7077.20,,7589.50,,7727.80,,7824.00,,8115.30,,8469.50,,8811.30,,9205.80,,9595.20,,9878.20,,10039.90,,10151.50,,10143.70,
Lithuania,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,1175.00,,1207.00,,1333.30,,1400.30,,1512.70,,1598.90,,1707.30,,1781.20,,2026.70,,2159.40,,2344.20,,2396.60,,2546.80,,2547.30,,2538.10,,2403.60,,2423.90,,2641.80,,2602.20,,2627.30,,2889.10,,3063.10,,3159.00,,3384.30,,3280.90,,3488.70,,3424.20,,3479.30,,3635.80,,3794.80,,3842.50,,3885.10,,4092.30,,4097.00,,4180.50,,4274.90,,4321.40,,4481.00,,4594.90,,4786.50,,4920.20,,5151.90,,5359.00,,5548.20,,5613.50,,5833.00,,6224.70,,6390.60,,6766.80,,7075.80,,7463.10,,7711.90,,8037.50,,8286.70,,8254.70,,8014.30,,7046.20,,6823.10,,6554.70,,6479.50,,6821.60,,6876.90,,7078.20,,7251.40,,7574.60,,7798.40,,7940.50,,8012.70,,8184.50,,8237.50,,8408.10,,8530.50,,8547.50,,8750.30,,8849.50,,8924.00,,9109.70,,9121.00,,9195.00,,9161.90,,9207.30,,9314.70,,9353.10,,9463.10,,9561.00,,9625.90,,9788.70,,9934.80,,10242.80,,10451.60,,10684.40,,10865.70,,11023.30,,11276.30,,11467.70,,11748.60,,11913.60,,12240.90,,12271.10,,12563.10,,12567.20,,11969.30,,12587.80,,12744.00,,13211.10,,13948.50,,14349.30,,14955.60,,16102.30,,16769.90,,17283.00,,17278.90,,17775.10,,18142.70,
Luxembourg,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,3743.60,,4019.50,,3986.60,,4195.70,,4276.10,,3785.80,,4416.30,,3985.10,,4243.40,,4292.00,,4413.70,,4315.70,,4254.10,,4439.10,,4533.50,,4775.60,,4859.90,,5082.70,,5257.90,,5341.10,,5648.70,,5652.90,,5852.10,,5825.20,,5872.90,,5858.80,,5932.20,,6206.90,,6194.10,,6336.30,,6287.50,,6179.60,,6343.10,,6468.50,,6592.80,,6814.50,,6883.70,,6947.40,,7278.00,,7078.00,,7069.30,,7305.20,,7692.50,,8216.10,,8353.60,,8434.70,,8566.70,,8819.50,,9209.30,,9529.40,,9420.00,,9483.70,,10058.40,,10063.90,,10091.50,,9792.40,,9531.10,,9581.00,,9896.50,,10034.30,,10351.80,,10552.70,,10713.10,,10737.20,,11123.40,,11028.10,,11090.30,,11198.30,,11334.40,,11426.90,,11614.30,,11907.90,,12045.80,,12213.10,,12314.00,,12337.70,,12720.80,,12665.70,,13078.60,,13307.10,,13475.10,,13651.10,,13543.20,,13589.70,,13685.80,,13830.50,,14246.60,,14440.50,,14322.20,,14592.80,,14645.10,,14746.10,,14909.60,,15014.50,,15016.40,,15093.10,,15221.10,,15547.90,,15668.60,,15741.40,,15749.10,,15697.30,,16329.30,,16729.90,,17260.50,,17649.40,,18188.90,,19160.00,,19195.10,,19549.30,,19634.00,,19437.50,,20022.40,p,20395.60,p
Hungary,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,9127.00,,8658.00,,8758.10,,8934.00,,9053.40,,9139.10,,9184.90,,9380.60,,10221.00,,10371.30,,10568.90,,10588.70,,10999.20,,10916.70,,10810.60,,10745.20,,10880.80,,11363.70,,11687.00,,12100.00,,12284.60,,12525.20,,13089.50,,13316.50,,13740.60,,15002.60,,15638.00,,15700.10,,17426.80,,17563.60,,17949.00,,18834.70,,18628.70,,18629.20,,18628.30,,19550.60,,19982.50,,21013.80,,21272.50,,21644.20,,21956.90,,22463.40,,23345.90,,23316.40,,23012.10,,22699.20,,22560.60,,23889.40,,25158.80,,25549.50,,25769.00,,25945.20,,26676.10,,27635.00,,28484.20,,25645.50,,22521.90,,23116.50,,24216.30,,24805.70,,25001.00,,24825.10,,24566.60,,25419.90,,25688.30,,26532.70,,26073.30,,24049.50,,24277.00,,24441.20,,25740.00,,25839.70,,24983.60,,25617.30,,25731.60,,25910.70,,26071.00,,26622.00,,26624.60,,26964.80,,27641.80,,28078.90,,28112.90,,28913.60,,28344.50,,28899.50,,29279.80,,29740.10,,30804.10,,31323.90,,32286.60,,32597.50,,33640.50,,33673.50,,33946.00,,34798.80,,36620.30,,36465.00,,36701.50,,36794.90,,36970.00,,31092.40,,34526.20,,35363.50,,35754.70,,38151.40,,39240.40,,40812.90,,42846.60,p,42094.70,p,41866.80,p,42163.40,p,45579.90,p,49552.30,p
Malta,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,1068.90,,1100.00,,1070.50,,1174.80,,1124.60,,1130.00,,1139.90,,1171.50,,1212.70,,1185.70,,1152.90,,1191.40,,1202.60,,1193.10,,1194.10,,1233.70,,1234.90,,1186.30,,1216.50,,1272.60,,1234.80,,1285.10,,1292.90,,1339.30,,1315.10,,1349.50,,1357.50,,1380.90,,1432.20,,1435.50,,1456.60,,1466.10,,1521.30,,1523.90,,1559.10,,1601.90,,1543.70,,1535.20,,1561.60,,1619.30,,1688.20,,1657.00,,1715.40,,1755.30,,1731.00,,1691.30,,1728.80,,1773.60,,1809.90,,1814.30,,1858.60,,1881.70,,1921.50,,1971.50,,2022.80,,2028.60,,2116.20,,2147.20,,2209.70,,2278.10,,2406.50,,2473.00,,2530.10,,2587.00,,2549.40,,2600.40,,2677.50,,2713.80,,2899.00,,2944.20,,3047.90,,3045.50,,3107.20,,3223.00,,3376.90,,3336.80,,3426.60,,3541.90,,3648.90,,3668.10,,3535.90,,3050.70,,3329.10,,3438.10,,3649.40,,3682.20,,3959.70,,4001.20,,4067.10,,4274.50,,4405.20,,4465.60,,4506.40,,4691.40,
Netherlands,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,85125.50,,85843.80,,87129.70,,88064.30,,87910.60,,88182.60,,89441.60,,89382.30,,89978.50,,91358.50,,92334.20,,94459.80,,95761.20,,96984.10,,98556.50,,100348.50,,102157.50,,103719.70,,105632.20,,107925.00,,109902.40,,111926.10,,114094.00,,116258.60,,119032.50,,119959.50,,120880.60,,122139.00,,123571.40,,124873.70,,126182.60,,126600.70,,127464.60,,127564.50,,128404.00,,129623.90,,130432.50,,131885.90,,132764.70,,133895.20,,134841.10,,136587.90,,138671.40,,140509.70,,143090.40,,145172.70,,146961.30,,149438.10,,152522.70,,153297.60,,155430.20,,158003.40,,160789.30,,161441.90,,162922.30,,162086.40,,157701.60,,154860.40,,155862.50,,156404.10,,157307.50,,159623.90,,160491.60,,161330.10,,162181.30,,162067.00,,162994.80,,162738.30,,162678.20,,163218.50,,162856.40,,163783.40,,164115.00,,164921.80,,165504.80,,165903.80,,167410.20,,166704.70,,167690.20,,169729.30,,169917.80,,172367.60,,174140.80,,173733.10,,174900.40,,175785.30,,177802.80,,179700.10,,181043.60,,184065.60,,185658.10,,188113.10,,191088.70,,192152.70,,194443.40,,196427.90,,201308.10,,201907.70,,203607.30,,205680.60,,204485.90,,187412.20,,200868.20,,203186.90,,208135.30,p,215548.00,p,221669.00,p,224660.30,p,231566.40,p,236865.40,p,242261.20,p,248083.90,p,253653.10,p,257483.80,p
Austria,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,45226.90,,46248.70,,46211.00,,46705.30,,46564.80,,46553.60,,46936.20,,46722.90,,46584.90,,46634.40,,47048.50,,47633.20,,47968.20,,48491.20,,48997.00,,49453.70,,50288.70,,50416.80,,51375.70,,51484.00,,52828.80,,52900.20,,53494.50,,54481.80,,54635.50,,54908.20,,55070.60,,55841.80,,55958.40,,56618.50,,57043.90,,57235.90,,57748.40,,57801.50,,58051.70,,58373.50,,59484.20,,59848.20,,60896.30,,61713.70,,62214.10,,63248.90,,63913.50,,64562.20,,65774.40,,66269.70,,67536.10,,68325.60,,69550.00,,70574.60,,71184.40,,72432.70,,73134.80,,74035.80,,73897.30,,72619.40,,71647.70,,71396.00,,72137.50,,72743.00,,72376.50,,73389.40,,74298.50,,75471.70,,76791.40,,77290.50,,78059.70,,77962.50,,79474.80,,79471.30,,79681.20,,80041.70,,80013.50,,80576.60,,81323.70,,81846.70,,81907.50,,83219.20,,83818.10,,84413.60,,84648.10,,85653.90,,86717.40,,87281.90,,88819.70,,89183.00,,89501.10,,90078.50,,90750.80,,92025.80,,92983.70,,93816.90,,95350.00,,95431.90,,96406.00,,98057.70,,98737.10,,98648.60,,99936.20,,99748.00,,97904.30,,88342.40,,97995.80,,96105.10,,95368.80,,99797.80,,104809.90,,105118.70,,107596.20,,111369.90,,113291.30,,114852.90,,118602.80,,118658.50,
Poland,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,26396.10,,26909.60,,28317.70,,27263.60,,30664.30,,31495.50,,31654.90,,32189.40,,34419.70,,35234.70,,35280.70,,35176.40,,37958.50,,39309.70,,38723.40,,38295.80,,37466.00,,39182.20,,40854.40,,41264.40,,44633.30,,45408.20,,47596.00,,49062.20,,50990.00,,56049.70,,52355.50,,54063.50,,55829.80,,54319.00,,50063.80,,51269.60,,49203.80,,48411.40,,48217.80,,46929.30,,47286.90,,48986.10,,52950.60,,57191.90,,60144.80,,59814.20,,62263.90,,64077.30,,67122.80,,66465.80,,68489.60,,72190.20,,73437.00,,77103.50,,78907.70,,84438.00,,88088.20,,93666.60,,97685.40,,86916.20,,74877.50,,76073.80,,82137.20,,83526.80,,87162.90,,88619.20,,90166.00,,92524.40,,95745.20,,96842.10,,94042.30,,90213.00,,94524.10,,94807.20,,97897.70,,97881.10,,96530.10,,96565.00,,95978.90,,99259.40,,100430.20,,101560.20,,102789.30,,101469.40,,104715.30,,108783.50,,107470.50,,108153.10,,104210.20,,105509.20,,107102.60,,108066.40,,112244.60,,116592.80,,117336.00,,119630.60,,123719.80,,123156.60,,124494.50,,127233.80,,129566.90,,133261.60,,132523.00,,136577.10,,137044.70,,121788.90,,132427.30,,134668.20,,137927.30,,142857.10,,145917.80,,149777.80,,156825.00,,162797.20,,165308.30,,170948.10,,176676.00,,186446.50,
Portugal,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,22358.10,,22655.90,,22918.80,,23078.10,,23451.10,,23786.30,,24565.20,,24824.60,,25513.60,,25703.10,,25968.80,,26136.10,,26711.10,,27375.60,,28010.30,,28587.00,,29320.10,,29687.20,,30017.20,,30578.80,,31471.20,,31670.30,,32442.30,,32830.70,,33102.60,,33717.50,,34040.70,,34914.30,,35331.90,,35558.70,,35776.50,,35887.10,,36039.50,,36326.50,,36611.00,,37090.80,,37366.90,,37984.70,,38191.00,,38705.80,,38950.80,,39566.50,,39746.00,,40289.40,,40650.60,,41368.30,,41737.80,,42503.70,,43257.60,,43601.30,,43893.40,,44731.10,,44843.10,,44898.30,,44792.00,,44569.40,,43347.70,,43686.10,,44011.50,,44371.10,,44685.70,,44736.90,,45118.10,,45070.10,,44693.20,,44238.40,,44010.80,,43153.80,,42750.50,,41964.40,,41881.50,,41699.20,,42018.00,,42376.70,,42900.60,,43197.00,,43023.70,,43081.20,,43429.30,,43519.50,,44429.30,,44790.90,,45108.70,,45384.30,,45994.40,,46216.50,,46900.40,,47378.50,,48096.50,,48739.20,,49314.30,,49797.10,,50526.20,,51058.00,,51611.40,,51988.60,,52993.80,,53195.80,,53863.50,,54321.60,,52400.40,,45323.80,,51264.10,,51530.60,,51269.40,,53344.20,,55173.20,,56266.50,,58568.40,p,60062.70,p,60950.80,p,62759.00,p,65268.00,p,66311.90,p
Romania,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,7605.10,,7218.20,,7170.10,,6575.60,,6848.30,,7045.50,,7432.70,,7305.40,,6765.80,,7099.00,,8361.50,,8564.20,,9114.70,,9425.00,,9585.30,,8759.90,,7987.10,,8188.10,,8366.30,,8703.80,,9507.60,,10039.90,,10116.10,,10385.10,,10354.20,,11373.00,,11360.50,,11467.50,,11895.80,,12111.20,,11913.20,,12277.00,,11981.90,,12281.70,,13256.40,,12995.70,,13460.00,,14380.90,,15347.20,,16634.00,,18347.70,,18659.30,,20714.60,,21050.70,,22380.50,,23689.60,,24500.00,,26150.60,,28688.40,,31308.50,,33026.80,,33628.00,,33665.10,,36036.30,,38712.10,,37228.20,,29267.70,,31183.30,,31243.10,,32830.60,,31080.70,,31983.50,,32131.70,,32453.60,,34241.10,,34913.10,,34758.60,,34233.40,,34439.40,,34994.30,,34437.80,,34956.20,,34654.50,,35478.30,,35791.90,,36456.00,,36214.80,,37559.80,,38139.80,,38339.50,,39390.20,,38967.80,,40643.60,,40933.30,,40383.80,,41707.10,,41998.50,,42969.00,,45116.70,,45640.10,,47187.50,,47639.60,,48680.80,,50594.90,,52504.50,,53335.60,,53309.90,,55269.60,,56621.10,,58075.30,,56780.80,,49626.10,,54834.50,,58799.40,,58213.10,,58698.60,,60581.80,,63313.10,,66933.70,p,70576.10,p,72814.50,p,74528.80,p,78983.80,p,80014.40,p
