Series,$\hat{\Delta}_T$ (ATT),$\hat{\sigma}_{\Delta_T}$ (STD),P-value
12-m Log-Diff $CO_2$,-0.006,0.065,0.484
Absolute $CO_2$,-186451583.931,512993264.184,0.008
