date,brent
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,-0.039904284194506534
2001-04-01,0.01875209154853641
2001-07-01,-0.19245751669864575
2001-10-01,-0.42923995200288756
2002-01-01,-0.20236126449758007
2002-04-01,-0.08490253795598779
2002-07-01,0.06230476746294045
2002-10-01,0.3233434872349328
2003-01-01,0.3997706922146076
2003-04-01,0.043606830664899565
2003-07-01,0.05490725374883265
2003-10-01,0.09461857372010263
2004-01-01,0.012714929875739855
2004-04-01,0.30341550286602814
2004-07-01,0.3748106071944588
2004-10-01,0.4072404017810962
2005-01-01,0.4015243193851159
2005-04-01,0.3760091154520748
2005-07-01,0.39559048315211953
2005-10-01,0.25304890328306273
2006-01-01,0.25828644090723785
2006-04-01,0.2977679190384048
2006-07-01,0.12450263146437468
2006-10-01,0.048053170400520706
2007-01-01,-0.0667937521737274
2007-04-01,-0.013756703009492277
2007-07-01,0.0738138152702108
2007-10-01,0.39468333250487575
2008-01-01,0.5177036413114209
2008-04-01,0.5710138699183993
2008-07-01,0.42280624333854977
2008-10-01,-0.48254810790045966
2009-01-01,-0.7800679057789122
2009-04-01,-0.7266804815028927
2009-07-01,-0.5172273761426371
2009-10-01,0.31141039064337406
2010-01-01,0.5400274769709679
2010-04-01,0.2908430659055874
2010-07-01,0.11902045806834227
2010-10-01,0.1472164120709376
2011-01-01,0.3195619097082574
2011-04-01,0.40202012862456193
2011-07-01,0.3889271278237141
2011-10-01,0.23522143708336962
2012-01-01,0.12124924363287004
2012-04-01,-0.07926430511022087
2012-07-01,-0.03343312912564933
2012-10-01,0.006287514069128974
2013-01-01,-0.05193460819933193
2013-04-01,-0.05537134225463625
2013-07-01,0.005972882154763326
2013-10-01,-0.007995300157094931
2014-01-01,-0.03922071315328157
2014-04-01,0.06713888081131625
2014-07-01,-0.07969261832161756
2014-10-01,-0.35724630897147147
2015-01-01,-0.6962336027631348
2015-04-01,-0.5755734919104958
2015-07-01,-0.7065604684846294
2015-10-01,-0.5616574851088147
2016-01-01,-0.4700407242150435
2016-04-01,-0.30395086034846575
2016-07-01,-0.09268588904322961
2016-10-01,0.1212537439310144
2017-01-01,0.4656415721655698
2017-04-01,0.08717611409703574
2017-07-01,0.1293639410000127
2017-10-01,0.223902276692034
2018-01-01,0.21876238329864695
2018-04-01,0.4053979962662546
2018-07-01,0.3671045975945866
2018-10-01,0.09575824709084557
2019-01-01,-0.05597337105146405
2019-04-01,-0.07780434964094507
2019-07-01,-0.19445675156574005
2019-10-01,-0.0656615301313046
