Series,$\hat{\Delta}_T$ (ATE),$\hat{\sigma}_{\Delta_T}$ (STD),p-value
12-m log-diff $CO_2$,0.014,0.078,0.175
Log $CO_2$,0.03,0.097,0.024
Absolute $CO_2$,154633380.131,567093574.83,0.042
