,country,date,year,month,infl
149,austria,2012-06-01,2012,6,0.0
150,austria,2012-07-01,2012,7,-0.005
151,austria,2012-08-01,2012,8,0.004
152,austria,2012-09-01,2012,9,0.011000000000000001
153,austria,2012-10-01,2012,10,0.003
154,austria,2012-11-01,2012,11,0.001
155,austria,2012-12-01,2012,12,0.002
156,austria,2013-01-01,2013,1,-0.006
157,austria,2013-02-01,2013,2,0.003
158,austria,2013-03-01,2013,3,0.01
159,austria,2013-04-01,2013,4,0.0
160,austria,2013-05-01,2013,5,0.001
161,austria,2013-06-01,2013,6,-0.002
162,austria,2013-07-01,2013,7,-0.006
163,austria,2013-08-01,2013,8,0.002
164,austria,2013-09-01,2013,9,0.01
165,austria,2013-10-01,2013,10,0.0
166,austria,2013-11-01,2013,11,0.0
167,austria,2013-12-01,2013,12,0.008
168,austria,2014-01-01,2014,1,-0.011000000000000001
169,austria,2014-02-01,2014,2,0.003
170,austria,2014-03-01,2014,3,0.009000000000000001
171,austria,2014-04-01,2014,4,0.001
172,austria,2014-05-01,2014,5,0.001
173,austria,2014-06-01,2014,6,0.0
174,austria,2014-07-01,2014,7,-0.006999999999999999
175,austria,2014-08-01,2014,8,0.0
176,austria,2014-09-01,2014,9,0.009000000000000001
177,austria,2014-10-01,2014,10,0.0
178,austria,2014-11-01,2014,11,0.001
179,austria,2014-12-01,2014,12,0.0
180,austria,2015-01-01,2015,1,-0.013999999999999999
181,austria,2015-02-01,2015,2,0.003
182,austria,2015-03-01,2015,3,0.013999999999999999
183,austria,2015-04-01,2015,4,0.001
184,austria,2015-05-01,2015,5,0.002
185,austria,2015-06-01,2015,6,0.0
186,austria,2015-07-01,2015,7,-0.005
187,austria,2015-08-01,2015,8,-0.002
188,austria,2015-09-01,2015,9,0.005
189,austria,2015-10-01,2015,10,0.001
190,austria,2015-11-01,2015,11,0.0
191,austria,2015-12-01,2015,12,0.006
192,austria,2016-01-01,2016,1,-0.011000000000000001
193,austria,2016-02-01,2016,2,-0.001
194,austria,2016-03-01,2016,3,0.011000000000000001
195,austria,2016-04-01,2016,4,0.001
196,austria,2016-05-01,2016,5,0.001
197,austria,2016-06-01,2016,6,0.0
198,austria,2016-07-01,2016,7,-0.005
199,austria,2016-08-01,2016,8,-0.002
200,austria,2016-09-01,2016,9,0.01
201,austria,2016-10-01,2016,10,0.004
202,austria,2016-11-01,2016,11,0.001
203,austria,2016-12-01,2016,12,0.006999999999999999
204,austria,2017-01-01,2017,1,-0.006
205,austria,2017-02-01,2017,2,0.002
206,austria,2017-03-01,2017,3,0.008
207,austria,2017-04-01,2017,4,0.003
208,austria,2017-05-01,2017,5,-0.001
209,austria,2017-06-01,2017,6,-0.001
210,austria,2017-07-01,2017,7,-0.006
211,austria,2017-08-01,2017,8,0.0
212,austria,2017-09-01,2017,9,0.013999999999999999
213,austria,2017-10-01,2017,10,0.002
214,austria,2017-11-01,2017,11,0.001
215,austria,2017-12-01,2017,12,0.006
216,austria,2018-01-01,2018,1,-0.01
217,austria,2018-02-01,2018,2,0.003
218,austria,2018-03-01,2018,3,0.009000000000000001
219,austria,2018-04-01,2018,4,0.002
220,austria,2018-05-01,2018,5,0.001
221,austria,2018-06-01,2018,6,0.001
222,austria,2018-07-01,2018,7,-0.006
223,austria,2018-08-01,2018,8,0.0
224,austria,2018-09-01,2018,9,0.012
225,austria,2018-10-01,2018,10,0.005
226,austria,2018-11-01,2018,11,0.0
227,austria,2018-12-01,2018,12,0.001
228,austria,2019-01-01,2019,1,-0.01
229,austria,2019-02-01,2019,2,0.0
230,austria,2019-03-01,2019,3,0.011000000000000001
231,austria,2019-04-01,2019,4,0.003
232,austria,2019-05-01,2019,5,0.001
233,austria,2019-06-01,2019,6,-0.001
234,austria,2019-07-01,2019,7,-0.008
235,austria,2019-08-01,2019,8,0.001
236,austria,2019-09-01,2019,9,0.01
237,austria,2019-10-01,2019,10,0.003
238,austria,2019-11-01,2019,11,0.002
239,austria,2019-12-01,2019,12,0.006999999999999999
240,belgium,2000-01-01,2000,1,-0.013000000000000001
241,belgium,2000-02-01,2000,2,0.02
242,belgium,2000-03-01,2000,3,0.005
243,belgium,2000-04-01,2000,4,0.002
244,belgium,2000-05-01,2000,5,0.003
245,belgium,2000-06-01,2000,6,0.004
246,belgium,2000-07-01,2000,7,-0.01
247,belgium,2000-08-01,2000,8,0.015
248,belgium,2000-09-01,2000,9,0.008
249,belgium,2000-10-01,2000,10,-0.002
250,belgium,2000-11-01,2000,11,0.002
251,belgium,2000-12-01,2000,12,-0.003
252,belgium,2001-01-01,2001,1,-0.016
253,belgium,2001-02-01,2001,2,0.018000000000000002
254,belgium,2001-03-01,2001,3,0.002
255,belgium,2001-04-01,2001,4,0.009000000000000001
256,belgium,2001-05-01,2001,5,0.005
257,belgium,2001-06-01,2001,6,0.002
258,belgium,2001-07-01,2001,7,-0.013000000000000001
259,belgium,2001-08-01,2001,8,0.013000000000000001
260,belgium,2001-09-01,2001,9,0.001
261,belgium,2001-10-01,2001,10,-0.001
262,belgium,2001-11-01,2001,11,0.0
263,belgium,2001-12-01,2001,12,-0.001
264,belgium,2002-01-01,2002,1,-0.009000000000000001
265,belgium,2002-02-01,2002,2,0.016
266,belgium,2002-03-01,2002,3,0.002
267,belgium,2002-04-01,2002,4,0.001
268,belgium,2002-05-01,2002,5,0.001
269,belgium,2002-06-01,2002,6,-0.003
270,belgium,2002-07-01,2002,7,-0.009000000000000001
271,belgium,2002-08-01,2002,8,0.013999999999999999
272,belgium,2002-09-01,2002,9,0.001
273,belgium,2002-10-01,2002,10,-0.001
274,belgium,2002-11-01,2002,11,-0.001
275,belgium,2002-12-01,2002,12,0.001
276,belgium,2003-01-01,2003,1,-0.01
277,belgium,2003-02-01,2003,2,0.021
278,belgium,2003-03-01,2003,3,0.003
279,belgium,2003-04-01,2003,4,-0.002
280,belgium,2003-05-01,2003,5,-0.004
281,belgium,2003-06-01,2003,6,0.003
