country,date,year,month,co2,gdp,ind_prod,infl,pop,brent,co2_cap,gdp_cap
bulgaria,2012-11-01,2012,11,-0.13380135456843334,-0.03059612994616856,-0.021,-99999.0,0.014929392228987481,-0.2770738091422338,-0.32102519927771667,-0.04552552217515604
bulgaria,2012-12-01,2012,12,-0.015440900220710319,-0.036217130064763126,0.074,-99999.0,0.01249857941695609,-0.1502280010524677,-0.06947392309561273,-0.04871570948171566
bulgaria,2013-01-01,2013,1,-0.09576768417663217,-0.041812909030635836,0.099,-99999.0,0.010057768647509846,-0.11668298829330137,-0.03916997059320515,-0.051870677678149235
bulgaria,2013-02-01,2013,2,-0.20450351687361135,-0.033785067628876675,0.11100000000000002,-99999.0,0.007375582025483496,-0.1680694353722192,-0.23505203264127594,-0.04116064965436017
bulgaria,2013-03-01,2013,3,-0.06167454314066845,-0.025795447747309908,-0.011999999999999997,-99999.0,0.004682488999520729,-0.23554412505282052,0.08237497367591651,-0.030477936746832412
bulgaria,2013-04-01,2013,4,-0.054428385196679585,-0.0178435921523743,0.0,-99999.0,0.001978413944296875,-0.12909573212504188,0.08076044677451844,-0.019822006096671174
bulgaria,2013-05-01,2013,5,-0.0845114143161858,-0.012177830562528413,-0.067,-99999.0,0.0019522345070139835,-0.03183985445563575,0.02272585237915159,-0.01413006506954062
bulgaria,2013-06-01,2013,6,-0.11363891669450865,-0.0065420986486159904,-0.069,-99999.0,0.0019260233971554186,0.2575387238811553,-0.02806517596658331,-0.00846812204576608
bulgaria,2013-07-01,2013,7,-0.07922085625134301,-0.0009361327303025746,-0.003000000000000001,-99999.0,0.0018997805572116278,0.18133466947223287,0.0171386211266098,-0.0028359132875088733
bulgaria,2013-08-01,2013,8,-0.08234480694209623,0.0034632519840513964,-0.044000000000000004,-99999.0,0.0016359398978931239,-0.04660927469457299,-0.006094063993780097,0.0018273120861564962
bulgaria,2013-09-01,2013,9,-0.05178307819163308,0.007846539382569517,0.031,-99999.0,0.0013717965791819609,-0.011492913984421982,0.04042767743258935,0.006474742803384004
bulgaria,2013-10-01,2013,10,-0.05549812165966017,0.01221383538747034,0.098,-99999.0,0.0011073500776763723,-0.04334983114665025,-0.004981675662739882,0.01110648530979752
bulgaria,2013-11-01,2013,11,-0.07419032414684423,0.021314677094636636,0.045000000000000005,-99999.0,0.0007385440298453005,0.003844490326548211,0.05887248639174292,0.020576133064791335
bulgaria,2013-12-01,2013,12,-0.06477768919886984,0.030369944016278794,-0.098,-99999.0,0.00036950764881638065,-0.003373945080568319,-0.04970629662697501,0.030000436367460637
bulgaria,2014-01-01,2014,1,0.013633124137353292,0.03938009125508657,-0.049999999999999996,-99999.0,2.406992951620168e-07,-0.06409232468408455,0.10940056761468941,0.03937985055578963
bulgaria,2014-02-01,2014,2,-0.013080065149353004,0.041996054376532754,0.013999999999999992,-99999.0,-0.00014479136830480854,-0.03571947112041318,0.1915682430925667,0.04214084574483756
bulgaria,2014-03-01,2014,3,-0.017642359679438613,0.04458782776291059,0.066,-99999.0,-0.0002899437362788859,0.1362647824554699,0.044322127197501615,0.04487777149918948
bulgaria,2014-04-01,2014,4,0.03600149821507159,0.04715567300925727,0.123,-99999.0,-0.00043521654727207704,0.21047117854731123,0.09086509995901793,0.04759088955652402
bulgaria,2014-05-01,2014,5,0.06779968366580036,0.04100586437643372,0.112,-99999.0,-0.0006521177291762825,0.13896030085513988,0.15296321571116067,0.04165798210560823
bulgaria,2014-06-01,2014,6,0.10078776644556342,0.03489218493463042,0.048,-99999.0,-0.0008693403106967423,0.00436727132866821,0.21529602345076704,0.035761525245321835
bulgaria,2014-07-01,2014,7,0.06782358084453932,0.028814288106641328,0.015000000000000001,-99999.0,-0.0010868850114533757,-0.06125590397048075,0.14813132210733126,0.029901173118092927
bulgaria,2014-08-01,2014,8,0.07062443751048164,0.025129326727409307,-0.01,-99999.0,-0.0011305606777032295,-0.07238854435015973,0.15409980513028287,0.026259887405114313
bulgaria,2014-09-01,2014,9,0.08563364600530221,0.021461283618389615,-0.016,-99999.0,-0.0011743430811410605,-0.12805560397137317,0.13859106727807546,0.02263562669953778
bulgaria,2014-10-01,2014,10,0.06688452245756693,0.01781002514807284,-0.065,-99999.0,-0.001218232532099961,-0.19741841517921976,0.1236008766493244,0.019028257680171023
bulgaria,2014-11-01,2014,11,0.07717574365421243,0.008183228847698842,-0.03900000000000001,-99999.0,-0.0010480175466902608,-0.29346957035224186,0.1524140853477478,0.00923124639439088
bulgaria,2014-12-01,2014,12,0.018963342048923693,-0.0013830597756800955,0.033,-99999.0,-0.0008777368348127368,-0.586294901380997,0.08461876808260627,-0.0005053229408655824
bulgaria,2015-01-01,2015,1,0.06959438527434614,-0.010889529577468693,-0.006999999999999999,-99999.0,-0.0007073903574816853,-0.773261199987215,0.05666865149447897,-0.010182139219983455
bulgaria,2015-02-01,2015,2,0.10045193355430015,-0.017083948839335505,-0.03599999999999999,-99999.0,-0.0007715508330328191,-0.5646732632995173,0.1143035495366842,-0.016312398006302686
bulgaria,2015-03-01,2015,3,0.10109454907476945,-0.023236151950801087,-0.008000000000000007,-99999.0,-0.0008357383540822383,-0.644750457160848,0.11957264710829563,-0.02240041359671352
bulgaria,2015-04-01,2015,4,0.05639798033706711,-0.029346614572222762,-0.06999999999999999,-99999.0,-0.0008999529378641569,-0.6460798787564697,0.021296435059864116,-0.028446661634355053
bulgaria,2015-05-01,2015,5,0.008161189837188942,-0.020668006218624413,0.010000000000000002,-99999.0,-0.0003889576738416167,-0.6019992627786861,-0.05924953615477069,-0.020279048544782796
bulgaria,2015-06-01,2015,6,0.0063668317216958314,-0.012059292800888244,0.053000000000000005,-99999.0,0.00012277274606731226,-0.6807592153580586,-0.09454370746993757,-0.01218206554695378
bulgaria,2015-07-01,2015,7,0.04644331953263148,-0.0035195033045525292,0.033,-99999.0,0.0006352399270230791,-0.6245690859548487,-0.022015501238926483,-0.004154743231577385
bulgaria,2015-08-01,2015,8,0.032751101555280826,-0.0005417146326287536,0.062,-99999.0,0.0006895215451816483,-0.6903520357299286,-0.03856285750038513,-0.001231236177810402
bulgaria,2015-09-01,2015,9,0.000775089216148217,0.002413523570854892,0.006000000000000001,-99999.0,0.0007438446730834158,-0.5731028757581806,-0.08560240146223919,0.0016696788977643706
bulgaria,2015-10-01,2015,10,0.017576566780181935,0.005346474185078165,0.02,-99999.0,0.0007982093027347759,-0.36947593199307294,-0.050106164980118884,0.004548264882341613
bulgaria,2015-11-01,2015,11,0.060058997199973874,0.015105796026961826,0.015,-99999.0,0.00022733084257353653,-0.27951190293624784,-0.017344077296808535,0.014878465184386513
bulgaria,2015-12-01,2015,12,0.0461512475149739,0.024788789703691805,0.006000000000000002,-99999.0,-0.0003439205588193772,0.08000843262553614,0.02753182602486426,0.02513271026250763
bulgaria,2016-01-01,2016,1,-0.04943796828536762,0.03439647345099672,0.0010000000000000009,-99999.0,-0.000915545333395329,0.37512743783270475,-0.11811680822632287,0.035312018784390276
bulgaria,2016-02-01,2016,2,-0.1502107963120416,0.04350626821316084,-0.017,-99999.0,-0.0009575925405531649,0.03744384378742005,-0.24970513732579303,0.044463860753712225
bulgaria,2016-03-01,2016,3,-0.10499367731426901,0.0525086246842541,-0.005999999999999995,-99999.0,-0.000999655644205788,0.27363109864288493,-0.20508857074483444,0.053508280328452784
bulgaria,2016-04-01,2016,4,-0.14144347870753649,0.06140565382321128,-0.007000000000000001,-99999.0,-0.0010417346534055127,0.23490103348230207,-0.19679972439119897,0.06244738847661857
bulgaria,2016-05-01,2016,5,-0.10973191552688277,0.0531037617156187,-0.078,-99999.0,-0.0013466415401026666,0.22062550294607863,-0.11654646382396905,0.05445040325571959
bulgaria,2016-06-01,2016,6,-0.06990548464955637,0.04488487395007468,-0.017,-99999.0,-0.0016519740711125053,0.3556835511652032,-0.07462034230013703,0.04653684802118718
bulgaria,2016-07-01,2016,7,-0.031698552162673366,0.03674762240049745,-0.006000000000000005,-99999.0,-0.0019577331514781804,0.40562370593120534,-0.07618413854383288,0.03870535555197918
bulgaria,2016-08-01,2016,8,-0.014580100754052694,0.035715537605916836,-0.018999999999999993,-99999.0,-0.0018769435230812093,0.7665343726033464,-0.04545425878624876,0.03759248112899982
bulgaria,2016-09-01,2016,9,0.014773224232939697,0.03468738935430338,0.045000000000000005,-99999.0,-0.0017960183151881637,0.6900892582589067,0.01579415333198142,0.036483407669495094
bulgaria,2016-10-01,2016,10,0.034122034338853524,0.03366319828445796,0.012999999999999998,-99999.0,-0.0017149571882253412,0.6129761887388643,0.018260424746896042,0.035378155472686856
bulgaria,2016-11-01,2016,11,0.021216658031878666,0.02530948692315249,0.015000000000000003,-99999.0,-0.001300059981907964,0.5950319436935749,-0.0375422791861908,0.02660954690506223
bulgaria,2016-12-01,2016,12,0.05440115734969453,0.01703384995875723,0.039999999999999994,-99999.0,-0.0008848873128410872,0.833028639171546,0.00913479714756793,0.017918737271600094
bulgaria,2017-01-01,2017,1,0.14282344806025904,0.008835082337895983,-0.014000000000000002,-99999.0,-0.0004694388774613145,1.0173306751782363,0.19273085522309064,0.009304521215355521
bulgaria,2017-02-01,2017,2,0.18125112895288353,-0.004633733753987457,0.058,-99999.0,-0.0005311105714227438,1.1244421318002757,0.3319930358363541,-0.004102623182562937
bulgaria,2017-03-01,2017,3,0.10928099261430901,-0.01792534837068871,0.043,-99999.0,-0.0005928196510716077,0.6805188056205487,0.21486748957964963,-0.01733252871961355
bulgaria,2017-04-01,2017,4,0.1256650362842251,-0.031043526199198368,0.027999999999999997,-99999.0,-0.0006545661490786614,0.5882613830476231,0.26776308114084024,-0.03038896005012326
bulgaria,2017-05-01,2017,5,0.12152869134841993,-0.029264273584217904,0.116,-99999.0,-0.0007023393102389974,0.38953296532694903,0.23196294618554258,-0.028561934273978906
bulgaria,2017-06-01,2017,6,0.029479183957089816,-0.027509121934951253,-0.005999999999999998,-99999.0,-0.0007501759531098884,0.2025729615037748,0.10013484455975696,-0.026758945981841364
bulgaria,2017-07-01,2017,7,-0.02044415503718966,-0.02577759209321684,0.017,-99999.0,-0.0007980762038339861,0.30535184151411743,0.012052473329323021,-0.024979515889386406
bulgaria,2017-08-01,2017,8,-0.01652615762654719,-0.029022366052867454,0.018999999999999993,-99999.0,-0.000662832981689121,0.13502596435187897,-0.0012832238908071503,-0.02835953307118011
bulgaria,2017-09-01,2017,9,-0.01159976948348529,-0.03223171674401115,-0.019000000000000003,-99999.0,-0.0005273316784872861,0.20936640825459696,-0.0258456620379377,-0.03170438506552209
bulgaria,2017-10-01,2017,10,-0.011763869850216935,-0.035406226518709616,-0.001999999999999995,-99999.0,-0.0003915715542728293,0.1273250453881194,-0.04549433263479585,-0.03501465496443856
bulgaria,2017-11-01,2017,11,0.022395337968401208,-0.031493935238636084,-0.016000000000000004,-99999.0,-0.00027440163973224685,0.3275393364094654,0.0014530815762574534,-0.03121953359890739
bulgaria,2017-12-01,2017,12,-0.1011814290422457,-0.027623713132040706,-0.031999999999999994,-99999.0,-0.0001570894078426477,-0.14975089260365726,-0.15542549698409935,-0.027466623724198058
bulgaria,2018-01-01,2018,1,-0.03478131543888807,-0.023794871534715156,0.039,-99999.0,-3.9634598902438256e-05,-0.3398071226887551,-0.17756512890024734,-0.023755236935809165
bulgaria,2018-02-01,2018,2,-0.026921188200393686,-0.015259582861084198,-0.08,-99999.0,0.0001527981708253634,-0.3592900924752671,-0.20832511532410436,-0.015412381031907785
bulgaria,2018-03-01,2018,3,-0.019965300439441336,-0.006829975578035885,-0.053000000000000005,-99999.0,0.00034533167540651277,-0.05360072262926163,-0.12959162472915864,-0.007175307253442398
bulgaria,2018-04-01,2018,4,-0.005088908970538597,0.0014960757490847243,-0.054,-99999.0,0.00053796599485878,0.09143689859349546,-0.13129191124962425,0.000958109754229497
bulgaria,2018-05-01,2018,5,-0.013351353370818941,0.003501205719800282,-0.095,-99999.0,0.000915965021128784,0.3509433353897746,-0.13579600974036854,0.0025852406986732746
bulgaria,2018-06-01,2018,6,-0.017730693952284327,0.005487210215051164,0.0010000000000000009,-99999.0,0.0012943750475589155,0.5126807723874256,-0.04850425295693306,0.0041928351674940245
bulgaria,2018-07-01,2018,7,-0.025328900733807558,0.007454363020144683,-0.041999999999999996,-99999.0,0.0016731967637291234,0.3506858550783205,-0.006557942460348798,0.005781166256420889
bulgaria,2018-08-01,2018,8,-0.024788108988435198,0.013645262191865015,-0.031999999999999994,-99999.0,0.0015243304870207197,0.21824177875303796,-0.009786281848910505,0.012120931704844295
bulgaria,2018-09-01,2018,9,-0.02274225774133498,0.019761477993281318,-0.044000000000000004,-99999.0,0.0013751843587161972,0.15295767173237929,-0.012517672616565001,0.018386293634561568
bulgaria,2018-10-01,2018,10,-0.020876188825525333,0.025804401145538947,-0.023000000000000003,-99999.0,0.0012257575884113692,0.19327839339764896,-0.010338076563719767,0.024578643557127577
bulgaria,2018-11-01,2018,11,-0.02452890462680557,0.024526957417158712,-0.006999999999999999,-99999.0,0.0009280159431064305,-0.3058637310854544,-0.04785225853831676,0.023598941474054058
bulgaria,2018-12-01,2018,12,-0.014941182851679002,0.02326195121553809,-0.064,-99999.0,0.0006298799762749496,-0.3038242450030153,0.08561036621429174,0.02263207123926314
bulgaria,2019-01-01,2019,1,-0.02915922221346534,0.022009200874506973,-0.030000000000000002,-99999.0,0.000331348896009942,-0.3864004289091145,0.005290744329416341,0.021677851978491702
bulgaria,2019-02-01,2019,2,-0.026552149828933835,0.023237552797095162,0.082,-99999.0,0.0002803754139097947,-0.19537189716789083,8.86629575447273e-05,0.022957177383185368
bulgaria,2019-03-01,2019,3,-0.021735235001766995,0.02443737517809197,0.013000000000000001,-99999.0,0.00022936951350871482,-0.24481389003988907,-0.001999304075829933,0.024208005664586807
bulgaria,2019-04-01,2019,4,-0.01285712853652754,0.02560943802487259,0.04,-99999.0,0.0001783311655128017,-0.33328382648455435,-0.007946550731503521,0.02543110685935801
bulgaria,2019-05-01,2019,5,-0.017685730118149223,0.026765390263360445,0.009000000000000001,-99999.0,-0.00014144353652589814,-0.5013131819279923,-0.004192933210800831,0.026906833799886343
