date,co2_cap
2000-01-01,1689.036509451253
2000-04-01,1460.7990518306483
2000-07-01,1480.5786305549088
2000-10-01,1606.3726896509418
2001-01-01,1673.5213299493648
2001-04-01,1581.6392339442593
2001-07-01,1613.0117817938083
2001-10-01,1835.461342353299
2002-01-01,1699.3513837179812
2002-04-01,1527.6661143343194
2002-07-01,1518.6124357946956
2002-10-01,1724.6391957289025
2003-01-01,1895.42251390448
2003-04-01,1711.2107745858189
2003-07-01,1766.7879948299912
2003-10-01,1844.3298849116331
2004-01-01,1891.6248925689804
2004-04-01,1667.628620760508
2004-07-01,1656.1414391571147
2004-10-01,1860.814043312463
2005-01-01,1918.1224931983754
2005-04-01,1693.2355116504227
2005-07-01,1729.995932391889
2005-10-01,1880.0282027769142
2006-01-01,1988.9377866365899
2006-04-01,1744.7126693837288
2006-07-01,1789.79338066261
2006-10-01,1902.6550818967762
2007-01-01,2004.083672886966
2007-04-01,1847.260104897842
2007-07-01,1885.8676870597153
2007-10-01,2153.219544954849
2008-01-01,2006.1789981272182
2008-04-01,1807.5993560228644
2008-07-01,1836.827591590724
2008-10-01,2022.629611273975
2009-01-01,1787.024122900472
2009-04-01,1519.709322167799
2009-07-01,1567.3253236574747
2009-10-01,1718.9610781268586
2010-01-01,1907.6741654977106
2010-04-01,1639.8726205625812
2010-07-01,1715.769918387963
2010-10-01,1862.3046473244615
2011-01-01,2212.038867861082
2011-04-01,1875.208807201087
2011-07-01,1910.4720459804535
2011-10-01,2068.599725472547
2012-01-01,2110.2890156926483
2012-04-01,1688.666209603523
2012-07-01,1757.5547795528032
2012-10-01,1947.9790164249353
2013-01-01,1878.2548507647107
2013-04-01,1559.5995325960018
2013-07-01,1644.4320268131203
2013-10-01,1834.886136448263
2014-01-01,1878.887597675927
2014-04-01,1677.9217779373387
2014-07-01,1782.211886290959
2014-10-01,1947.1929314866984
2015-01-01,2067.0454756979634
2015-04-01,1728.4155271272607
2015-07-01,1839.6814289490894
2015-10-01,2041.005233091939
2016-01-01,1885.3030828906906
2016-04-01,1564.062603818449
2016-07-01,1833.2993232166127
2016-10-01,2133.283413814911
2017-01-01,2194.0749451555216
2017-04-01,1728.130210139106
2017-07-01,1818.1144356729276
2017-10-01,2083.5457440632126
2018-01-01,2149.839447084356
2018-04-01,1719.7331997218002
2018-07-01,1785.4873975133214
2018-10-01,2054.956978467502
2019-01-01,2109.353605548096
2019-04-01,1702.5241474081379
2019-07-01,1756.3190205757785
2019-10-01,2025.0634696630505
