Series,$\hat{\Delta}_T$ (ATT),$\hat{\sigma}_{\Delta_T}$ (STD),P-value
12-m Log-Diff $CO_2$,0.012,0.048,0.058
12-m Log $CO_2$,0.076,0.054,0.0
Absolute $CO_2$,1932366596.476,1467311986.988,0.0
