series,log,diff_level,diff_order,regression,stationary,p_value
brent,0,0,1,c,0.0,0.18470177102908858
brent,0,0,1,ct,0.0,0.46331019494504133
brent,0,0,1,ctt,0.0,0.14570179718578397
brent,0,0,1,n,0.0,0.39817114997541064
brent,0,0,2,c,0.0,0.18470177102908858
brent,0,0,2,ct,0.0,0.46331019494504133
brent,0,0,2,ctt,0.0,0.14570179718578397
brent,0,0,2,n,0.0,0.39817114997541064
brent,0,1,1,c,1.0,6.998274904205245e-19
brent,0,1,2,c,1.0,1.5497604451132589e-09
brent,0,2,1,c,1.0,3.8837708847585366e-05
brent,0,2,2,c,1.0,6.386628383166029e-09
brent,0,12,1,c,0.0,0.10291056774014168
brent,0,12,1,ct,0.0,0.23207275585624013
brent,0,12,1,ctt,0.0,0.4601881572793713
brent,0,12,1,n,1.0,0.010841284684218267
brent,0,12,2,c,1.0,0.002386173622310269
brent,0,24,1,c,0.0,0.050972762004615604
brent,0,24,1,ct,0.0,0.13354914890393937
brent,0,24,1,ctt,0.0,0.31072784945521614
brent,0,24,1,n,1.0,0.0046931750632088
brent,0,24,2,c,1.0,0.04109355702675031
brent,1,0,1,c,0.0,0.2900766303758474
brent,1,0,1,ct,0.0,0.630510935863581
brent,1,0,1,ctt,0.0,0.1778434656835866
brent,1,0,1,n,0.0,0.7389049232543226
brent,1,0,2,c,0.0,0.2900766303758474
brent,1,0,2,ct,0.0,0.630510935863581
brent,1,0,2,ctt,0.0,0.1778434656835866
brent,1,0,2,n,0.0,0.7389049232543226
brent,1,1,1,c,1.0,4.402146313637615e-23
brent,1,1,2,c,1.0,9.491253658644095e-16
brent,1,2,1,c,1.0,8.314802684664657e-05
brent,1,2,2,c,1.0,1.841692614570333e-09
brent,1,12,1,c,0.0,0.07477003134675624
brent,1,12,1,ct,0.0,0.1373450948393058
brent,1,12,1,ctt,0.0,0.30521731174021255
brent,1,12,1,n,1.0,0.008617385231251112
brent,1,12,2,c,1.0,0.011797134558845209
brent,1,24,1,c,0.0,0.08123696621113607
brent,1,24,1,ct,0.0,0.10352127870338163
brent,1,24,1,ctt,0.0,0.22467790303565308
brent,1,24,1,n,1.0,0.011341234972344202
brent,1,24,2,c,1.0,0.03609081671792617
co2,0,0,1,c,0.10526315789473684,0.5869476159647131
co2,0,0,1,ct,0.058823529411764705,0.24580080026021728
co2,0,0,1,ctt,0.0625,0.47307170205841886
co2,0,0,1,n,0.06666666666666667,0.4620638788313104
co2,0,0,2,c,0.10526315789473684,0.5869476159647131
co2,0,0,2,ct,0.058823529411764705,0.24580080026021728
co2,0,0,2,ctt,0.0625,0.47307170205841886
co2,0,0,2,n,0.06666666666666667,0.4620638788313104
co2,0,1,1,c,1.0,0.000985970584476489
co2,0,1,2,c,1.0,1.1817044056264922e-16
co2,0,2,1,c,1.0,0.0009700863309120342
co2,0,2,2,c,1.0,5.143053138723576e-10
co2,0,12,1,c,0.9473684210526315,0.00967639285154799
co2,0,12,1,ct,0.0,0.20975686124087067
co2,0,12,1,ctt,1.0,0.04558646858900898
co2,0,12,2,c,1.0,0.00034137661349875744
co2,0,24,1,c,0.7894736842105263,0.027796690969223353
co2,0,24,1,ct,0.0,0.31032121325561224
co2,0,24,1,ctt,0.5,0.13807954069877953
co2,0,24,1,n,1.0,0.013329143810208721
co2,0,24,2,c,0.9473684210526315,0.012586262218279748
co2,0,24,2,ct,0.0,0.33677029803731506
co2,0,24,2,ctt,0.0,0.58776121835436
co2,0,24,2,n,1.0,0.012321403444040958
co2,1,0,1,c,0.10526315789473684,0.5745767080957119
co2,1,0,1,ct,0.058823529411764705,0.2505319041842197
co2,1,0,1,ctt,0.0625,0.4535516513111709
co2,1,0,1,n,0.13333333333333333,0.47650614598931873
co2,1,0,2,c,0.10526315789473684,0.5745767080957119
co2,1,0,2,ct,0.058823529411764705,0.2505319041842197
co2,1,0,2,ctt,0.0625,0.4535516513111709
co2,1,0,2,n,0.13333333333333333,0.47650614598931873
co2,1,1,1,c,1.0,0.0017502977705663035
co2,1,1,2,c,1.0,2.572917923192997e-16
co2,1,2,1,c,1.0,0.001334199496978731
co2,1,2,2,c,1.0,1.6578492096309844e-09
co2,1,12,1,c,0.8421052631578947,0.019408139391843673
co2,1,12,1,ct,0.0,0.2269819900851675
co2,1,12,1,ctt,0.3333333333333333,0.24210799998275856
co2,1,12,1,n,0.5,0.054048939313166976
co2,1,12,2,c,1.0,0.0007436204982789401
co2,1,24,1,c,0.7368421052631579,0.04513096873915559
co2,1,24,1,ct,0.0,0.33663914773716525
co2,1,24,1,ctt,0.6,0.13206605125866916
co2,1,24,1,n,1.0,0.017969022111275205
co2,1,24,2,c,0.8947368421052632,0.02310974443632885
co2,1,24,2,ct,0.0,0.41976768975456513
co2,1,24,2,ctt,0.0,0.6622044281329356
co2,1,24,2,n,1.0,0.02663086317157575
co2_cap,0,0,1,c,0.05263157894736842,0.6598736795582962
co2_cap,0,0,1,ct,0.1111111111111111,0.2638468558984799
co2_cap,0,0,1,ctt,0.125,0.44300024635249524
co2_cap,0,0,1,n,0.14285714285714285,0.4376277712493869
co2_cap,0,0,2,c,0.05263157894736842,0.6598736795582962
co2_cap,0,0,2,ct,0.1111111111111111,0.2638468558984799
co2_cap,0,0,2,ctt,0.125,0.44300024635249524
co2_cap,0,0,2,n,0.14285714285714285,0.4376277712493869
co2_cap,0,1,1,c,1.0,0.0004269138383592839
co2_cap,0,1,2,c,1.0,1.7506559049623286e-16
co2_cap,0,2,1,c,1.0,0.0009819564106859117
co2_cap,0,2,2,c,1.0,5.191711012851898e-10
co2_cap,0,12,1,c,0.9473684210526315,0.007788196404091982
co2_cap,0,12,1,ct,0.0,0.1921145902656748
co2_cap,0,12,1,ctt,1.0,0.04465665025763739
co2_cap,0,12,2,c,1.0,0.0003564122279212117
co2_cap,0,24,1,c,0.8421052631578947,0.02434947323185715
co2_cap,0,24,1,ct,0.0,0.3525801788002059
co2_cap,0,24,1,ctt,0.6666666666666666,0.13530836339941668
co2_cap,0,24,1,n,1.0,0.014315558360018035
co2_cap,0,24,2,c,0.9473684210526315,0.012263682950431207
co2_cap,0,24,2,ct,0.0,0.33788543171929586
co2_cap,0,24,2,ctt,0.0,0.5982301960148813
co2_cap,0,24,2,n,1.0,0.011734606089023469
