date,austria,belgium,bulgaria,croatia,czech_republic,germany,greece,hungary,italy,lithuania,netherlands,romania,slovakia,spain,switzerland
2008-01-01,10311235430.0,11801714000.0,5526328722.0,3177249904.0,14449815230.0,97494319110.0,10763619030.0,6979388289.0,53137959150.0,2072201221.0,18200720570.0,14942077500.0,4766949596.0,33671611320.000004,5391252653.0
2008-02-01,9919027574.0,11604204460.0,4996665982.0,2966868931.0,13653885590.0,93189811450.0,9940484375.0,6121720396.0,51897173610.0,1946783557.0,18003337450.0,13334363190.0,4542313080.0,31884641000.0,5173995055.0
2008-03-01,9482453651.0,11748858370.0,4795586272.0,2910313251.0,13334755710.0,89073235390.0,8945164705.0,6061190007.0,49894558950.0,1956161983.0,18380131200.0,11661555970.0,4281849276.0,31303986510.0,5143288166.0
2008-04-01,8299481910.0,10707235930.0,4698643728.0,2426927938.0,11971631300.0,79560604920.0,8516463770.0,5337233408.0,43627441460.0,1706161333.0,16597328760.0,9854736282.0,3800632357.0,30003012240.0,4595677114.0
2008-05-01,6875717773.0,8605222502.0,4520176733.0,2021674552.0,9707129754.0,61924461650.0,8235278741.0,4968221203.0,36099405790.0,1519636808.0,13577009490.0,7950133218.0,3240695770.0,28668843160.0,3736675746.0
2008-06-01,6318949980.0,8564877227.000001,4568824387.0,1998952838.0,9017917781.0,57548338170.0,8368837052.999999,4915276278.0,36231934610.0,1371111894.0,13240297790.0,7408467270.0,2999269497.0,28569152620.0,3307769865.0
2008-07-01,6199975004.0,8540354415.0,4702006078.0,1988039274.0,8563414989.999999,56978280000.0,8681657651.0,4904801958.0,37025836110.0,1328899956.0,13572810720.0,7247450893.0,2869453250.0,29403639230.0,3128143817.0
2008-08-01,6158127145.0,8112176399.0,4559009105.0,1905350152.0,8913738339.0,57316538240.0,8433521364.0,4855227151.0,34810624180.0,1339116104.0,13187472820.0,7611914890.0,2848327590.0,28573221900.0,3128812376.0
2008-09-01,7369314675.0,9038313433.0,4727161658.0,2098182715.0,9993258063.0,67797023430.0,8486981275.0,5163278544.0,37150668110.0,1554993870.0,13617515520.0,8799244421.0,3278316370.0,29288369750.0,3771478289.0
2008-10-01,8564581654.0,10555502480.0,4948975535.0,2339895030.0,11945802750.0,80902536370.0,8704234072.0,5532646827.0,39927494780.0,1786386510.0,15807933980.0,10507663610.0,3851482247.0,30121877150.0,4333129422.0
2008-11-01,9266442611.0,11282662960.0,5136393822.0,2747435408.0,12749133890.0,86539941990.0,9128104270.0,6210902010.0,46428436250.0,1922647656.0,17063026259.999998,11841174290.0,4168761418.0,33139284790.0,5049190897.0
2008-12-01,10040604780.0,12703980950.0,5300571833.0,3102286138.0,13357690250.0,94971486110.0,10191333850.0,6699514757.0,52726609690.0,1987490770.0,18733470060.0,12839005660.0,4443580716.0,33930344370.0,5577537429.0
2009-01-01,10317454980.0,12458844400.0,4859827424.0,3255034708.0,15663100490.0,103418555700.0,9946627791.0,7130475769.0,50115111430.0,1894597126.0,20143444690.0,12885543570.0,4733778656.0,32236503100.0,5878748125.0
2009-02-01,9549254959.0,11125413880.0,4351322058.0,2849180004.0,14086014000.0,92025615470.0,9275923625.0,6169897045.0,47030859730.0,1811930562.0,18163683850.0,11601764650.0,4368407799.0,28654683750.0,5328953618.0
2009-03-01,8861745092.0,10940612770.0,4375416222.0,2688658234.0,12419194200.0,82738668320.0,9113948910.0,5768157804.0,44542227020.0,1760903696.0,17888829120.0,10455890850.0,4051436682.0,28293723310.0,5049285960.0
2009-04-01,7171055678.0,9034163045.0,3889047584.0,2032902608.0,9555553236.0,62578667320.0,7995147263.0,4582509321.0,36541076430.0,1438698108.0,14749598320.0,7839159273.0,3241136798.0,27508003030.0,4144254493.000001
2009-05-01,6478678994.0,8364837405.0,3798077457.0,1828249154.0,8896531281.0,57874167860.0,7846106778.0,4563931432.0,31597498260.0,1283851377.0,13524415610.0,6595994708.0,3026234872.0,25863954440.0,3544669751.0
2009-06-01,6130295525.0,8052251376.0,3854763319.0,1806033152.0,8405016339.0,55473944290.0,7970079262.0,4346965583.0,31679406510.0,1182402255.0,12905123020.0,6145698189.0,2767395828.0,26465249100.0,3314405536.0
2009-07-01,5678880813.0,8103523272.0,4018214135.0,1793254000.0,8046908562.0,52793100690.0,8404742141.999999,4412869157.0,32681343770.0,1125417614.0,13241222760.0,6012596995.0,2644767775.0,27033182870.0,3011577207.0
2009-08-01,5526435636.0,7898605877.0,3901072699.0,1759892711.0,8140782020.0,52609048490.0,8158436875.0,4341931183.0,31737847500.0,1162340267.0,12985486950.0,6060491280.0,2567054072.0,26033593300.0,2828765340.0
2009-09-01,6396673543.0,8206668491.0,3959471794.0,1858070216.0,8851438003.0,57840563910.0,8052486425.0,4552874260.0,33261547300.0,1290280291.0,13014094360.0,6540114869.0,2787272350.0,26562402670.0,3366235524.0
2009-10-01,8405567241.000001,9921825607.0,4234586578.000001,2284492773.0,11585644540.0,76214169050.0,8270382371.0,5232302861.0,38093230600.0,1683248676.0,15414821340.0,8980296348.0,3653913817.0,27190404010.0,4359152777.0
2009-11-01,8598758164.0,10182907920.0,4183117975.0,2540809320.0,11618715680.0,75702426430.0,8253952574.999999,5689651696.0,42547323620.0,1637234983.0,15896622230.0,9655331207.0,3832303476.0,27632495190.0,4661890369.0
2009-12-01,9763845067.0,12186410520.0,4587783068.0,2956713853.0,13538492050.0,91822254390.0,8928198520.0,6621496613.0,48550923310.0,1883583612.0,18649183970.0,11557301790.0,4334526639.0,30465843850.0,5584302849.0
2010-01-01,10763054880.0,13581055000.0,5149333824.0,3132892374.0,14461503620.0,100649957900.0,9343367668.0,7200674959.0,51683851570.0,2037359664.0,21017148570.0,12041412130.0,4749983094.0,29951515140.0,5828344612.0
2010-02-01,10033818480.0,12315340820.0,4646878357.0,2788791700.0,13088777670.0,90433493790.0,8192715609.000001,6255900265.0,46625498810.0,1786044499.0,19162053170.0,10643302010.0,4458324909.0,27919733320.0,5311388369.0
2010-03-01,9546160182.0,11711498110.0,4619318418.0,2656230407.0,12698034580.0,86317685790.0,8134539392.0,5807502881.0,46348981700.0,1773303624.0,18344068500.0,10230824420.0,4274101044.0,27366364840.0,5174343600.0
2010-04-01,8129422099.0,10358811400.0,4191118287.0,2117241222.0,10489004100.0,73851153960.0,7488447531.0,4738507947.0,38259723780.0,1542367287.0,16350784020.0,8108937614.0,3704035836.0,24975865630.0,4353039203.0
2010-05-01,7303756335.0,9883366101.0,4095232258.0,1791744777.0,9404137850.0,69118363880.0,7422877418.0,4618948851.0,32735968220.0,1358044913.0,15352250230.0,6569283744.0,3241789987.0,24637214620.0,4063502351.0
2010-06-01,6629090453.0,8606581759.0,4084520530.0,1753555995.0,8504674402.000001,59011686570.0,7457663815.0,4498732381.0,32297427850.0,1232796160.0,13576459020.0,6193211735.0,2971875124.0,24954588060.0,3351161346.0
2010-07-01,6386995375.0,8646206429.0,4332961169.0,1753755182.0,8558946737.0,58488971390.0,8052079455.0,4482041296.0,34252329070.0,1188463131.0,13983820600.0,6088090109.0,2891713458.0,25999815830.0,2976987982.0
2010-08-01,6111034447.0,8234311126.000001,4246799587.000001,1698480748.0,8250426984.0,55629972800.0,8069636991.0,4370469322.0,31850465100.0,1165833631.0,13648052950.0,5939809667.0,2760895972.0,25291664130.0,3170507340.0
2010-09-01,7173825940.0,8700840542.0,4328662648.0,1785411365.0,9520195284.0,63707365460.0,7629068359.0,4637634773.0,33453390870.000004,1351357308.0,13708260730.0,6604756788.0,3174701162.0,26383672950.0,3669625518.0
2010-10-01,8896324570.0,10375927120.0,4578001326.0,2306968027.0,11752079520.0,78909633830.0,7690823472.0,5588795228.0,38318927200.0,1689651239.0,15722663520.0,9417635914.0,4008171399.0,26070100730.0,4499130702.0
2010-11-01,9266729148.0,11388204960.0,4396559647.0,2353729124.0,11979630800.0,84032998070.0,7263851321.0,5505537654.0,42134280740.0,1718433671.0,17510969210.0,8995882252.0,4034008733.0,28491558050.0,4986281736.0
2010-12-01,10739440600.0,13527779990.0,5005573784.0,3040034769.0,14330350630.0,100916860100.0,8520737223.0,7132945247.0,50626210200.0,1995562976.0,20195971030.0,11656001090.0,4784691103.0,29741512700.0,5761706766.0
2011-01-01,10599590150.0,12292478120.0,5760347779.0,2945915831.0,14464266690.0,98935192840.0,9304088975.0,6943075491.0,48906841960.0,1989439751.0,19444529840.0,12267399770.0,4532231299.0,32284953200.0,5326500248.0
2011-02-01,9928574655.0,11466378620.0,5282289793.0,2798467415.0,13450413130.0,92000429640.0,8527909680.000001,6536467140.0,45260781480.0,2056073697.0,18105448450.0,11378802880.0,4358118240.0,29763055290.0,4812412474.0
2011-03-01,9856865817.0,11157118930.0,5402986595.0,2607462696.0,13565903050.0,93105449860.0,8670754702.0,5915406081.0,45166256780.0,1978724793.0,18328922610.0,11285125760.0,4262014199.0,30072427810.0,4788163556.0
2011-04-01,8082753981.0,8917941224.0,4683475067.0,1951771989.0,10572506120.0,71003689480.0,7324051077.0,4666481741.0,35810146190.0,1616059851.0,14874255630.0,8907308374.0,3611496808.0,25669685660.0,3954704238.0
2011-05-01,7410557716.0,8811074501.0,4575691710.0,1764635981.0,9707895844.0,65205173540.0,7002730171.0,4575434625.0,33038554920.000004,1373292532.0,13907436540.0,7474108358.0,3283259426.0,25637994450.0,3576219400.0
2011-06-01,6492970936.0,8202192577.0,4542370044.0,1715572656.0,8388109033.000001,57079898840.0,6971184353.0,4470182662.0,31930070040.0,1161722165.0,13101713430.0,6595026918.0,2943339328.0,25450728930.0,3254501036.0
2011-07-01,6449897709.0,8078715808.0,4774619376.0,1700417936.0,8478986585.000001,57675455690.0,7263382103.0,4530853768.0,33251574900.0,1185939733.0,13419861290.0,6560966231.0,2867712239.0,25819478940.0,3250009621.0
2011-08-01,5891235305.0,7723414195.0,4632901289.0,1664317184.0,7938834859.0,53879208240.0,7084296699.0,4468045897.0,31578273300.0,1179060587.0,13140368940.0,6229427536.0,2727838029.0,25359116370.0,2854447014.0
2011-09-01,6530542449.0,8065359245.0,4627953268.0,1752471074.0,8234273880.000001,56015468060.0,7039790566.0,4600128456.0,33878772110.0,1308151418.0,13105820400.0,6491477537.0,2841480424.0,25484197480.0,3148745407.0
2011-10-01,8396211444.000001,9742666252.0,4727124654.0,2184311572.0,10858469510.0,73440409150.0,7071543390.0,5043940045.0,36432226490.0,1651897061.0,15253614140.0,9165581435.0,3681536070.0,25822116220.0,4155980428.0
2011-11-01,9421108362.0,10792904630.0,5223234203.0,2723472944.0,12746765750.0,86346071350.0,8357407477.999999,6436438373.0,41520710080.0,1746222134.0,16987098139.999998,10966774510.0,4189224914.000001,28535348330.0,4534144040.0
2011-12-01,9742294110.0,11365300650.0,5217855490.0,2732691518.0,12753846390.0,87134453590.0,8563631707.0,6296018785.0,45178199280.0,1761913962.0,17232425090.0,10720939370.0,4213987404.000001,30813232140.0,4999083209.0
2012-01-01,9982622708.0,11280642510.0,5388905855.0,2748747763.0,13227404770.0,93428488270.0,9387814404.0,6457626902.0,48161694220.0,1881144536.0,18373333190.0,11741153690.0,4181791627.0,30849856330.0,5205240304.0
2012-02-01,10673830060.0,12932200180.0,5406125218.0,3118758084.0,14218177830.0,101422275200.0,9039873955.0,7127320713.0,51179483420.0,1992048399.0,19362572850.0,12679860580.0,4407974186.0,31006342870.0,5630375025.0
2012-03-01,8857567377.0,10337617470.0,4656294071.0,2252083056.0,11808618490.0,83216235140.0,7788554140.0,5172545863.0,40274049000.0,1912880100.0,17055786740.0,10244196580.0,3854470844.0,27850185560.0,4594213644.0
2012-04-01,7985115547.0,10111142540.0,4083167863.0,1998031647.0,10390027400.0,75366896440.0,6554934006.0,4330285972.0,36403066960.0,1674864739.0,16349865270.0,8078610024.0,3423096314.0,25973208070.0,4359618087.0
