Series,$\hat{\Delta}_T$ (ATE),$\hat{\sigma}_{\Delta_T}$ (STD),p-value
12-m log-diff $CO_2$,0.005,0.067,0.375
Log $CO_2$,-0.028,0.066,0.0
Absolute $CO_2$,-117316748.323,266602827.369,0.0
