Series,$\hat{\Delta}_T$ (ATE),$\hat{\sigma}_{\Delta_T}$ (STD),p-value
12-m log-diff $CO_2$,0.005,0.067,0.375
Log $CO_2$,-0.021,0.064,0.0
Absolute $CO_2$,-94421998.364,264941434.115,0.0
