date,gdp_cap
2000-01-01,25440.310843294148
2000-02-01,25610.412169158943
2000-03-01,25780.30985724027
2000-04-01,25950.004272998594
2000-05-01,26102.575010251752
2000-06-01,26254.961923115225
2000-07-01,26407.16534360938
2000-08-01,26519.470419881225
2000-09-01,26631.63957213118
2000-10-01,26743.673046975426
2000-11-01,26860.642672371938
2000-12-01,26977.47009305594
2001-01-01,27094.155568195936
2001-02-01,27181.709526993618
2001-03-01,27269.15676078075
2001-04-01,27356.49746457916
2001-05-01,27482.441432035183
2001-06-01,27608.231748718354
2001-07-01,27733.868695636596
2001-08-01,27788.316685148573
2001-09-01,27842.698133943766
2001-10-01,27897.013163926484
2001-11-01,28033.288224109983
2001-12-01,28169.396458414514
2002-01-01,28305.33817299127
2002-02-01,28396.107802718798
2002-03-01,28486.767790648617
2002-04-01,28577.318335317414
2002-05-01,28629.74539603712
2002-06-01,28682.110034603196
2002-07-01,28734.41236243349
2002-08-01,28696.94810381499
2002-09-01,28659.527888979144
2002-10-01,28622.151640303353
2002-11-01,28532.696170571515
2002-12-01,28443.34443315416
2003-01-01,28354.09624772431
2003-02-01,28248.49141273971
2003-03-01,28143.01086112267
2003-04-01,28037.654373603822
2003-05-01,28092.250364992833
2003-06-01,28146.78122434861
2003-07-01,28201.247068153687
2003-08-01,28225.474975064644
2003-09-01,28249.673564525725
2003-10-01,28273.842889718973
2003-11-01,28386.670431960727
2003-12-01,28499.35952804072
2004-01-01,28611.91043262533
2004-02-01,28695.195964861985
2004-03-01,28778.378159615186
2004-04-01,28861.45720909143
2004-05-01,28940.652815834706
2004-06-01,29019.749081005466
2004-07-01,29098.746191405004
2004-08-01,29233.563615245534
2004-09-01,29368.210243971793
2004-10-01,29502.686401939172
2004-11-01,29613.829994659252
2004-12-01,29724.831169986435
2005-01-01,29835.690201482066
2005-02-01,29948.206221112865
2005-03-01,30060.58142951668
2005-04-01,30172.816090861266
2005-05-01,30351.28893759112
2005-06-01,30529.54373770879
2005-07-01,30707.58089056327
2005-08-01,30874.25255077175
2005-09-01,31040.72533763575
2005-10-01,31206.99960688783
2005-11-01,31392.290340072654
2005-12-01,31577.365242580963
2006-01-01,31762.224691299652
2006-02-01,31988.01493211244
2006-03-01,32213.550436979684
2006-04-01,32438.83163674696
2006-05-01,32546.36463131587
2006-06-01,32653.780226250936
2006-07-01,32761.07861370462
2006-08-01,32865.84538127706
2006-09-01,32970.501349953294
2006-10-01,33075.04669540794
2006-11-01,33260.2158830079
2006-12-01,33445.19592560389
2007-01-01,33629.987112857234
2007-02-01,33765.191306434615
2007-03-01,33900.26056209872
2007-04-01,34035.19508175704
2007-05-01,34149.944078901106
2007-06-01,34264.58135045017
2007-07-01,34379.10705949762
2007-08-01,34447.44160062254
2007-09-01,34515.71126645229
2007-10-01,34583.91614932977
2007-11-01,34722.72356348975
2007-12-01,34861.40255236078
2008-01-01,34999.95329408999
2008-02-01,35011.65510959506
2008-03-01,35023.34633174625
2008-04-01,35035.02697492187
2008-05-01,35129.18236700086
2008-06-01,35223.254294297774
2008-07-01,35317.24286774547
2008-08-01,35216.43051957189
2008-09-01,35115.705543552795
2008-10-01,35015.06782615168
2008-11-01,34850.135186732325
2008-12-01,34685.342071693805
2009-01-01,34520.688304065494
2009-02-01,34530.811079697174
2009-03-01,34540.925355012056
2009-04-01,34551.03114071246
2009-05-01,34587.18060645541
2009-06-01,34623.30005259733
2009-07-01,34659.38951651649
2009-08-01,34801.69232677689
2009-09-01,34943.8779894102
2009-10-01,35085.9466490157
2009-11-01,35157.68043998392
2009-12-01,35229.355766191926
2010-01-01,35300.97269908586
2010-02-01,35431.28136323563
2010-03-01,35561.48368506902
2010-04-01,35691.57979470873
2010-05-01,35812.88241777008
2010-06-01,35934.08604493202
2010-07-01,36055.190797331925
2010-08-01,36194.34016674529
2010-09-01,36333.37582950739
2010-10-01,36472.29792493532
2010-11-01,36709.04556418711
2010-12-01,36945.59949680774
2011-01-01,37181.95996043582
2011-02-01,37240.89679078152
2011-03-01,37299.78563865839
2011-04-01,37358.626562638805
2011-05-01,37448.3258748018
2011-06-01,37537.952431673584
2011-07-01,37627.50632173622
2011-08-01,37598.43048664497
2011-09-01,37569.37808794435
2011-10-01,37540.349097309656
2011-11-01,37498.41822739649
2011-12-01,37456.52098685013
2012-01-01,37414.657335229735
2012-02-01,37409.31447948961
2012-03-01,37403.976017639114
2012-04-01,37398.64194426027
2012-05-01,37523.78567902639
2012-06-01,37648.82408512457
2012-07-01,37773.757295475516
2012-08-01,37899.699836477324
2012-09-01,38025.53383065257
2012-10-01,38151.259418271606
2012-11-01,38370.1449019888
2012-12-01,38588.83754794859
2013-01-01,38807.337610873416
2013-02-01,39044.292680952676
2013-03-01,39281.04214261803
2013-04-01,39517.58626336635
2013-05-01,39607.39889719813
2013-06-01,39697.134788563395
2013-07-01,39786.79403578168
2013-08-01,39923.72165964375
2013-09-01,40060.534226400625
2013-10-01,40197.23188101111
2013-11-01,40154.60141558759
2013-12-01,40112.00625441715
2014-01-01,40069.44635366235
2014-02-01,40085.47790647985
2014-03-01,40101.49687628771
2014-04-01,40117.503277894546
2014-05-01,40191.414323470875
2014-06-01,40265.27054294537
2014-07-01,40339.07199729921
2014-08-01,40303.350342928905
2014-09-01,40267.65365161841
2014-10-01,40231.98189720976
2014-11-01,40265.46211636628
2014-12-01,40298.92037279161
2015-01-01,40332.35668808968
2015-02-01,40430.1852824545
2015-03-01,40527.95103877266
2015-04-01,40625.65401756869
2015-05-01,40761.396581301
2015-06-01,40897.05380320579
2015-07-01,41032.62576373981
2015-08-01,41163.92963695921
2015-09-01,41295.152874198975
2015-10-01,41426.29554971624
2015-11-01,41668.93472315517
2015-12-01,41911.42841725325
2016-01-01,42153.77676280899
2016-02-01,42300.98299360151
2016-03-01,42448.09722435761
2016-04-01,42595.119541296765
2016-05-01,42748.28965130537
2016-06-01,42901.36015407832
2016-07-01,43054.33114674659
2016-08-01,43219.320274402024
2016-09-01,43384.1977776272
2016-10-01,43548.963769664166
2016-11-01,43657.88578850914
2016-12-01,43766.73148158747
2017-01-01,43875.50092909754
2017-02-01,43991.94683008074
2017-03-01,44108.30635936141
2017-04-01,44224.57961300095
2017-05-01,44384.958761355345
2017-06-01,44545.21271709309
2017-07-01,44705.34162674581
2017-08-01,44857.341750358115
2017-09-01,45009.21703325998
2017-10-01,45160.9676291895
2017-11-01,45217.62617290191
2017-12-01,45274.23588356651
2018-01-01,45330.79682428869
2018-02-01,45545.18859679078
2018-03-01,45759.40027792577
2018-04-01,45973.43209451641
2018-05-01,46188.14332601776
2018-06-01,46402.67887670783
2018-07-01,46617.038962116545
2018-08-01,46936.84212085352
2018-09-01,47256.390554445185
2018-10-01,47575.684567105556
2018-11-01,47984.826511567124
2018-12-01,48393.65061839089
2019-01-01,48802.157257796294
2019-02-01,49216.596716573324
2019-03-01,49630.735802634474
2019-04-01,50044.57484241255
2019-05-01,50335.08478095506
2019-06-01,50625.39895991292
2019-07-01,50915.517577087834
2019-08-01,51083.67646979309
2019-09-01,51251.73042091267
2019-10-01,51419.67952865099
