Series,$\hat{\Delta}_T$ (ATT),$\hat{\sigma}_{\Delta_T}$ (STD),P-value
12-m Log-Diff $CO_2$,-0.017,0.047,0.002
12-m Log $CO_2$,-0.107,0.074,0.0
Absolute $CO_2$,-4266754412.895,3074338242.052,0.0
