date,gdp_cap
2000-01-01,28857.65337998251
2000-02-01,28998.18023577815
2000-03-01,29138.64741540101
2000-04-01,29279.054956856184
2000-05-01,29365.122366345822
2000-06-01,29451.1468071209
2000-07-01,29537.128311351244
2000-08-01,29644.632669693794
2000-09-01,29752.07535718591
2000-10-01,29859.456426879442
2000-11-01,29777.792087475642
2000-12-01,29696.17997873613
2001-01-01,29614.620050568585
2001-02-01,29599.196500460686
2001-03-01,29583.783828636148
2001-04-01,29568.382023590304
2001-05-01,29592.86928402637
2001-06-01,29617.337466432382
2001-07-01,29641.78659309522
2001-08-01,29760.52902910571
2001-09-01,29879.172185430467
2001-10-01,29997.71618652798
2001-11-01,30204.840850725963
2001-12-01,30411.766894140113
2002-01-01,30618.494602332587
2002-02-01,30783.916277417782
2002-03-01,30949.223217197803
2002-04-01,31114.415541000657
2002-05-01,31228.005544508705
2002-06-01,31341.500929885406
2002-07-01,31454.90181530395
2002-08-01,31497.60818778507
2002-09-01,31540.279734104333
2002-10-01,31582.916496844395
2002-11-01,31689.423124413493
2002-12-01,31795.874532459355
2003-01-01,31902.2707639146
2003-02-01,31946.67297252838
2003-03-01,31991.04962381285
2003-04-01,32035.400739827375
2003-05-01,32112.369058867025
2003-06-01,32189.255214320907
2003-07-01,32266.05933768312
2003-08-01,32345.978755690438
2003-09-01,32425.8064516129
2003-10-01,32505.542583261642
2003-11-01,32706.608084646377
2003-12-01,32907.49912001375
2004-01-01,33108.21591634346
2004-02-01,33258.015841535576
2004-03-01,33407.67004814727
2004-04-01,33557.178748697836
2004-05-01,33715.49584415161
2004-06-01,33873.59205636262
2004-07-01,34031.46784727148
2004-08-01,34094.873977993506
2004-09-01,34158.189767472155
2004-10-01,34221.415408647685
2004-11-01,34207.78967313299
2004-12-01,34194.17700632775
2005-01-01,34180.577389439306
2005-02-01,34361.89296735422
2005-03-01,34543.056947922545
2005-04-01,34724.06952118984
2005-05-01,34892.24331918309
2005-06-01,35060.20859671302
2005-07-01,35227.96574135941
2005-08-01,35450.75392746432
2005-09-01,35673.25199076303
2005-10-01,35895.4604975993
2005-11-01,36214.770794533164
2005-12-01,36533.82061947259
2006-01-01,36852.610291001125
2006-02-01,37020.41664648812
2006-03-01,37188.145816942044
2006-04-01,37355.79785560423
2006-05-01,37601.79935316843
2006-06-01,37847.650108444126
2006-07-01,38093.35025994438
2006-08-01,38181.965779942555
2006-09-01,38270.51920226818
2006-10-01,38359.01059217121
2006-11-01,38508.30348158583
2006-12-01,38657.525481974495
2007-01-01,38806.67664381578
2007-02-01,38952.25664766854
2007-03-01,39097.774596459625
2007-04-01,39243.23052985804
2007-05-01,39324.71071490296
2007-06-01,39406.14113685767
2007-07-01,39487.52184129662
2007-08-01,39684.845418368284
2007-09-01,39882.05492595313
2007-10-01,40079.15046293509
2007-11-01,40302.720010271754
2007-12-01,40526.18911036854
2008-01-01,40749.557830904916
2008-02-01,41002.337647756984
2008-03-01,41255.00194425403
2008-04-01,41507.55079956715
2008-05-01,41600.49440885288
