date,co2
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,-0.01913783635234978
2001-02-01,0.03961054797361285
2001-03-01,0.022159771483806878
2001-04-01,0.11971768377375014
2001-05-01,0.024325756087037576
2001-06-01,0.1029230147343867
2001-07-01,-0.024426432010226762
2001-08-01,0.037497964945121254
2001-09-01,0.1166061457134333
2001-10-01,0.046862951131405595
2001-11-01,0.1579416535845013
2001-12-01,0.17438495492159944
2002-01-01,0.052059519107103824
2002-02-01,-0.025242713934023442
2002-03-01,0.01799956222366461
2002-04-01,0.028785956334097307
2002-05-01,0.05445915342214036
2002-06-01,-0.020760442916724742
2002-07-01,0.057050013574908576
2002-08-01,0.04433263544337862
2002-09-01,0.007926172859921365
2002-10-01,0.10566437951184326
2002-11-01,-0.0929606083446366
2002-12-01,-0.08811623852871975
2003-01-01,0.013681855757024408
2003-02-01,0.16042687378233111
2003-03-01,0.05539145080964758
2003-04-01,0.039911605667288796
2003-05-01,0.010569385253539565
2003-06-01,0.02261057665386801
2003-07-01,0.07567337846307964
2003-08-01,0.1099464829046255
2003-09-01,0.031509674528457765
2003-10-01,0.10008026581453677
2003-11-01,0.07577318509618536
2003-12-01,0.03800449331596312
2004-01-01,0.030095619097810555
2004-02-01,-0.05127379682986444
2004-03-01,0.04811262522795445
2004-04-01,-0.009030622605035177
2004-05-01,0.14229012991778234
2004-06-01,0.12963397402968013
2004-07-01,0.034011795295242564
2004-08-01,-0.004047658455572645
2004-09-01,-0.0021009765228434674
2004-10-01,-0.10605746473054012
2004-11-01,0.021016041924120543
2004-12-01,0.006984496700770393
2005-01-01,-0.018196699812204287
2005-02-01,0.07125481250668031
2005-03-01,0.043220020892764666
2005-04-01,0.020905749664144935
2005-05-01,-0.03263910664260905
2005-06-01,0.03689543606235901
2005-07-01,0.04663802029915587
2005-08-01,0.04743565124907079
2005-09-01,0.01700271745438897
2005-10-01,0.048726827181173604
2005-11-01,0.06099134210556301
2005-12-01,0.06581166308307473
2006-01-01,0.09378109668778478
2006-02-01,-0.0025475390270734977
2006-03-01,0.02757830655779614
2006-04-01,0.0026639261546250737
2006-05-01,0.02437409749074959
2006-06-01,-0.024977217562934584
2006-07-01,0.017762912170429246
2006-08-01,0.07148606245544897
2006-09-01,-0.03878992548234805
2006-10-01,-0.016972704307736564
2006-11-01,-0.05217510130138692
2006-12-01,-0.07404771727869885
2007-01-01,-0.13478703881805743
2007-02-01,-0.08447422491067869
2007-03-01,-0.10183140604041441
2007-04-01,-0.04333180494579025
2007-05-01,-0.01370090170002669
2007-06-01,0.0035870381482254743
2007-07-01,0.013382867650982178
2007-08-01,-0.028137949183271616
2007-09-01,0.12080030120403862
2007-10-01,0.09585860902588195
2007-11-01,0.0687142446029334
2007-12-01,0.06115688189246882
2008-01-01,0.04083951811553277
2008-02-01,0.04279683983321192
2008-03-01,0.04069026151298161
2008-04-01,0.07760372496508339
2008-05-01,-0.005031353418591067
2008-06-01,-0.018660295174662167
2008-07-01,-0.022052441867575823
2008-08-01,-0.003407059474856311
2008-09-01,0.014317203370243448
2008-10-01,-0.030621234664533148
2008-11-01,-0.05324582910369102
2008-12-01,-0.031351603837546094
2009-01-01,0.0006030000028935945
2009-02-01,-0.03799175299239366
2009-03-01,-0.06769939852092577
2009-04-01,-0.14614021317354187
2009-05-01,-0.059479410816933864
2009-06-01,-0.030310093539654304
2009-07-01,-0.0877910870766705
2009-08-01,-0.10822963914462846
2009-09-01,-0.14154661707290117
2009-10-01,-0.018741033815039998
2009-11-01,-0.07478175976914514
2009-12-01,-0.027951064875978204
2010-01-01,0.04228230604432781
2010-02-01,0.049498098721169725
2010-03-01,0.0743952902534808
2010-04-01,0.12543695930056842
2010-05-01,0.11987215161728315
2010-06-01,0.07822464979979316
2010-07-01,0.1175097770987108
2010-08-01,0.10055300551097801
2010-09-01,0.11466101986285793
2010-10-01,0.056743968677647416
2010-11-01,0.07481268129771834
2010-12-01,0.0952367174379134
2011-01-01,-0.015304089943100507
2011-02-01,-0.010544306926693281
2011-03-01,0.032029251169745976
2011-04-01,-0.005757184806228111
2011-05-01,0.014516919544053764
2011-06-01,-0.02074741089947807
2011-07-01,0.009800321160099656
2011-08-01,-0.036630357905760746
2011-09-01,-0.0939491060715909
2011-10-01,-0.057857636241347876
2011-11-01,0.016522267580690198
2011-12-01,-0.09744637723508376
2012-01-01,-0.05996948308493444
2012-02-01,0.07237802837624585
2012-03-01,-0.10689608512275939
2012-04-01,-0.01215340162370282
2012-05-01,-0.08172681131036086
2012-06-01,-0.036871361018850024
2012-07-01,-0.07913340564976323
2012-08-01,0.0056139994944395255
2012-09-01,0.02237835270286226
2012-10-01,-0.010652535962851317
2012-11-01,-0.0471848219167903
2012-12-01,0.06130518725015577
2013-01-01,0.059662852526393806
2013-02-01,-0.07635497421663118
2013-03-01,0.09925549917885945
2013-04-01,0.0129459135640424
2013-05-01,0.039922469895405044
2013-06-01,0.012702606825143903
2013-07-01,0.013056741419188
2013-08-01,0.006776397724348016
2013-09-01,0.02455769850620726
2013-10-01,-0.013342029311559145
2013-11-01,0.015380789173526921
2013-12-01,-0.07795374415237077
2014-01-01,-0.10469044443435038
2014-02-01,-0.08688413110926163
2014-03-01,-0.12950601968448794
2014-04-01,-0.046236003709434925
2014-05-01,0.0003041497854354702
2014-06-01,-0.003119765532172636
2014-07-01,-0.011414408969926626
2014-08-01,0.00819395556529301
