Series,$\hat{\Delta}_T$ (ATT),$\hat{\sigma}_{\Delta_T}$ (STD),P-value
12-m Log-Diff $CO_2$,0.014,0.079,0.053
12-m Log $CO_2$,-0.058,0.154,0.0
Absolute $CO_2$,-233504454.084,528262070.855,0.0
