date,co2
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,-0.10532698335729762
2001-02-01,-0.040235491845901805
2001-03-01,-0.07749601280490381
2001-04-01,0.07272505119034278
2001-05-01,0.025642178420348216
2001-06-01,0.01528517912984384
2001-07-01,0.04463321160730871
2001-08-01,-0.0017871964695999054
2001-09-01,0.065995794876752
2001-10-01,0.01879640520649062
2001-11-01,0.18482248141611635
2001-12-01,0.20125667624908772
2002-01-01,0.06664963139803959
2002-02-01,-0.018377092011135687
2002-03-01,0.03110616965367541
2002-04-01,-0.004397870741950527
2002-05-01,0.0021241375095577553
2002-06-01,0.0071860912400651955
2002-07-01,-0.036369931767303854
2002-08-01,-0.05851088384256897
2002-09-01,-0.04078042817051397
2002-10-01,0.060567982495669526
2002-11-01,-0.14316320653762205
2002-12-01,-0.09662410259650045
2003-01-01,0.006183344491830667
2003-02-01,0.20310705382878425
2003-03-01,0.027976174839700718
2003-04-01,-0.02271559596304229
2003-05-01,0.02530798705518933
2003-06-01,0.04158651006012093
2003-07-01,0.08758627759280557
2003-08-01,0.12504903760934383
2003-09-01,0.050020310282015146
2003-10-01,0.05905300823206616
2003-11-01,-0.03361610870573273
2003-12-01,-0.09825481813934545
2004-01-01,0.020608597311415622
2004-02-01,-0.09717677397633295
2004-03-01,0.03538224757214792
2004-04-01,0.0034752894046476968
2004-05-01,0.00873627632368823
2004-06-01,-0.01775130984225015
2004-07-01,-0.04797356897994476
2004-08-01,-0.06134231293690462
2004-09-01,-0.02158383738935754
2004-10-01,-0.08230729972413187
2004-11-01,0.09064734709329869
2004-12-01,0.047607249894305426
2005-01-01,-0.009375958760966085
2005-02-01,0.13291632920745755
2005-03-01,0.0802457220386259
2005-04-01,0.008047227598076745
2005-05-01,0.02066379077897551
2005-06-01,0.0370059856452265
2005-07-01,0.04895485160807311
2005-08-01,0.05008141743840966
2005-09-01,0.058498792156139956
2005-10-01,0.04915415541238488
2005-11-01,0.07137137783993808
2005-12-01,0.024282934972259085
2006-01-01,0.059348520868471866
2006-02-01,-0.05014882149354705
2006-03-01,0.014349614070997774
2006-04-01,0.004025033305357084
2006-05-01,0.011499786369629561
2006-06-01,0.011150228595266043
2006-07-01,-0.012052614793585548
2006-08-01,-0.04329003020503208
2006-09-01,-0.004195557257840932
2006-10-01,-0.014884533075566253
2006-11-01,-0.05564750869480761
2006-12-01,-0.021665491361158473
2007-01-01,-0.1802565258690514
2007-02-01,-0.13706781953110436
2007-03-01,-0.1484669581318272
2007-04-01,-0.01789650139329879
2007-05-01,-0.002205728506840643
2007-06-01,-0.005318895974504301
2007-07-01,0.016297889921283115
2007-08-01,0.0477357740506541
2007-09-01,-0.00995793888042229
2007-10-01,0.07393620932416312
2007-11-01,0.10077191238825733
2007-12-01,0.09554161006914441
2008-01-01,0.10307777446802646
2008-02-01,0.03549478790823102
2008-03-01,0.0511212425178833
2008-04-01,0.06810501692480031
2008-05-01,0.005194735587533472
2008-06-01,0.011467870343377484
2008-07-01,0.004528804273036258
2008-08-01,0.002201424755696735
2008-09-01,0.03911492116457538
2008-10-01,-0.02698974036383106
2008-11-01,-0.0766872027167338
2008-12-01,-0.1131067528405687
2009-01-01,0.021416684715202194
2009-02-01,0.007838983914727038
2009-03-01,-0.04955339345685417
2009-04-01,-0.152460695556222
2009-05-01,-0.08487746098003157
2009-06-01,-0.12286992864857282
2009-07-01,-0.10568963626401029
2009-08-01,-0.11173666548985395
2009-09-01,-0.12581301545587564
2009-10-01,-0.05581483283144095
2009-11-01,-0.0876571036973246
2009-12-01,-0.011713680576558971
2010-01-01,0.009796805963848243
2010-02-01,0.013842909428195327
2010-03-01,0.006797923606725931
2010-04-01,0.03347557226750908
2010-05-01,0.011982749554629635
2010-06-01,0.034317629421202867
2010-07-01,0.0155535086771188
2010-08-01,0.0065511774969557734
2010-09-01,0.018445750059179034
2010-10-01,0.06591224246319527
2010-11-01,-0.03289460101726149
2010-12-01,0.0744028083843098
2011-01-01,-0.036429935256236945
2011-02-01,0.043871766031401194
2011-03-01,0.018409466076157344
2011-04-01,-0.015316893806303966
2011-05-01,-0.009465463562875698
2011-06-01,-0.006366392209535832
2011-07-01,0.010831802413768798
2011-08-01,0.022080753855973967
2011-09-01,-0.008120260752079389
2011-10-01,-0.10257620958715918
2011-11-01,0.15622090756758666
2011-12-01,-0.12480673250248486
2012-01-01,-0.07248293300517972
2012-02-01,0.08653856037471996
2012-03-01,-0.13419515052397202
2012-04-01,-0.07477182905804369
2012-05-01,-0.06715566812905394
2012-06-01,-0.05128195896775978
2012-07-01,-0.053351285613288724
2012-08-01,-0.04324335554582959
2012-09-01,-0.05880034413107538
2012-10-01,-0.0669048413807154
2012-11-01,-0.2130070779667932
2012-12-01,0.05454820383154413
2013-01-01,0.015114070855258177
2013-02-01,-0.21520711820519267
2013-03-01,0.13011546108148409
2013-04-01,-0.0066134730701215005
2013-05-01,-0.026120838779480238
2013-06-01,-0.044340339830700515
2013-07-01,-0.028920250551557558
2013-08-01,-0.030020423953160957
2013-09-01,-0.009034615581121841
2013-10-01,-0.04849581650877255
2013-11-01,-0.006645094917043792
2013-12-01,-0.04589273360311452
2014-01-01,-0.04416349384550955
2014-02-01,-0.044387915351656204
2014-03-01,-0.16654965030587832
2014-04-01,0.005440242451584254
2014-05-01,0.018375447452495308
2014-06-01,0.029749913698495334
2014-07-01,0.015499409934147224
