date,unempl
2000-01-01,-2.7231638389122583
2000-04-01,-2.7488721956224653
2000-07-01,-2.796881414808826
2000-10-01,-2.8302178350764176
2001-01-01,-2.870569130599985
2001-04-01,-2.882403588246988
2001-07-01,-2.8943797792937036
2001-10-01,-2.900422093749666
2002-01-01,-2.900422093749666
2002-04-01,-2.8943797792937036
2002-07-01,-2.8764688527271733
2002-10-01,-2.864704011147587
2003-01-01,-2.864704011147587
2003-04-01,-2.8473122684357177
2003-07-01,-2.864704011147587
2003-10-01,-2.864704011147587
2004-01-01,-2.853075973152468
2004-04-01,-2.8302178350764176
2004-07-01,-2.786011742571922
2004-10-01,-2.743677378745361
2005-01-01,-2.6931615886084592
2005-04-01,-2.635729539522584
2005-07-01,-2.608204866132494
2005-10-01,-2.603690185777967
2006-01-01,-2.608204866132494
2006-04-01,-2.6127400212978853
2006-07-01,-2.5814175501688443
2006-10-01,-2.581417550168844
2007-01-01,-2.640391552628395
2007-04-01,-2.640391552628395
2007-07-01,-2.608204866132494
2007-10-01,-2.546782053506088
2008-01-01,-2.5726455640960073
2008-04-01,-2.5726455640960073
2008-07-01,-2.555329114084546
2008-10-01,-2.501036031717884
2009-01-01,-2.404248746770546
2009-04-01,-2.360920670007009
2009-07-01,-2.3025850929940455
2009-10-01,-2.2697952701710546
2010-01-01,-2.22871524442759
2010-04-01,-2.2164073967529934
2010-07-01,-2.22871524442759
2010-10-01,-2.22871524442759
2011-01-01,-2.222542385320509
2011-04-01,-2.24431618487007
2011-07-01,-2.241176464865402
2011-10-01,-2.24431618487007
2012-01-01,-2.225624051857917
2012-04-01,-2.241176464865402
2012-07-01,-2.2569745817419933
2012-10-01,-2.2569745817419933
2013-01-01,-2.2537949288246137
2013-04-01,-2.336486644669727
2013-07-01,-2.371577964480997
2013-10-01,-2.449539505950709
2014-01-01,-2.546782053506088
2014-04-01,-2.563949857128453
2014-07-01,-2.626470214109787
2014-10-01,-2.6450754019408214
2015-01-01,-2.649781292978234
2015-04-01,-2.703062659591171
2015-07-01,-2.7646205525906042
2015-10-01,-2.8302178350764176
2016-01-01,-2.8943797792937036
2016-04-01,-2.995732273553991
2016-07-01,-3.0576076772720784
2016-10-01,-3.131170244449095
2017-01-01,-3.170085660698769
2017-04-01,-3.1780538303479458
2017-07-01,-3.235682943184582
2017-10-01,-3.278979748937906
2018-01-01,-3.3058872018578302
2018-04-01,-3.361976668508874
2018-07-01,-3.3429284735381795
2018-10-01,-3.3813947543659757
2019-01-01,-3.391247050808987
2019-04-01,-3.431656589146864
2019-07-01,-3.431656589146864
2019-10-01,-3.4214000889796745
