date,gdp_cap
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,-0.012447494043283935
2002-02-01,-0.01310649248970952
2002-03-01,-0.013762926824980148
2002-04-01,-0.014416820804501906
2002-05-01,-0.011810843476515398
2002-06-01,-0.009222219331795234
2002-07-01,-0.0066507579161156904
2002-08-01,-0.004380624954000378
2002-09-01,-0.0021369977137757346
2002-10-01,8.045900491815416e-05
2002-11-01,-0.008090435460615275
2002-12-01,-0.016237941348685947
2003-01-01,-0.024362271922597323
2003-02-01,-0.02855691311641806
2003-03-01,-0.0327416276122805
2003-04-01,-0.03691649265922248
2003-05-01,-0.03390314200608824
2003-06-01,-0.030907689321627796
2003-07-01,-0.027929962300813127
2003-08-01,-0.020072767175551398
2003-09-01,-0.012248648045003918
2003-10-01,-0.004457262114147209
2003-11-01,0.007197832084498312
2003-12-01,0.018827197422218944
2004-01-01,0.030431115409174758
2004-02-01,0.04058282459581708
2004-03-01,0.0507045593088562
2004-04-01,0.06079658710522651
2004-05-01,0.05386751110356425
2004-06-01,0.04697500579711411
2004-07-01,0.040118728664196635
2004-08-01,0.029578448106831967
2004-09-01,0.019098332611927393
2004-10-01,0.008677716048814954
2004-11-01,0.00024090212528982136
2004-12-01,-0.008166101769644385
2005-01-01,-0.016543606292307445
2005-02-01,-0.021883749319185686
2005-03-01,-0.027206674707007217
2005-04-01,-0.03251254018240335
2005-05-01,-0.020941458307734084
2005-06-01,-0.009446214967655298
2005-07-01,0.0019741957720174064
2005-08-01,0.015304079842121787
2005-09-01,0.028515977369314882
2005-10-01,0.041611872546400086
2005-11-01,0.05398828895786201
2005-12-01,0.06621196976987331
2006-01-01,0.07828636072601469
2006-02-01,0.0839736991045239
2006-03-01,0.08957277419415544
2006-04-01,0.09508569409231749
2006-05-01,0.088976942682232
2006-06-01,0.0829005585252589
2006-07-01,0.0768562925428311
2006-08-01,0.06779794942577988
2006-09-01,0.05883094450085302
2006-10-01,0.04995354788448081
2006-11-01,0.03599960624571619
2006-12-01,0.02225699521712121
2007-01-01,0.008720221997880806
2007-02-01,0.002110686812664575
2007-03-01,-0.004399721026470349
2007-04-01,-0.010813400605043544
2007-05-01,-0.01434044374541088
2007-06-01,-0.017811958062508015
2007-07-01,-0.021229265595409608
2007-08-01,-0.024131644998509838
2007-09-01,-0.026990458876761103
2007-10-01,-0.029806705690462287
2007-11-01,-0.029167099064669966
2007-12-01,-0.028560235087471852
2008-01-01,-0.027984746234054114
2008-02-01,-0.030596414891564727
2008-03-01,-0.03316542092075814
2008-04-01,-0.035692823382066585
2008-05-01,-0.03447862898463505
2008-06-01,-0.03328285173440548
2008-07-01,-0.032105006554336235
2008-08-01,-0.04327177382775149
2008-09-01,-0.05451120375724594
2008-10-01,-0.0658238051443889
2008-11-01,-0.07240506595326446
2008-12-01,-0.07901736679584515
2009-01-01,-0.08566036741300431
2009-02-01,-0.0874313131629858
2009-03-01,-0.08920658038478502
2009-04-01,-0.09098556996999196
2009-05-01,-0.09048859835467882
2009-06-01,-0.08999506030951121
2009-07-01,-0.08950487026734599
2009-08-01,-0.06457439751149918
2009-09-01,-0.0395564971356257
2009-10-01,-0.014448481563257953
2009-11-01,0.0024314259956348394
2009-12-01,0.01931575381654138
2010-01-01,0.0362051808095436
2010-02-01,0.042493361598145096
2010-03-01,0.048729084292059355
2010-04-01,0.054913112470272196
2010-05-01,0.05411295692776097
2010-06-01,0.053314392975277514
2010-07-01,0.0525174440178775
2010-08-01,0.04696945712310452
2010-09-01,0.041316639409365585
2010-10-01,0.035558517288043046
2010-11-01,0.03344519176203464
2010-12-01,0.03127177458831332
2011-01-01,0.029038771867496482
2011-02-01,0.03169676466780791
2011-03-01,0.034317874323134934
2011-04-01,0.03690274313120945
2011-05-01,0.03737007589074848
2011-06-01,0.03782951688001823
2011-07-01,0.03828118259985702
2011-08-01,0.027740485432634632
2011-09-01,0.017288277777509187
2011-10-01,0.00692329513222445
2011-11-01,-0.001129339977948618
2011-12-01,-0.009102878903969103
2012-01-01,-0.016998589981916723
2012-02-01,-0.025292340576540173
2012-03-01,-0.033500255696016445
2012-04-01,-0.04162370865833953
2012-05-01,-0.03770582957486557
2012-06-01,-0.03381744325350988
2012-07-01,-0.02995816596555212
2012-08-01,-0.023091044929021365
2012-09-01,-0.016274624184187125
2012-10-01,-0.009508228909195893
2012-11-01,-0.006581475139613602
2012-12-01,-0.0036865549434192957
2013-01-01,-0.0008229149947762693
2013-02-01,0.0047912582418288
2013-03-01,0.010351849695389603
2013-04-01,0.015859660465242342
2013-05-01,0.01124476252467943
2013-06-01,0.006670320793277895
2013-07-01,0.0021357592111428403
2013-08-01,0.0003282218222135924
2013-09-01,-0.0014711470498411927
2013-10-01,-0.003262405599780749
2013-11-01,-0.005232926627409817
2013-12-01,-0.007191054302264632
2014-01-01,-0.00913690810183887
2014-02-01,-0.010110540095426224
2014-03-01,-0.011076310604504869
2014-04-01,-0.012034303433282822
2014-05-01,-0.01118629930873638
2014-06-01,-0.010346314994684747
2014-07-01,-0.009514210679751223
2014-08-01,-0.007707497621805892
2014-09-01,-0.005911236813222587
2014-10-01,-0.004125334439168071
2014-11-01,-0.00352972064758994
2014-12-01,-0.002943350960976865
