date,infl
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,0.008333333333333335
2001-04-01,0.004666666666666666
2001-07-01,-0.006999999999999996
2001-10-01,-0.015666666666666672
2002-01-01,0.0006666666666666661
2002-04-01,-0.017666666666666664
2002-07-01,-0.011666666666666667
2002-10-01,-0.0069999999999999975
2003-01-01,-0.010000000000000004
2003-04-01,0.0003333333333333313
2003-07-01,0.003999999999999998
2003-10-01,0.004333333333333333
2004-01-01,-0.003999999999999998
2004-04-01,0.007333333333333332
2004-07-01,0.003333333333333334
2004-10-01,0.006666666666666668
2005-01-01,0.012333333333333332
2005-04-01,0.004666666666666673
2005-07-01,0.008999999999999998
2005-10-01,0.001999999999999995
2006-01-01,0.0020000000000000018
2006-04-01,0.000999999999999994
2006-07-01,-0.00633333333333333
2006-10-01,-0.005666666666666664
2007-01-01,-0.008
2007-04-01,-0.01133333333333333
2007-07-01,-0.009333333333333336
2007-10-01,0.008
2008-01-01,0.02066666666666667
2008-04-01,0.03533333333333333
2008-07-01,0.043333333333333335
2008-10-01,0.008333333333333338
2009-01-01,-0.023000000000000007
2009-04-01,-0.052
2009-07-01,-0.06733333333333333
2009-10-01,-0.037666666666666675
2010-01-01,-0.0036666666666666653
2010-04-01,0.026000000000000006
2010-07-01,0.037000000000000005
2010-10-01,0.03366666666666667
2011-01-01,0.02266666666666667
2011-04-01,0.006999999999999996
2011-07-01,0.009666666666666667
2011-10-01,0.0013333333333333322
2012-01-01,-0.0016666666666666635
2012-04-01,-0.005333333333333332
2012-07-01,-0.01133333333333333
2012-10-01,-0.009666666666666667
2013-01-01,-0.018000000000000002
2013-04-01,-0.012333333333333333
2013-07-01,-0.011666666666666669
2013-10-01,-0.014
2014-01-01,-0.005666666666666665
2014-04-01,-0.006333333333333335
2014-07-01,-0.008666666666666668
2014-10-01,-0.009333333333333334
2015-01-01,-0.012666666666666668
2015-04-01,8.673617379884035e-19
2015-07-01,0.005000000000000001
2015-10-01,0.013666666666666666
2016-01-01,0.018666666666666668
2016-04-01,0.009333333333333336
2016-07-01,0.010666666666666666
2016-10-01,0.005666666666666669
2017-01-01,0.014666666666666663
2017-04-01,0.003999999999999997
2017-07-01,0.0
2017-10-01,0.0006666666666666661
2018-01-01,-0.013666666666666664
2018-04-01,0.0013333333333333357
2018-07-01,0.007666666666666665
2018-10-01,0.007666666666666669
2019-01-01,0.004
2019-04-01,-0.005000000000000001
2019-07-01,-0.018
2019-10-01,-0.02266666666666667
