Series,$\hat{\Delta}_T$ (ATE),$\hat{\sigma}_{\Delta_T}$ (STD),p-value
12-m log-diff $CO_2$,-0.001,0.049,0.927
Log $CO_2$,-0.09,0.089,0.0
Absolute $CO_2$,-3515422531.437,3753341251.988,0.0
