Series,$\hat{\Delta}_T$ (ATT),$\hat{\sigma}_{\Delta_T}$ (STD),P-value
12-m Log-Diff $CO_2$,-0.011,0.042,0.039
12-m Log $CO_2$,-0.055,0.041,0.0
Absolute $CO_2$,-1963808620.902,1690453199.925,0.0
