date,brent
2000-01-01,26.926666666666666
2000-04-01,26.766666666666666
2000-07-01,30.673333333333332
2000-10-01,29.723333333333333
2001-01-01,25.873333333333335
2001-04-01,27.27333333333333
2001-07-01,25.30333333333333
2001-10-01,19.349999999999998
2002-01-01,21.133333333333336
2002-04-01,25.05333333333333
2002-07-01,26.929999999999996
2002-10-01,26.736666666666665
2003-01-01,31.52
2003-04-01,26.169999999999998
2003-07-01,28.45
2003-10-01,29.39
2004-01-01,31.923333333333336
2004-04-01,35.446666666666665
2004-07-01,41.38666666666666
2004-10-01,44.163333333333334
2005-01-01,47.696666666666665
2005-04-01,51.626666666666665
2005-07-01,61.47
2005-10-01,56.879999999999995
2006-01-01,61.75333333333333
2006-04-01,69.53333333333335
2006-07-01,69.62
2006-10-01,59.68
2007-01-01,57.76333333333333
2007-04-01,68.58333333333333
2007-07-01,74.95333333333333
2007-10-01,88.56
2008-01-01,96.93666666666667
2008-04-01,121.39666666666666
2008-07-01,114.39666666666666
2008-10-01,54.660000000000004
2009-01-01,44.43333333333334
2009-04-01,58.696666666666665
2009-07-01,68.2
2009-10-01,74.63
2010-01-01,76.25
2010-04-01,78.51
2010-07-01,76.82000000000001
2010-10-01,86.46666666666665
2011-01-01,104.96
2011-04-01,117.36
2011-07-01,113.33999999999999
2011-10-01,109.39666666666666
2012-01-01,118.49000000000001
2012-04-01,108.41666666666667
2012-07-01,109.61333333333334
2012-10-01,110.08666666666666
2013-01-01,112.49333333333334
2013-04-01,102.57666666666667
2013-07-01,110.27
2013-10-01,109.21
2014-01-01,108.16666666666667
2014-04-01,109.7
2014-07-01,101.82333333333334
2014-10-01,76.40333333333334
2015-01-01,53.916666666666664
2015-04-01,61.693333333333335
2015-07-01,50.23333333333333
2015-10-01,43.57
2016-01-01,33.696666666666665
2016-04-01,45.52333333333333
2016-07-01,45.78666666666667
2016-10-01,49.18666666666667
2017-01-01,53.68
2017-04-01,49.669999999999995
2017-07-01,52.10999999999999
2017-10-01,61.53
2018-01-01,66.80666666666666
2018-04-01,74.5
2018-07-01,75.22333333333334
2018-10-01,67.71333333333332
2019-01-01,63.169999999999995
2019-04-01,68.92333333333333
2019-07-01,61.93
2019-10-01,63.410000000000004
