date,co2_cap
2000-01-01,2690.862930271809
2000-04-01,2161.177324899751
2000-07-01,2198.5553002321217
2000-10-01,2382.3300162535556
2001-01-01,2476.78678029255
2001-04-01,2239.515698862328
2001-07-01,2289.084255338725
2001-10-01,2569.446601266346
2002-01-01,2635.0132863254926
2002-04-01,2221.555892003487
2002-07-01,2196.6377566159886
2002-10-01,2494.480491097202
2003-01-01,2735.7443914680052
2003-04-01,2299.9165036155605
2003-07-01,2325.147586175351
2003-10-01,2484.73244649045
2004-01-01,2771.5119667217955
2004-04-01,2255.545898058696
2004-07-01,2239.4964617476367
2004-10-01,2538.834305958308
2005-01-01,2789.6204649043675
2005-04-01,2292.8431699277967
2005-07-01,2333.636619995087
2005-10-01,2577.6615917602994
2006-01-01,2737.5547920281233
2006-04-01,2253.5853892378636
2006-07-01,2323.03468954945
2006-10-01,2536.175967857434
2007-01-01,2723.6811907565766
2007-04-01,2353.9626727205236
2007-07-01,2383.947042690651
2007-10-01,2758.6482820271663
2008-01-01,2679.5058480642015
2008-04-01,2268.510652723595
2008-07-01,2310.226427301685
2008-10-01,2526.8177441954826
2009-01-01,2553.3209279233006
2009-04-01,2144.4117204765894
2009-07-01,2215.611510427449
2009-10-01,2289.679338802828
2010-01-01,2308.5507535207466
2010-04-01,2011.4369128397882
2010-07-01,2135.497064800079
2010-10-01,2110.547790234561
2011-01-01,2383.6197898135574
2011-04-01,1917.060370757086
2011-07-01,1926.746967919786
2011-10-01,2163.247910467947
2012-01-01,2366.9627298007385
2012-04-01,1787.9073463886753
2012-07-01,1857.1542581130434
2012-10-01,2058.058900762666
2013-01-01,2033.8474979761504
2013-04-01,1655.4967200911162
2013-07-01,1748.6619464018402
2013-10-01,1936.2223974982626
2014-01-01,1947.3629331379373
2014-04-01,1671.9491516452467
2014-07-01,1738.7054572851393
2014-10-01,1809.0147021147368
2015-01-01,1901.1777396161717
2015-04-01,1556.611701968533
2015-07-01,1770.2972998446114
2015-10-01,1864.0811765032893
2016-01-01,1832.7835159249846
2016-04-01,1493.7272823343849
2016-07-01,1664.265420642287
2016-10-01,1966.916886379885
2017-01-01,1988.4309322978597
2017-04-01,1549.5966049767153
2017-07-01,1631.2177745016882
2017-10-01,1821.6834391549164
2018-01-01,1900.335906453986
2018-04-01,1543.60090013973
2018-07-01,1621.8265326909457
2018-10-01,1765.015256602683
2019-01-01,1814.7851728864769
2019-04-01,1425.7272772632737
2019-07-01,1465.7941791657338
2019-10-01,1661.7133480731018
