Index,Regressor,Coefficient
1,belgium co2,0.37398873211999506
2,netherlands co2,0.25409037165595577
3,spain co2,0.15768261888356264
4,croatia co2,0.10446950668962902
5,czech_republic gdp,-0.008830380748113731
6,lithuania gdp,-0.042547082354606185
