Series,$\hat{\Delta}_T$ (ATE),$\hat{\sigma}_{\Delta_T}$ (STD),p-value
12-m log-diff $CO_2$,-0.011,0.042,0.037
Log $CO_2$,-0.065,0.037,0.0
Absolute $CO_2$,-2320088728.11,1536431757.99,0.0
