Series,$\hat{\Delta}_T$ (ATT),$\hat{\sigma}_{\Delta_T}$ (STD),P-value
12-m Log-Diff $CO_2$,0.0,0.023,0.967
12-m Log $CO_2$,0.015,0.049,0.02
Absolute $CO_2$,17557524.88,104777016.287,0.207
