Series,$\hat{\Delta}_T$ (ATT),$\hat{\sigma}_{\Delta_T}$ (STD),P-value
12-m Log-Diff $CO_2$,0.01,0.042,0.006
Absolute $CO_2$,495691159.005,251923764.123,0.0
