date,co2,target_dummy,post_dummy,target_post_dummy
2011-05-01,4575691710.0,0,0,0
2011-06-01,4542370044.0,0,0,0
2011-07-01,4774619376.0,0,0,0
2011-08-01,4632901289.0,0,0,0
2011-09-01,4627953268.0,0,0,0
2011-10-01,4727124654.0,0,0,0
2011-11-01,5223234203.0,0,0,0
2011-12-01,5217855490.0,0,0,0
2017-01-01,5842668772.0,0,1,0
2017-02-01,4960176350.0,0,1,0
2017-03-01,4779255731.0,0,1,0
2017-04-01,4174797170.0,0,1,0
2017-05-01,4115723400.0,0,1,0
2017-06-01,3971081710.0,0,1,0
2017-07-01,4254419555.000001,0,1,0
2017-08-01,4242790082.000001,0,1,0
2017-09-01,4376858682.0,0,1,0
2017-10-01,4725694140.0,0,1,0
2017-11-01,5083356884.0,0,1,0
2017-12-01,4904740666.0,0,1,0
2011-01-01,2945915831.0,0,0,0
2011-02-01,2798467415.0,0,0,0
2011-03-01,2607462696.0,0,0,0
2011-04-01,1951771989.0,0,0,0
2011-05-01,1764635981.0,0,0,0
2011-06-01,1715572656.0,0,0,0
2011-07-01,1700417936.0,0,0,0
2011-08-01,1664317184.0,0,0,0
2011-09-01,1752471074.0,0,0,0
2011-10-01,2184311572.0,0,0,0
2011-11-01,2723472944.0,0,0,0
2011-12-01,2732691518.0,0,0,0
2017-01-01,3225539221.0,0,1,0
2017-02-01,2412119627.0,0,1,0
2017-03-01,2181099697.0,0,1,0
2017-04-01,1993371423.0,0,1,0
2017-05-01,1659450136.0,0,1,0
2017-06-01,1635736154.0,0,1,0
2017-07-01,1633044237.0,0,1,0
2017-08-01,1573224309.0,0,1,0
2017-09-01,1645336473.0,0,1,0
2017-10-01,1999237659.0,0,1,0
2017-11-01,2411980401.0,0,1,0
2017-12-01,2657776737.0,0,1,0
2011-01-01,14464266690.0,0,0,0
2011-02-01,13450413130.0,0,0,0
2011-03-01,13565903050.0,0,0,0
2011-04-01,10572506120.0,0,0,0
2011-05-01,9707895844.0,0,0,0
2011-06-01,8388109033.000001,0,0,0
2011-07-01,8478986585.000001,0,0,0
2011-08-01,7938834859.0,0,0,0
2011-09-01,8234273880.000001,0,0,0
2011-10-01,10858469510.0,0,0,0
2011-11-01,12746765750.0,0,0,0
2011-12-01,12753846390.0,0,0,0
2017-01-01,14405717960.0,0,1,0
2017-02-01,12775292290.0,0,1,0
2017-03-01,11797586780.0,0,1,0
2017-04-01,10944418580.0,0,1,0
2017-05-01,9135594467.0,0,1,0
2017-06-01,7964715260.0,0,1,0
2017-07-01,7851774635.0,0,1,0
2017-08-01,7942239940.0,0,1,0
2017-09-01,8889130151.0,0,1,0
2017-10-01,10586729110.0,0,1,0
2017-11-01,12066498280.0,0,1,0
2017-12-01,12596413580.0,0,1,0
2011-01-01,47458290570.0,1,0,0
2011-02-01,43249158790.0,1,0,0
2011-03-01,42283142790.0,1,0,0
2011-04-01,32935127360.0,1,0,0
2011-05-01,29841636290.0,1,0,0
2011-06-01,28991324310.0,1,0,0
2011-07-01,28495368260.0,1,0,0
2011-08-01,27854902320.0,1,0,0
2011-09-01,29155458590.0,1,0,0
2011-10-01,35150567210.0,1,0,0
2011-11-01,39901071800.0,1,0,0
2011-12-01,43425170330.0,1,0,0
2017-01-01,47893787250.0,1,1,1
2017-02-01,38835037610.0,1,1,1
2017-03-01,36813315410.0,1,1,1
2017-04-01,34960132790.0,1,1,1
2017-05-01,28736141620.0,1,1,1
2017-06-01,27797090480.0,1,1,1
2017-07-01,28173313570.0,1,1,1
2017-08-01,26528753080.0,1,1,1
2017-09-01,28427330180.0,1,1,1
2017-10-01,32868255670.0,1,1,1
2017-11-01,42341470710.0,1,1,1
2017-12-01,43754703770.0,1,1,1
2011-01-01,98935192840.0,0,0,0
2011-02-01,92000429640.0,0,0,0
2011-03-01,93105449860.0,0,0,0
2011-04-01,71003689480.0,0,0,0
2011-05-01,65205173540.0,0,0,0
2011-06-01,57079898840.0,0,0,0
2011-07-01,57675455690.0,0,0,0
2011-08-01,53879208240.0,0,0,0
2011-09-01,56015468060.0,0,0,0
2011-10-01,73440409150.0,0,0,0
2011-11-01,86346071350.0,0,0,0
2011-12-01,87134453590.0,0,0,0
2017-01-01,100114704700.0,0,1,0
2017-02-01,86418840320.0,0,1,0
2017-03-01,81234078150.0,0,1,0
2017-04-01,76163448120.0,0,1,0
2017-05-01,65652901470.0,0,1,0
2017-06-01,57478305120.0,0,1,0
2017-07-01,57557483270.0,0,1,0
2017-08-01,56991524950.0,0,1,0
2017-09-01,65034431050.0,0,1,0
2017-10-01,70134832150.0,0,1,0
2017-11-01,83285144880.0,0,1,0
2017-12-01,85062731380.0,0,1,0
2011-01-01,9304088975.0,0,0,0
2011-02-01,8527909680.000001,0,0,0
2011-03-01,8670754702.0,0,0,0
2011-04-01,7324051077.0,0,0,0
2011-05-01,7002730171.0,0,0,0
2011-06-01,6971184353.0,0,0,0
2011-07-01,7263382103.0,0,0,0
2011-08-01,7084296699.0,0,0,0
2011-09-01,7039790566.0,0,0,0
2011-10-01,7071543390.0,0,0,0
2011-11-01,8357407477.999999,0,0,0
