Series,$\hat{\Delta}_T$ (ATE),$\hat{\sigma}_{\Delta_T}$ (STD),p-value
12-m log-diff $CO_2$,-0.005,0.073,0.511
Log $CO_2$,-0.123,0.076,0.0
Absolute $CO_2$,-441651799.124,293268283.026,0.0
