date,austria,belgium,bulgaria,croatia,czech_republic,germany,greece,hungary,ireland,italy,lithuania,netherlands,romania,slovakia,spain
2010-05-01,7303756335.0,9883366101.0,4095232258.0,1791744777.0,9404137850.0,69118363880.0,7422877418.0,4618948851.0,3351738511.0,32735968220.0,1358044913.0,15352250230.0,6569283744.0,3241789987.0,24637214620.0
2010-06-01,6629090453.0,8606581759.0,4084520530.0,1753555995.0,8504674402.000001,59011686570.0,7457663815.0,4498732381.0,2924201226.0,32297427850.0,1232796160.0,13576459020.0,6193211735.0,2971875124.0,24954588060.0
2010-07-01,6386995375.0,8646206429.0,4332961169.0,1753755182.0,8558946737.0,58488971390.0,8052079455.0,4482041296.0,2824248905.0,34252329070.0,1188463131.0,13983820600.0,6088090109.0,2891713458.0,25999815830.0
2010-08-01,6111034447.0,8234311126.000001,4246799587.000001,1698480748.0,8250426984.0,55629972800.0,8069636991.0,4370469322.0,2878007587.0,31850465100.0,1165833631.0,13648052950.0,5939809667.0,2760895972.0,25291664130.0
2010-09-01,7173825940.0,8700840542.0,4328662648.0,1785411365.0,9520195284.0,63707365460.0,7629068359.0,4637634773.0,3009473547.0,33453390870.000004,1351357308.0,13708260730.0,6604756788.0,3174701162.0,26383672950.0
2010-10-01,8896324570.0,10375927120.0,4578001326.0,2306968027.0,11752079520.0,78909633830.0,7690823472.0,5588795228.0,3505654632.0,38318927200.0,1689651239.0,15722663520.0,9417635914.0,4008171399.0,26070100730.0
2010-11-01,9266729148.0,11388204960.0,4396559647.0,2353729124.0,11979630800.0,84032998070.0,7263851321.0,5505537654.0,3971537579.0,42134280740.0,1718433671.0,17510969210.0,8995882252.0,4034008733.0,28491558050.0
2010-12-01,10739440600.0,13527779990.0,5005573784.0,3040034769.0,14330350630.0,100916860100.0,8520737223.0,7132945247.0,4583648294.0,50626210200.0,1995562976.0,20195971030.0,11656001090.0,4784691103.0,29741512700.0
2011-01-01,10599590150.0,12292478120.0,5760347779.0,2945915831.0,14464266690.0,98935192840.0,9304088975.0,6943075491.0,4063768672.0,48906841960.0,1989439751.0,19444529840.0,12267399770.0,4532231299.0,32284953200.0
2011-02-01,9928574655.0,11466378620.0,5282289793.0,2798467415.0,13450413130.0,92000429640.0,8527909680.000001,6536467140.0,3428172501.0,45260781480.0,2056073697.0,18105448450.0,11378802880.0,4358118240.0,29763055290.0
2011-03-01,9856865817.0,11157118930.0,5402986595.0,2607462696.0,13565903050.0,93105449860.0,8670754702.0,5915406081.0,3837150251.0,45166256780.0,1978724793.0,18328922610.0,11285125760.0,4262014199.0,30072427810.0
2011-04-01,8082753981.0,8917941224.0,4683475067.0,1951771989.0,10572506120.0,71003689480.0,7324051077.0,4666481741.0,3196985729.0,35810146190.0,1616059851.0,14874255630.0,8907308374.0,3611496808.0,25669685660.0
2011-05-01,7410557716.0,8811074501.0,4575691710.0,1764635981.0,9707895844.0,65205173540.0,7002730171.0,4575434625.0,3035820061.0,33038554920.000004,1373292532.0,13907436540.0,7474108358.0,3283259426.0,25637994450.0
2011-06-01,6492970936.0,8202192577.0,4542370044.0,1715572656.0,8388109033.000001,57079898840.0,6971184353.0,4470182662.0,3002303019.0,31930070040.0,1161722165.0,13101713430.0,6595026918.0,2943339328.0,25450728930.0
2011-07-01,6449897709.0,8078715808.0,4774619376.0,1700417936.0,8478986585.000001,57675455690.0,7263382103.0,4530853768.0,2830952729.0,33251574900.0,1185939733.0,13419861290.0,6560966231.0,2867712239.0,25819478940.0
2011-08-01,5891235305.0,7723414195.0,4632901289.0,1664317184.0,7938834859.0,53879208240.0,7084296699.0,4468045897.0,2900398688.0,31578273300.0,1179060587.0,13140368940.0,6229427536.0,2727838029.0,25359116370.0
2011-09-01,6530542449.0,8065359245.0,4627953268.0,1752471074.0,8234273880.000001,56015468060.0,7039790566.0,4600128456.0,2772708894.0,33878772110.0,1308151418.0,13105820400.0,6491477537.0,2841480424.0,25484197480.0
2011-10-01,8396211444.000001,9742666252.0,4727124654.0,2184311572.0,10858469510.0,73440409150.0,7071543390.0,5043940045.0,3217873011.0,36432226490.0,1651897061.0,15253614140.0,9165581435.0,3681536070.0,25822116220.0
2011-11-01,9421108362.0,10792904630.0,5223234203.0,2723472944.0,12746765750.0,86346071350.0,8357407477.999999,6436438373.0,3285747234.0,41520710080.0,1746222134.0,16987098139.999998,10966774510.0,4189224914.000001,28535348330.0
2011-12-01,9742294110.0,11365300650.0,5217855490.0,2732691518.0,12753846390.0,87134453590.0,8563631707.0,6296018785.0,3617816220.0,45178199280.0,1761913962.0,17232425090.0,10720939370.0,4213987404.000001,30813232140.0
2012-01-01,9982622708.0,11280642510.0,5388905855.0,2748747763.0,13227404770.0,93428488270.0,9387814404.0,6457626902.0,3562636989.0,48161694220.0,1881144536.0,18373333190.0,11741153690.0,4181791627.0,30849856330.0
2012-02-01,10673830060.0,12932200180.0,5406125218.0,3118758084.0,14218177830.0,101422275200.0,9039873955.0,7127320713.0,3467002837.0,51179483420.0,1992048399.0,19362572850.0,12679860580.0,4407974186.0,31006342870.0
2012-03-01,8857567377.0,10337617470.0,4656294071.0,2252083056.0,11808618490.0,83216235140.0,7788554140.0,5172545863.0,3493692710.0,40274049000.0,1912880100.0,17055786740.0,10244196580.0,3854470844.0,27850185560.0
2012-04-01,7985115547.0,10111142540.0,4083167863.0,1998031647.0,10390027400.0,75366896440.0,6554934006.0,4330285972.0,3538954320.0,36403066960.0,1674864739.0,16349865270.0,8078610024.0,3423096314.0,25973208070.0
2012-05-01,6829004374.0,8314910754.0,4102384457.0,1647993661.0,8747482897.0,62556512620.0,6541801678.0,4278258465.0,3262612824.0,30600572740.0,1495285261.0,13601833360.0,6750660476.0,2993561195.0,24874249620.0
2012-06-01,6257926100.0,7997888484.0,4161806138.0,1625279809.0,8139733700.0,59082450980.0,6669473984.0,4246721667.0,2942977977.0,31103839320.0,1382733057.0,12978430580.0,6395105468.0,2816850412.0,25692355390.0
2012-07-01,5959167952.0,7847591356.0,4327781266.0,1615206330.0,7928519960.0,56444793080.0,6941593099.0,4295461954.0,2831918292.0,32657253210.0,1314023339.0,13288779240.0,6225106633.0,2704210329.0,25648886070.0
