date,gdp
2000-01-01,25.57875962717802
2000-04-01,25.58971662352726
2000-07-01,25.587219267813538
2000-10-01,25.608269122632873
2001-01-01,25.648683780189
2001-04-01,25.672867925767378
2001-07-01,25.694537794385806
2001-10-01,25.71537660662492
2002-01-01,25.7351889680911
2002-04-01,25.76101941719293
2002-07-01,25.761570771300118
2002-10-01,25.781096373206264
2003-01-01,25.762265692954927
2003-04-01,25.78499213830489
2003-07-01,25.82288650286631
2003-10-01,25.85053802865222
2004-01-01,25.91474047879621
2004-04-01,25.958680144259688
2004-07-01,25.99946897650919
2004-10-01,26.018290287793654
2005-01-01,26.01253993613478
2005-04-01,26.001846204044714
2005-07-01,26.04519913911516
2005-10-01,26.09414709130613
2006-01-01,26.148398216653437
2006-04-01,26.209426570329537
2006-07-01,26.24157699953351
2006-10-01,26.2709799052238
2007-01-01,26.31252483281406
2007-04-01,26.350266974318778
2007-07-01,26.378105585796245
2007-10-01,26.4364654970587
2008-01-01,26.515572183084444
2008-04-01,26.5543923100557
2008-07-01,26.57935872775432
2008-10-01,26.57435965640708
2009-01-01,26.5286062064535
2009-04-01,26.53288621329359
2009-07-01,26.54439510397058
2009-10-01,26.569458338906838
2010-01-01,26.546293093202465
2010-04-01,26.576879102703387
2010-07-01,26.58998315459638
2010-10-01,26.615652866737246
2011-01-01,26.64260958999992
2011-04-01,26.649757101755217
2011-07-01,26.673722434745617
2011-10-01,26.672964975909416
2012-01-01,26.69443583578493
2012-04-01,26.71609844782826
2012-07-01,26.704531552327442
2012-10-01,26.70759523934358
2013-01-01,26.679960351910427
2013-04-01,26.68980019324455
2013-07-01,26.695391079407695
2013-10-01,26.7110164961022
2014-01-01,26.723940341889183
2014-04-01,26.731234931600856
2014-07-01,26.748299338759168
2014-10-01,26.752139842491133
2015-01-01,26.75938056172226
2015-04-01,26.758444352783144
2015-07-01,26.79138119188796
2015-10-01,26.815070393032837
2016-01-01,26.834548015183632
2016-04-01,26.86878727376921
2016-07-01,26.884218273840442
2016-10-01,26.913470580939055
2017-01-01,26.961350589468807
2017-04-01,26.977149262415132
2017-07-01,26.996075105349345
2017-10-01,27.014310209208826
2018-01-01,27.03047517658246
2018-04-01,27.061731991773403
2018-07-01,27.087705874273556
2018-10-01,27.113892335609446
2019-01-01,27.139233448087122
2019-04-01,27.172989534863802
2019-07-01,27.19477808975904
2019-10-01,27.215879844379895
