Series,$\hat{\Delta}_T$ (ATT),$\hat{\sigma}_{\Delta_T}$ (STD),P-value
12-m Log-Diff $CO_2$,0.003,0.068,0.747
12-m Log $CO_2$,0.213,0.119,0.0
Absolute $CO_2$,1078762803.237,611151288.441,0.0
